사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
삼모스포렉스,1997-06-12,193610.797201552,442281.285348422,2026-04-22 22:31:28,I,03,폐업,2009-08-28 13:52:53,,1993-01-19,151-930,서울특별시 관악구 신림동 1638-32,CDFH3301261993000001,3200000,서울특별시 관악구 신림로59길 23  (신림동),,03,폐업,,,
사회복지법인 SRC,2017-02-21,193511.791551264,443440.789010155,2026-04-22 22:31:28,I,03,폐업,2017-02-21 15:18:13,,2000-10-11,151-831,서울특별시 관악구 봉천동 722-19,CDFH3301262000000001,3200000,서울특별시 관악구 보라매로 44 (봉천동),,03,폐업,,,02-871-3636
서울교육문화회관,2009-04-07,202833.261653939,440511.561175378,2026-04-22 22:31:28,I,03,폐업,2009-04-07 15:49:15,,1991-04-20,137-893,서울특별시 서초구 양재동 202-0,CDFH3301261991000001,3210000,서울특별시 서초구 바우뫼로12길 70  (양재동),,03,폐업,,,
주)피에스레저스포츠,1999-09-15,199367.291009454,444618.275228343,2026-04-22 22:31:29,I,03,폐업,2014-04-16 10:45:19,,1991-07-04,137-800,서울특별시 서초구 반포동 12-0,CDFH3301261991000002,3210000,,,03,폐업,,,
(주)호텔리버사이드,1999-05-01,201530.475526772,446268.294338007,2026-04-22 22:31:29,I,03,폐업,2003-04-18 11:31:26,,1991-07-04,137-902,서울특별시 서초구 잠원동 6-1,CDFH3301261991000005,3210000,서울특별시 서초구 강남대로107길 6  (잠원동),,03,폐업,,,
우주에스엘씨,2001-09-28,200826.536579375,444530.367230862,2026-04-22 22:31:29,I,03,폐업,2003-04-18 11:31:26,,1994-07-30,137-803,서울특별시 서초구 반포동 55-2,CDFH3301261994000002,3210000,서울특별시 서초구 고무래로 18-4  (반포동),,03,폐업,,,
현대백화점반포점,2006-05-15,198791.788015494,444392.672548989,2026-04-22 22:31:30,I,03,폐업,2014-04-16 10:45:19,,1999-04-19,137-811,서울특별시 서초구 반포동 1141-0,CDFH3301261999000001,3210000,,,03,폐업,,,
삼호레포츠,2003-02-26,203847.029537103,441707.819305687,2026-04-22 22:31:30,I,03,폐업,2003-04-18 11:31:26,,1999-10-02,137-130,서울특별시 서초구 양재동 275-6,CDFH3301261999000002,3210000,서울특별시 서초구 논현로 87  (양재동),,03,폐업,,,
코웰스포츠,2009-12-31,199898.194565912,444240.21711088,2026-04-22 22:31:30,I,03,폐업,2010-07-14 11:10:27,,1999-12-07,137-804,서울특별시 서초구 반포동 66-1,CDFH3301261999000003,3210000,서울특별시 서초구 사평대로 140  (반포동),,03,폐업,,,
대지스포츠프라자,2007-04-25,201856.625065785,444502.636699224,2026-04-22 22:31:30,I,03,폐업,2007-04-25 17:05:16,,2003-03-24,137-855,서울특별시 서초구 서초동 1302-2,CDFH3301262003000001,3210000,서울특별시 서초구 서운로 220  (서초동),,03,폐업,,,
코오롱글로벌(주)스포렉스 양재점,2021-12-31,203633.732122344,439645.616720939,2026-04-22 22:31:30,I,03,폐업,2021-12-31 15:04:17,,2018-11-05,,서울특별시 서초구 원지동 28 서초종합체육관,CDFH3301262018000001,3210000,"서울특별시 서초구 양재대로12길 73-48, 서초종합체육관 (원지동)",06803,03,폐업,,,031-780-7673
오라카이 청계산호텔 종합체육시설,2024-08-23,204773.965728195,438573.091945475,2026-04-22 22:31:30,I,03,폐업,2024-08-23 16:42:20,,2019-05-23,,서울특별시 서초구 신원동 271-21 오라카이 청계산호텔,CDFH3301262019000001,3210000,"서울특별시 서초구 청계산로9길 1-7, 오라카이 청계산호텔 (신원동)",06802,03,폐업,,,02-6200-7300
짐나지움,2024-05-29,203705.426304066,440222.152896766,2026-04-22 22:31:30,I,03,폐업,2024-05-29 11:07:08,,2022-06-15,,서울특별시 서초구 양재동 231 현대기아자동차빌딩,CDFH3301262022000001,3210000,"서울특별시 서초구 헌릉로 12, 현대기아자동차빌딩 지하1층 (양재동)",06797,03,폐업,,,02-3464-4970
롯데월드 스포츠,2009-04-10,208589.363343145,445455.90405262,2026-04-22 22:31:29,I,03,폐업,2009-04-10 19:11:53,,1989-12-26,138-220,서울특별시 송파구 잠실동 40-1 (주)호텔롯데,CDFH3301261989000001,3230000,"서울특별시 송파구 올림픽로 240  (잠실동,(주)호텔롯데)",,03,폐업,,,
서울YMCA송파지회,2022-02-28,208280.881163857,445596.769417879,2026-04-22 22:31:29,I,03,폐업,2022-02-28 17:40:46,,1989-12-30,,서울특별시 송파구 잠실동 27-11,CDFH3301261989000002,3230000,"서울특별시 송파구 올림픽로 211 (잠실동, 서울Y.M.C.A송파지회)",05503,03,폐업,,,
아시아스포렉스,2001-02-21,206731.192156063,445148.824922026,2026-04-22 22:31:29,I,03,폐업,2011-10-30 14:20:02,,1990-06-08,138-220,서울특별시 송파구 잠실동 85-1,CDFH3301261990000001,3230000,서울특별시 송파구 올림픽로4길 17 (잠실동),,03,폐업,,,
올림픽파크텔(대중종합체육시설),2004-08-12,210199.45921923,446539.279382444,2026-04-22 22:31:29,I,03,폐업,2004-08-12 17:12:55,,1991-07-30,138-829,서울특별시 송파구 방이동 88,CDFH3301261991000001,3230000,,,03,폐업,,,
First J Gym,2019-04-22,210431.832858016,443465.4592322,2026-04-22 22:31:29,I,03,폐업,2019-04-22 11:19:24,,1992-11-11,,서울특별시 송파구 가락동 99-3 제일빌딩6층19,CDFH3301261992000001,3230000,"서울특별시 송파구 송파대로 260 (가락동, 제일오피스텔)",05719,03,폐업,,,02-448-2051
O2 ZONE 스포츠쎈타,2008-11-01,210527.744574834,444984.01536348,2026-04-22 22:31:29,I,03,폐업,2008-11-03 21:26:39,,1994-01-10,138-836,서울특별시 송파구 방이동 227-4,CDFH3301261994000001,3230000,서울특별시 송파구 오금로 235  (방이동),,03,폐업,,,
(주)스포츠클럽서울레저,2013-12-18,211565.077399034,445013.127577724,2026-04-22 22:31:29,I,03,폐업,2013-12-18 11:35:53,,1996-04-08,138-855,서울특별시 송파구 오금동 28,CDFH3301261996000001,3230000,서울특별시 송파구 위례성대로22길 27-22 (오금동),,03,폐업,,,
청풍스포츠센타,2000-06-03,209708.127928039,445937.543455637,2026-04-22 22:31:29,I,03,폐업,2004-01-28 14:08:59,,1996-09-07,138-827,서울특별시 송파구 방이동 39-2,CDFH3301261996000002,3230000,서울특별시 송파구 오금로11길 33  (방이동),,03,폐업,,,
에스에스앤스포렉스,2003-06-25,211259.909777857,443711.702922024,2026-04-22 22:31:29,I,03,폐업,2004-01-28 14:11:57,,1997-04-03,138-747,서울특별시 송파구 가락동 140-0 가락쌍용아파트상가 26호,CDFH3301261997000001,3230000,,,03,폐업,,,
올림픽스포츠센타,2015-07-14,211708.264681572,445907.582850538,2026-04-22 22:31:30,I,03,폐업,2015-07-15 16:18:55,,2011-09-07,138-151,서울특별시 송파구 방이동 89-12 올림픽스포츠센타,CDFH3301262011000001,3230000,"서울특별시 송파구 양재대로 1222 (방이동,올림픽스포츠센타)",,03,폐업,,,
잠실스포츠씨티,2001-09-29,207006.591695429,445317.839419365,2026-04-22 22:31:30,I,03,폐업,2003-02-17 15:15:04,,1998-05-11,138-862,서울특별시 송파구 잠실동 194,CDFH3301261998000001,3230000,서울특별시 송파구 백제고분로7길 10  (잠실동),,03,폐업,,,
