사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)삼표에너지 목동주유소,주유소,,188927.645388223,447776.305139932,2026-04-28 22:30:21,I,06,휴지사업재개,2025-01-31 15:49:44,,1991-04-29,684.7,서울특별시 양천구 목동 905-30,1991314007001500010,3140000,서울특별시 양천구 목동서로 129 (목동),,2021-10-28,01,영업/정상,,,02-2654-5152
더지엘에너지(주)목동지점,주유소,,189512.187911002,449236.066690526,2026-04-28 22:30:21,I,01,신규등록,2026-03-12 11:35:15,,1992-01-31,601,서울특별시 양천구 목동 121-4,1992314007001500012,3140000,서울특별시 양천구 안양천로 1171 (목동),,,01,영업/정상,,,02-2644-5108
이케이에너지(주)무산주유소,주유소,,186464.60309786,445382.168341974,2026-04-28 22:30:21,I,07,영업개시,2025-07-15 10:25:41,,1992-02-15,916,서울특별시 양천구 신정동 1294-6,1992314007001500014,3140000,서울특별시 양천구 신정로 236 (신정동),,2009-06-08,01,영업/정상,2008-04-24,2008-10-23,02-317-4015
(주)진우에너지 신월점,주유소,,186146.601794907,446437.037769859,2026-04-28 22:30:21,I,01,신규등록,2019-04-05 09:24:33,,1992-04-14,519.2,서울특별시 양천구 신월동 534-24,1992314007001500017,3140000,서울특별시 양천구 신월로 193 (신월동),,,01,영업/정상,,,02-2601-7117
양천구주유소,주유소,,188043.28464278,447572.186349064,2026-04-28 22:30:21,I,01,신규등록,2025-03-11 10:10:51,,1992-04-14,1037,서울특별시 양천구 목동 804-35,1992314007001500019,3140000,서울특별시 양천구 국회대로 275 (목동),,,01,영업/정상,,,02-2644-5105
에이치지에너지 가로공원주유소,주유소,,185284.030026225,448320.355378717,2026-04-28 22:30:21,I,01,신규등록,2017-11-28 10:26:47,,1992-04-14,393,서울특별시 양천구 신월동 87-15,1992314007001500020,3140000,서울특별시 양천구 가로공원로 165 (신월동),07907,,01,영업/정상,,,02-2695-3423
씨앤에스유통(주)양천드림주유소,주유소,,188513.361632361,444866.075006676,2026-04-28 22:30:21,I,05,사업휴지,2025-08-22 14:06:22,,1992-04-14,1984.5,서울특별시 양천구 신정동 161-5,1992314007001500022,3140000,서울특별시 양천구 안양천로 657 (신정동),,,02,휴업,2023-07-01,2024-07-01,02-2647-2122
SK에너지(주)경인주유소,주유소,,187009.331912486,447334.071461676,2026-04-28 22:30:21,I,01,신규등록,2024-11-27 09:34:30,,1992-04-14,873.4,서울특별시 양천구 신정동 872-5,1992314007001500024,3140000,서울특별시 양천구 국회대로 170 (신정동),,,01,영업/정상,,,02-2697-3456
에이치디현대오일뱅크(주)직영 신목동셀프주유소,주유소,,188532.828397892,446379.904715789,2026-04-28 22:30:21,I,06,휴지사업재개,2025-04-24 14:08:25,,1992-12-03,2195,"서울특별시 양천구 신정동 296-5 170,222,29,30,158,171,212,213",1992314007001500025,3140000,서울특별시 양천구 신목로7길 11 (신정동),,2016-04-04,01,영업/정상,2015-06-01,2015-11-02,02-2642-5188
현대주유소,주유소,,184839.474782908,447972.312291257,2026-04-28 22:30:21,I,06,휴지사업재개,2019-05-20 09:12:33,,1992-12-03,687.3,서울특별시 양천구 신월동 167-1,1992314007001500026,3140000,서울특별시 양천구 남부순환로 372 (신월동),,2019-05-20,01,영업/정상,2018-07-02,2018-09-30,02-2608-9231
주식회사 타이거오일 신정주유소,주유소,,187081.650785867,446073.811311644,2026-04-28 22:30:21,I,05,사업휴지,2024-04-19 10:43:58,,1992-12-03,331.3,서울특별시 양천구 신정동 1052-12,1992314007001500027,3140000,서울특별시 양천구 중앙로 226 (신정동),,,02,휴업,2017-09-06,2017-11-29,02-2646-6212
신양주유소,주유소,,185241.841642407,446601.090926902,2026-04-28 22:30:21,I,01,신규등록,2024-05-27 09:43:38,,1993-06-10,443,서울특별시 양천구 신월동 951-4,1993314007001500029,3140000,서울특별시 양천구 지양로 67 (신월동),,,01,영업/정상,,,02-2608-3312
목동주유소,주유소,,188845.378146136,448603.372537117,2026-04-28 22:30:21,I,07,영업개시,2024-09-13 09:54:59,,1993-06-10,385,서울특별시 양천구 목동 199-58,1993314007001500030,3140000,서울특별시 양천구 목동중앙로 125 (목동),,,01,영업/정상,,,02-2653-5789
신월동주유소,주유소,,184990.887799484,447668.60828576,2026-04-28 22:30:21,I,01,신규등록,2015-07-09 17:05:41,,1993-12-14,2464.6,서울특별시 양천구 신월동 199-5,1993314007001500031,3140000,서울특별시 양천구 남부순환로 408 (신월동),,,01,영업/정상,,,02-2690-5837
에이치디현대오일뱅크(주)직영 목동셀프주유소,주유소,,189059.685922739,449392.317334492,2026-04-28 22:30:21,I,01,신규등록,2025-08-18 12:55:54,,1993-12-21,708.7,서울특별시 양천구 목동 516-1,1993314007001500032,3140000,서울특별시 양천구 공항대로 648 (목동),,,01,영업/정상,,,02-2648-4204
SK에너지(주)신평주유소,주유소,,188101.838116589,445249.033483384,2026-04-28 22:30:21,I,01,신규등록,2024-11-27 09:34:43,,1995-02-27,1181.5,서울특별시 양천구 신정동 209-6,1995314007001500037,3140000,서울특별시 양천구 목동남로 62 (신정동),,,01,영업/정상,,,02-2654-5145
에이치디현대오일뱅크(주)직영 양천현대셀프주유소,주유소,,189438.071744985,449327.872565076,2026-04-28 22:30:21,I,07,영업개시,2025-04-24 14:08:11,,1997-09-27,1744,서울특별시 양천구 목동 122-2,1997314007001500042,3140000,서울특별시 양천구 안양천로 1179 (목동),,,01,영업/정상,,,02-2653-5189
신정동주유소,주유소,,188537.926194172,444934.266388016,2026-04-28 22:30:21,I,06,휴지사업재개,2025-07-03 10:42:28,,2009-07-08,405,서울특별시 양천구 신정동 162-40,2009314011401500001,3140000,서울특별시 양천구 안양천로 663 (신정동),,2014-12-19,01,영업/정상,2014-10-10,2014-12-15,26465145
에이치디현대오일뱅크(주)직영 양정주유소,주유소,,186899.144772812,447323.512775784,2026-04-28 22:30:21,I,01,신규등록,2025-04-24 14:07:58,,2011-07-15,316.3,서울특별시 양천구 신정동 872-1,2010314011401500001,3140000,서울특별시 양천구 국회대로 158 (신정동),,,01,영업/정상,,,02-2691-5185
형산석유(주)원주유소,주유소,,184990.887799484,447668.60828576,2026-04-28 22:30:21,I,01,신규등록,2024-04-03 13:15:55,,2017-01-16,1439,,2017314017901500001,3140000,서울특별시 양천구 남부순환로 408 (신월동),,,01,영업/정상,,,02-2690-5837
염리동 주유소,주유소,,195053.439260579,449337.652681557,2026-04-28 03:03:03,U,06,휴지사업재개,2026-04-27 15:27:36,,1976-05-07,1169,서울특별시 마포구 염리동 155-6,1976313011801500003,3130000,서울특별시 마포구 백범로 126 (염리동),,,01,영업/정상,,,02-3272-5155
(주) 한주에너지 신정주유소,주유소,,187328.575796091,446582.446566821,2026-04-28 22:30:21,I,03,폐지,2015-06-25 12:07:33,,1980-11-06,997.6,서울특별시 양천구 신정동 1027-4,1980314007001500005,3140000,서울특별시 양천구 신월로 328 (신정동),,,03,폐업,,,02-2654-0051
SK네트웍스(주)신평주유소,주유소,,,,2026-04-28 22:30:21,I,03,폐지,2007-08-20 16:39:23,,1981-07-01,1171,서울특별시 양천구 목동 405-271,1981314007001500006,3140000,,,,03,폐업,,,02-2646-1689
(주)태성에너지,일반판매소,,,,2026-04-28 22:30:21,I,03,폐지,2002-08-12 00:00:00,,1988-03-29,,서울특별시 양천구 신정동 183-2,1988314007001200002,3140000,,,,03,폐업,,,02-2645-0388
"SK석유(석유,등유,보일러등유,실내등유,난방유,백등유)배달",일반판매소,,187477.476438368,447312.018399929,2026-04-28 22:30:21,I,03,폐지,2022-12-13 15:16:34,,1988-01-01,,서울특별시 양천구 신정동 884-2,1988314007001200008,3140000,서울특별시 양천구 은행정로20길 2 (신정동),,,03,폐업,,,26982577
동화산업,용제판매소,,189401.752379557,449253.287873881,2026-04-28 22:30:21,I,03,폐지,2002-08-12 00:00:00,,1988-03-29,,서울특별시 양천구 목동 128-13,1988314007001500001,3140000,서울특별시 양천구 목동중앙로13가길 12  (목동),,,03,폐업,,,02-2642-4548
만년석유,일반판매소,,188061.697033142,448040.707672158,2026-04-28 22:30:21,I,03,폐지,2002-09-18 00:00:00,,1990-05-23,,서울특별시 양천구 목동 781-20,1990314007001200004,3140000,서울특별시 양천구 목동중앙서로7길 39  (목동),,,03,폐업,,,02-2642-4633
경준주유소,주유소,,187836.180194279,448951.046584761,2026-04-28 22:30:21,I,03,폐지,2017-01-09 15:08:58,,1992-04-14,938.9,서울특별시 양천구 목동 709-1,1992314007001500018,3140000,서울특별시 양천구 등촌로 142 (목동),,,03,폐업,,,02-2652-3611
등불석유,일반판매소,,184673.718438326,448643.137215214,2026-04-28 22:30:21,I,03,폐지,2002-07-23 00:00:00,,1993-08-06,,서울특별시 양천구 신월동 27-5,1993314007001200047,3140000,서울특별시 양천구 남부순환로29길 14  (신월동),,,03,폐업,,,02-697-8474
대산에너지,일반판매소,,185550.659452853,447133.038993406,2026-04-28 22:30:21,I,03,폐지,2024-06-07 16:30:29,,1994-04-23,,서울특별시 양천구 신월동 244-6,1994314007001200050,3140000,서울특별시 양천구 국회대로 23 (신월동),,,03,폐업,,,02-693-9919
신정주유소,주유소,,186850.5579084,446776.641052587,2026-04-28 22:30:21,I,03,폐지,2016-08-10 17:32:16,,1996-03-11,882.7,서울특별시 양천구 신정동 943-15,1996314007001500038,3140000,서울특별시 양천구 중앙로 300 (신정동),,,03,폐업,,,02-2603-5189
(주)우진케미컬,용제판매소,,186109.683540193,444958.276659499,2026-04-28 22:30:21,I,03,폐지,2004-10-12 00:00:00,,2001-09-13,,서울특별시 양천구 신정동 739-15 도일빌딩 201호,2001314007001500006,3140000,"서울특별시 양천구 남부순환로 700  (신정동,도일빌딩 201호)",,,03,폐업,,,02-2684-3121
(주)케미코리아,용제판매소,,189635.487139725,446844.414671927,2026-04-28 22:30:21,I,03,폐지,2007-08-06 17:12:38,,2004-02-12,,서울특별시 영등포구 양평동2가 45 15통4반 상록수아파트 101동 412호,2004314010201500001,3140000,"서울특별시 영등포구 영등포로 17, 101동 412호 (양평동2가,상록수아파트)",,,03,폐업,,,02-2605-8797
하나물산,용제판매소,,185588.112351415,446611.369232718,2026-04-28 22:30:21,I,03,폐지,2007-08-06 17:07:31,,2004-12-17,,서울특별시 양천구 신월동 438-1,2004314010201500002,3140000,서울특별시 양천구 남부순환로 527  (신월동),,,03,폐업,,,02-2692-4511
(주)케미맥스,용제판매소,,185356.900292344,458555.934730144,2026-04-28 22:30:21,I,03,폐지,2007-08-06 17:09:00,,2006-05-26,,경기도 고양시 덕양구 화정동 1127 31통10반 옥빛마을 1509동 1904호,2006314010201500001,3140000,"경기도 고양시 덕양구 화신로 233, 1509동 1904호 (화정동,옥빛마을)",,,03,폐업,,,02-2653-6071
(주)제이켐,용제판매소,,188357.547217609,446596.052395662,2026-04-28 22:30:21,I,03,폐지,2008-10-30 13:44:31,,2008-04-29,,서울특별시 양천구 신정동 318-6 동문비젼 1009,2008314011401500001,3140000,"서울특별시 양천구 목동서로 287  (신정동,동문비젼 1009)",,,03,폐업,,,02-2654-2182
