"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"11","일반음식점","07_24_04_P","3170000","3170000-101-2025-00317","2025-12-31","","01","영업/정상","01","영업","","","","","050714299959","6.60","153-801","서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점","서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 6층 (가산동)","08514","백초밥","2025-12-31 17:03:04","I","2026-01-03 00:20:02","일식","190119.463375612","441716.684586176","일식","0","0","","","","0","0","0","0","0","","0","0","N","6.6","","","",
"12","일반음식점","07_24_04_P","4520000","4520000-101-2025-00355","2025-12-31","","01","영업/정상","01","영업","","","","","","307.65","336-110","충청남도 아산시 점양동 98-2 외1필지","충청남도 아산시 신정호길192번길 6, 2동 1층 (점양동)","31558","카페 윤","2025-12-31 11:43:25","I","2026-01-03 00:20:02","기타","197306.551848451","362808.990297347","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","307.65","","","",
"13","일반음식점","07_24_04_P","3000000","3000000-101-2025-00400","2025-12-31","","01","영업/정상","01","영업","","","","","","25.60","110-807","서울특별시 종로구 돈의동 34","서울특별시 종로구 돈화문로11길 24, 1층 (돈의동)","03133","이자카야 희망","2025-12-31 15:03:53","I","2026-01-03 00:20:02","기타","199053.357431316","452269.211030994","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","25.6","","","",
"14","일반음식점","07_24_04_P","3000000","3000000-101-2025-00401","2025-12-31","","01","영업/정상","01","영업","","","","","","87.38","110-862","서울특별시 종로구 숭인동 56-40 미래빌딩","서울특별시 종로구 지봉로 78, 미래빌딩 3층 (숭인동)","03109","뭉치","2025-12-31 16:16:32","I","2026-01-03 00:20:02","기타","201311.28232322","452740.121552282","기타","0","0","","","","0","0","0","0","0","","0","0","N","87.38","","","",
"15","일반음식점","07_24_04_P","4090000","4090000-101-2025-00568","2025-12-31","","01","영업/정상","01","영업","","","","","","52.90","415-060","경기도 김포시 장기동 1936-3","경기도 김포시 김포한강2로24번길 78-86, 101호 (장기동)","10079","응급실국물떡볶이 김포장기점","2025-12-31 11:16:01","I","2026-01-03 00:20:02","분식","171376.736478718","460501.380963623","분식","0","0","","","","0","0","0","0","0","","0","0","N","52.9","","","",
"16","일반음식점","07_24_04_P","5100000","5100000-101-2025-00113","2025-12-31","","01","영업/정상","01","영업","","","","","","64.02","770-905","경상북도 영천시 완산동 620-1","경상북도 영천시 영화로 241 (완산동)","38894","조 게나라","2025-12-31 16:39:17","I","2026-01-03 00:20:02","한식","375670.143349945","275539.842704019","한식","0","0","","","","0","0","0","0","0","","0","0","N","64.02","","","",
"17","일반음식점","07_24_04_P","5100000","5100000-101-2025-00114","2026-01-02","","01","영업/정상","01","영업","","","","","","26.84","770-802","경상북도 영천시 금호읍 교대리 166-10","경상북도 영천시 금호읍 금호로 104-1","38877","와플과 커피","2025-12-31 20:07:27","I","2026-01-03 00:20:02","분식","368968.16075267","271724.5650202","분식","0","0","","","","0","0","0","0","0","","0","0","N","26.84","","","",
"18","일반음식점","07_24_04_P","3550000","3550000-101-2025-00179","2025-12-31","","01","영업/정상","01","영업","","","","","","51.08","407-818","인천광역시 계양구 작전동 175-2 1층 일부호","인천광역시 계양구 주부토로 372, 1층 일부호 (작전동)","21118","아오리의 행방불명 인천작전점","2025-12-31 13:48:08","I","2026-01-03 00:20:02","일식","176081.350700296","447296.440366233","일식","0","0","","","","0","0","0","0","0","","0","0","N","51.08","","","",
"19","일반음식점","07_24_04_P","3370000","3370000-101-2025-00154","2025-12-31","","01","영업/정상","01","영업","","","","","","30.00","611-825","부산광역시 연제구 연산동 686-28","부산광역시 연제구 대리로6번길 50, 1층 일부호 (연산동)","47590","고집불통 막창조","2025-12-31 11:01:49","I","2026-01-03 00:20:02","한식","389893.583474408","188627.703654608","한식","0","0","","","","0","0","0","0","0","","0","0","N","30","","","",
"20","일반음식점","07_24_04_P","3020000","3020000-101-2025-00553","2025-01-22","","01","영업/정상","01","영업","","","","","","43.00","140-863","서울특별시 용산구 이태원동 59-8 준이빈 빌딩","서울특별시 용산구 보광로59길 58, 준이빈 빌딩 1층 (이태원동)","04391","마더씨 커피웍스","2025-12-31 15:10:40","I","2026-01-03 00:20:02","기타","199109.15894419","447951.638311755","기타","0","0","","","","0","0","0","0","0","","0","0","N","43","","","",
"21","일반음식점","07_24_04_P","3020000","3020000-101-2025-00554","2025-12-31","","01","영업/정상","01","영업","","","","","","","140-780","서울특별시 용산구 한강로3가 40-999 용산역","서울특별시 용산구 한강대로23길 55, 용산아이파크몰 3층 (한강로3가)","04377","잼인 브레드","2025-12-31 15:35:06","I","2026-01-03 00:20:02","기타","196762.077394917","447480.039577359","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"22","일반음식점","07_24_04_P","3470000","3470000-101-2025-00490","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","704-936","대구광역시 달서구 용산동 926-2","대구광역시 달서구 장산1길 125, 1층 (용산동)","42629","용산골","2025-12-31 09:26:25","I","2026-01-03 00:20:02","한식","337724.554382233","263108.514026735","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"23","일반음식점","07_24_04_P","3470000","3470000-101-2025-00491","2025-12-31","","01","영업/정상","01","영업","","","","","053 6350015","0.00","704-841","대구광역시 달서구 대곡동 1038-3","대구광역시 달서구 화암로 331, 주건축물제1동 2층 204호 (대곡동)","42768","주대구수목원","2025-12-31 11:23:06","I","2026-01-03 00:20:02","경양식","337280.893479175","257073.923603952","경양식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"24","일반음식점","07_24_04_P","3470000","3470000-101-2025-00492","2025-12-31","","01","영업/정상","01","영업","","","","","053 2150888","0.00","704-830","대구광역시 달서구 월성동 1369-2","대구광역시 달서구 월배로23길 114, 1층 (월성동)","42778","꼬기꼬야","2025-12-31 13:15:02","I","2026-01-03 00:20:02","식육(숯불구이)","337801.351027995","258796.589316633","식육(숯불구이)","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"25","일반음식점","07_24_04_P","3470000","3470000-101-2025-00493","2025-12-31","","01","영업/정상","01","영업","","","","","053 5886638","0.00","704-743","대구광역시 달서구 용산동 905 평화타운","대구광역시 달서구 성서동로 350, 상가1동 1층 104호 (용산동, 평화타운)","42623","꽈꽈분식","2025-12-31 17:22:29","I","2026-01-03 00:20:02","분식","336954.220302355","262321.195204792","분식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"26","일반음식점","07_24_04_P","4191000","4191000-101-2025-00690","2025-12-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 원주시 반곡동 1846-5","강원특별자치도 원주시 양지뜰3길 21-2, 1층 (반곡동)","26461","미몽원주혁신도시점","2025-12-31 10:41:59","I","2026-01-03 00:20:02","중국식","287014.636071646","425374.707229321","중국식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"27","일반음식점","07_24_04_P","3460000","3460000-101-2025-00406","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","706-837","대구광역시 수성구 중동 100-2 백천빌딩, 지하1층","대구광역시 수성구 수성로 214, 백천빌딩 지하1층 (중동)","42151","화심도","2025-12-31 16:55:48","I","2026-01-03 00:20:02","한식","345660.94368174","261694.499034701","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"28","일반음식점","07_24_04_P","5570000","5570000-101-2025-00036","2025-12-31","","01","영업/정상","01","영업","","","","","","15.08","368-905","충청북도 증평군 증평읍 중동리 124 공설시장아파트","충청북도 증평군 증평읍 장뜰로 47, 112호","27930","솔찬이네","2025-12-31 10:28:41","I","2026-01-03 00:20:02","한식","251852.888220632","364768.018655353","한식","0","0","","","","0","0","0","0","0","","0","0","N","15.08","","","",
"29","일반음식점","07_24_04_P","3940000","4100100-101-2025-00413","2025-12-31","","01","영업/정상","01","영업","","","","","","65.39","411-805","경기도 고양시 일산서구 대화동 2203 하성프라자 302(일부)호","경기도 고양시 일산서구 중앙로 1568, 302(일부)호 (대화동)","10381","스테이션 라운지(Station Lounge)","2025-12-31 10:03:58","I","2026-01-03 00:20:02","한식","177693.645","463804.75","한식","0","0","","","","0","0","0","0","0","","0","0","N","65.39","","","",
"30","일반음식점","07_24_04_P","4311000","4311000-101-2025-00051","2025-12-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 화천군 화천읍 상리 328 (주말 예약낚시터 데시앙 아파트 방향)","","","주말 예약낚시터 산천어회센터","2025-12-31 11:47:49","I","2026-01-03 00:20:02","횟집","261621.497715009","512453.312182218","횟집","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"31","일반음식점","07_24_04_P","4311000","4311000-101-2025-00052","2025-12-31","","01","영업/정상","01","영업","","","","","","","","강원특별자치도 화천군 화천읍 상리 328 (데시앙 아파트 앞)","","","생활개선회","2025-12-31 16:34:17","I","2026-01-03 00:20:02","한식","261621.497715009","512453.312182218","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"32","일반음식점","07_24_04_P","5690000","5690000-101-2025-00490","2025-12-31","","01","영업/정상","01","영업","","","","","","15.00","","세종특별자치시 해밀동 635 해밀마을2단지","세종특별자치시 해밀3로 90, 상가1동 1층 121(일부)호 (해밀동, 해밀마을2단지)","30092","행복애(愛)찬","2025-12-31 10:26:09","I","2026-01-03 00:20:02","한식","224199.832199222","336269.408068859","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","15","","","",
"33","일반음식점","07_24_04_P","3350000","3350000-101-2025-00130","2025-12-31","","01","영업/정상","01","영업","","","","","","3.00","609-839","부산광역시 금정구 장전동 302-10","부산광역시 금정구 장전로20번길 28, 1층 일부호 (장전동)","46292","테라비","2025-12-31 09:44:44","I","2026-01-03 00:20:02","한식","389965.491624611","194227.44101564","한식","0","0","","","","0","0","0","0","0","","0","0","N","3","","","",
"34","일반음식점","07_24_04_P","5210000","5210000-101-2025-00055","2025-12-31","","01","영업/정상","01","영업","","","","","","50.67","719-812","경상북도 성주군 초전면 대장리 647-12","경상북도 성주군 초전면 대장길 98-2","40013","초전심바람난찐빵만두","2025-12-31 15:45:23","I","2026-01-03 00:20:02","분식","313947.252709993","275545.338931585","분식","0","0","","","","0","0","0","0","0","","0","0","N","50.67","","","",
"35","일반음식점","07_24_04_P","3560000","3560000-101-2025-00620","2025-12-31","","01","영업/정상","01","영업","","","","","","45.00","404-844","인천광역시 서구 검암동 620-13 1층 일부호","인천광역시 서구 승학로506번길 27-3, 1층 일부호 (검암동)","22696","맛나온분식","2025-12-31 10:44:22","I","2026-01-03 00:20:02","한식","171263.517359169","451241.287176773","한식","0","0","","","","0","0","0","0","0","","0","0","N","45","","","",
"36","일반음식점","07_24_04_P","4170000","4170000-101-2025-00141","2025-12-31","","01","영업/정상","01","영업","","","","","","40.68","476-802","경기도 양평군 양평읍 양근리 192-11","경기도 양평군 양평읍 양근로 241-1, 1층 2호","12562","크런치몬스터","2025-12-31 13:44:07","I","2026-01-03 00:20:02","기타","243679.74501595","442884.377525237","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","40.68","","","",
"37","일반음식점","07_24_04_P","5080000","5080000-101-2025-00548","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","730-360","경상북도 구미시 진평동 139-4 1층","경상북도 구미시 인동36길 40, 1층 (진평동)","39412","스테이","2025-12-31 15:52:12","I","2026-01-03 00:20:02","기타","328816.366329083","288806.035867446","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"38","일반음식점","07_24_04_P","3400000","3400000-101-2025-00244","2025-12-31","","01","영업/정상","01","영업","","","","","","259.25","619-952","부산광역시 기장군 장안읍 반룡리 905-5","부산광역시 기장군 장안읍 반룡산단1로 6-25, 1층","46034","장안반점","2025-12-31 13:27:30","I","2026-01-03 00:20:02","기타","405151.58424391","205648.610632911","기타","0","0","","","","0","0","0","0","0","","0","0","N","259.25","","","",
"39","일반음식점","07_24_04_P","5530000","5530000-101-2025-01258","2025-12-31","","01","영업/정상","01","영업","","","","","","96.72","445-130","경기도 화성시 영천동 831-1","경기도 화성시 동탄첨단산업1로 20, 삼성테크노타워 1층 111,112호 (영천동)","18469","동탄솥뚜껑미나리삼겹살","2025-12-31 11:08:14","I","2026-01-03 00:20:02","식육(숯불구이)","208018.725811803","412157.00587004","식육(숯불구이)","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","96.72","","","",
"40","일반음식점","07_24_04_P","5530000","5530000-101-2025-01259","2025-12-31","","01","영업/정상","01","영업","","","","","","99.00","445-972","경기도 화성시 정남면 제기리 388-2 1동 1층 전체호","경기도 화성시 정남면 발안로 983-10, 1동 1층 전체호","18515","캄보디아식당","2025-12-31 14:24:26","I","2026-01-03 00:20:02","외국음식전문점(인도,태국등)","200863.619288215","403044.78514889","외국음식전문점(인도,태국등)","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","99","","","",
"41","일반음식점","07_24_04_P","5530000","5530000-101-2025-01260","2025-12-31","","01","영업/정상","01","영업","","","","","","131.98","","경기도 화성시 산척동 727-9","경기도 화성시 동탄대로6길 29, 에비뉴223프라자 지하3층 B310,B311,B312호 (산척동)","18501","매드캣(madcat)","2025-12-31 14:38:08","I","2026-01-03 00:20:02","한식","209703.200108487","407438.62474852","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","131.98","","","",
"42","일반음식점","07_24_04_P","5530000","5530000-101-2025-01261","2025-12-31","","01","영업/정상","01","영업","","","","","","202.50","445-360","경기도 화성시 병점동 886-2 한길타워 1층 117호~120호","경기도 화성시 병점노을5로 17, 한길타워 1층 117호~120호 (병점동)","18371","속초오징어어시장병점점","2025-12-31 17:53:44","I","2026-01-03 00:20:02","횟집","202617.895","411642.318","횟집","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","202.5","","","",
"43","일반음식점","07_24_04_P","3860000","3871000-101-2025-00432","2025-12-31","","01","영업/정상","01","영업","","","","","","","","경기도 부천시 원미구 중동 1120-1 아이엔유 포비스타 오피스텔 106호","경기도 부천시 원미구 부흥로315번길 14, 아이엔유 포비스타 오피스텔 106호 (중동)","14582","돗가비불쭈꾸미 부천중동점","2025-12-31 10:46:44","I","2026-01-03 00:20:02","한식","180283.853724293","443673.281393348","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"44","일반음식점","07_24_04_P","3860000","3871000-101-2025-00433","2025-12-31","","01","영업/정상","01","영업","","","","","","","","경기도 부천시 원미구 원미동 119-6 1층","경기도 부천시 원미구 조종로50번길 22-2, 1층 (원미동)","14571","형선이네 한판 떡갈비","2025-12-31 16:22:23","I","2026-01-03 00:20:02","한식","181348.535969603","443318.769351206","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"45","일반음식점","07_24_04_P","3860000","3871000-101-2025-00434","2025-12-31","","01","영업/정상","01","영업","","","","","032 322 3761","","","경기도 부천시 원미구 중동 1125-1 루미아트 109-1호","경기도 부천시 원미구 부흥로315번길 38, 루미아트 109-1호 (중동)","14582","빨호떡볶이 부천점","2025-12-31 16:48:30","I","2026-01-03 00:20:02","분식","180254.594253702","443810.232101662","분식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"46","일반음식점","07_24_04_P","3860000","3881000-101-2025-00189","2025-12-31","","01","영업/정상","01","영업","","","","","","","","경기도 부천시 소사구 범박동 215-2 라루채 1층","경기도 부천시 소사구 양지남로 22, 라루채 1층 (범박동)","14783","연지연곰탕 부천직영점","2025-12-31 13:49:03","I","2026-01-03 00:20:02","한식","183383.113198975","441002.437057572","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"47","일반음식점","07_24_04_P","3930000","5550000-101-2025-00193","2025-12-31","","01","영업/정상","01","영업","","","","","","","426-809","경기도 안산시 상록구 본오동 783-3 1층일부","경기도 안산시 상록구 석호로 363, 1층일부 (본오동)","15549","코히","2025-12-31 10:55:56","I","2026-01-03 00:20:02","기타","188488.987720864","421287.913643029","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"48","일반음식점","07_24_04_P","3930000","5550000-101-2025-00194","2025-12-31","","01","영업/정상","01","영업","","","","","","","426-896","경기도 안산시 상록구 사동 1154 1층 일부","경기도 안산시 상록구 학사2길 2, 1층 일부 (사동)","15587","데이롱 안산한대점 커피앤하이볼","2025-12-31 11:37:29","I","2026-01-03 00:20:02","기타","185604.869136847","421961.555742156","기타","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"49","일반음식점","07_24_04_P","3280000","3280000-101-2025-00095","2025-12-31","","01","영업/정상","01","영업","","","","","051 911 6750","59.82","606-800","부산광역시 영도구 남항동1가 51-1 한울시너스 1층 101호","부산광역시 영도구 남항로9번길 5, 1층 101호 (남항동1가, 한울시너스)","49045","면쟁이","2025-12-31 14:36:04","I","2026-01-03 00:20:02","분식","385749.014470377","178691.417732058","분식","0","0","","","","0","0","0","0","0","","0","0","N","59.82","","","",
"50","일반음식점","07_24_04_P","5020000","5040000-101-2025-00341","2025-12-31","","01","영업/정상","01","영업","","","","","","43.20","791-270","경상북도 포항시 북구 양덕동 651-1 431동 107호","경상북도 포항시 북구 장량중앙로 81, 431동 107호 (양덕동)","37571","담오족","2025-12-31 14:09:17","I","2026-01-03 00:20:02","한식","415361.618117927","290423.749068616","한식","0","0","","","","0","0","0","0","0","","0","0","N","43.2","","","",
"51","일반음식점","07_24_04_P","3510500","3510500-101-2025-00470","2025-12-31","","01","영업/정상","01","영업","","","","","","35.80","","인천광역시 미추홀구 용현동 617-27","인천광역시 미추홀구 낙섬중로 42-1, 1층 중간호 (용현동)","22187","김밥마을","2025-12-31 10:14:52","I","2026-01-03 00:20:02","분식","167892.093902311","438923.262304427","분식","0","0","","","","0","0","0","0","0","","0","0","N","35.8","","","",
"52","일반음식점","07_24_04_P","3510500","3510500-101-2025-00471","2025-12-31","","01","영업/정상","01","영업","","","","","","71.48","","인천광역시 미추홀구 학익동 244-35","인천광역시 미추홀구 소성로 181-5, 1층 (학익동)","22221","복녀할머니국수","2025-12-31 11:30:35","I","2026-01-03 00:20:02","한식","170583.324658097","437765.195574973","한식","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","71.48","","","",
"53","일반음식점","07_24_04_P","4040000","4040000-101-2025-00407","2025-12-30","","01","영업/정상","01","영업","","","","","","0.00","465-030","경기도 하남시 신장동 616 스타필드 하남","경기도 하남시 미사대로 750, 스타필드 하남 지2층 일부호 (신장동)","12942","농가의 식탁","2025-12-31 10:09:10","I","2026-01-03 00:20:02","한식","219699.010520355","449270.371200837","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"54","일반음식점","07_24_04_P","4050000","5630000-101-2025-00293","2025-12-31","","01","영업/정상","01","영업","","","","","","","446-901","경기도 용인시 기흥구 고매동 884","경기도 용인시 기흥구 신고매로 124, 롯데백화점 아울렛 기흥점 1층 (고매동)","17087","5to7&구욱희씨","2025-12-31 11:56:37","I","2026-01-03 00:20:02","한식","210547.479033545","413684.298426578","한식","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"55","일반음식점","07_24_04_P","4430000","4430000-101-2025-00068","2025-12-31","","01","영업/정상","01","영업","","","","","","279.00","373-804","충청북도 옥천군 옥천읍 죽향리 11","충청북도 옥천군 옥천읍 성왕로 1303, C동","29030","죽향어보","2025-12-31 14:06:25","I","2026-01-03 00:20:02","기타","252071.725448884","313350.402591577","기타","0","0","","","","0","0","0","0","0","","0","0","N","279","","","",
"56","일반음식점","07_24_04_P","4251000","4251000-101-2025-00117","2025-12-31","","01","영업/정상","01","영업","","","","","","16.00","","강원특별자치도 홍천군 홍천읍 신장대리 85 홍천강변일원","","","화촌면","2025-12-31 11:50:37","I","2026-01-03 00:20:02","한식","278145.255192454","465449.220553358","한식","0","0","","","","0","0","0","0","0","","0","0","N","16","","","",
"57","일반음식점","07_24_04_P","3410000","3410000-101-2025-00398","2025-12-31","","01","영업/정상","01","영업","","","","","","36.52","700-809","대구광역시 중구 대봉동 0024-0005 지상 1층","대구광역시 중구 동덕로14길 14, 지상 1층 (대봉동)","41952","기화","2025-12-31 14:44:30","I","2026-01-03 00:20:02","기타","344864.965950463","263499.874023874","기타","0","0","","","","0","0","0","0","0","","0","0","N","36.52","","","",
"58","일반음식점","07_24_04_P","4231000","4231000-101-2025-00183","2025-12-31","","01","영업/정상","01","영업","","","","","","42.00","","강원특별자치도 속초시 대포동 743","","","선장님카페","2025-12-31 10:55:11","I","2026-01-03 00:20:02","기타","340946.906392683","520855.692356801","기타","0","0","","","","0","0","0","0","0","","0","0","N","42","","","",
"59","일반음식점","07_24_04_P","3350000","3350000-101-2025-00131","2025-12-31","","01","영업/정상","01","영업","","","","","","65.63","609-854","부산광역시 금정구 구서동 85-1","부산광역시 금정구 중앙대로1841번길 3, 1층 (구서동)","46273","동동국밥 부산구서점","2025-12-31 15:03:07","I","2026-01-03 00:20:02","한식","390308.710817757","196345.261094705","한식","0","0","","","","0","0","0","0","0","","0","0","N","65.63","","","",
"60","일반음식점","07_24_04_P","3820000","3820000-101-2025-00436","2025-12-31","","01","영업/정상","01","영업","","","","","","38.98","480-830","경기도 의정부시 신곡동 313-2 지상1층","경기도 의정부시 동일로454번길 49, 지상1층 (신곡동)","11738","여기, 머뭄","2025-12-31 11:18:26","I","2026-01-03 00:20:02","기타","205428.363207207","469578.996791198","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","38.98","","","",
"61","일반음식점","07_24_04_P","5680000","5680000-101-2025-00216","2025-12-31","","01","영업/정상","01","영업","","","","","","288.79","343-050","충청남도 당진시 수청동 986","충청남도 당진시 밤절로 132-57, 201, 202, 203호 (수청동)","31771","술속의밤 당진점","2025-12-31 11:31:44","I","2026-01-03 00:20:02","기타","168333.38367161","377797.001874518","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","Y","288.79","","","",
