사업장명,담배공급업체명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급제품명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
우리담배판매 주식회사,우리담배 주식회사,,194632.526367463,446401.926526228,2026-04-26 22:31:12,I,1,정상영업,"위고(Wigo), 스윙(Swing) 등",2007-12-20 10:18:50,,2007-12-20,150-010,서울특별시 영등포구 여의도동 60번지 63빌딩 51층,2007318011715500002,3180000,"서울특별시 영등포구 63로 50 (여의도동,63빌딩 51층)",,01,영업/정상,,,
우리담배 관악양천점,우리담배판매(주),,190959.868921976,446290.970687029,2026-04-26 22:31:12,I,1,정상영업,"WIGO, SWING",2008-02-04 13:38:10,,2008-02-04,150-093,서울특별시 영등포구 문래동3가 36번지 6호,2008318011715500001,3180000,서울특별시 영등포구 문래로 149 (문래동3가),,01,영업/정상,,,26784411
코레일유통 주식회사,"케이티앤지, 브리티쉬아메리칸토바코코리아주식회사, 한국필립모리스 (주), JT INTERNATIONAL KOREA INC.",,191272.12099068,447064.885774633,2026-04-26 22:31:12,I,1,정상영업,"국산담배, 외산담배",2025-03-19 10:48:49,,2008-05-06,,서울특별시 영등포구 당산동3가 2번지 7호,2008318011715500003,3180000,서울특별시 영등포구 국회대로 612 (당산동3가),07258,01,영업/정상,,,02-526-6265
아이플랙스,우리담배판매(주),,191647.292795162,447262.153315855,2026-04-26 22:31:12,I,1,정상영업,"위고,스윙 등",2008-07-15 17:24:01,,2008-07-15,150-038,서울특별시 영등포구 영등포동8가 56번지 2호 청림빌딩 4층,2008318011715500004,3180000,"서울특별시 영등포구 국회대로53길 23 (영등포동8가,청림빌딩 4층)",,01,영업/정상,,,33670661
이토바(전자담배),(주)씨디이티아이,,192549.933121435,447340.688670594,2026-04-26 22:31:12,I,1,정상영업,전자담배,2011-03-16 17:40:45,,2009-07-01,150-874,서울특별시 영등포구 여의도동 17번지 1호 금산빌딩813호,2009318011715500001,3180000,"서울특별시 영등포구 국회대로 750 (여의도동,금산빌딩813호)",,01,영업/정상,,,
주식회사 선우엠앤에스,우리담배판매주식회사,,193282.654266684,447611.552045596,2026-04-26 22:31:12,I,1,정상영업,면세담배,2009-09-08 18:59:08,,2009-09-08,150-010,서울특별시 영등포구 여의도동 11번지 11호  한서리버파크1109호,2009318011715500003,3180000,"서울특별시 영등포구 여의서로 43 (여의도동,한서리버파크1109호)",,01,영업/정상,,,
백산담배 서부총판,(주)엠투씨백산,,191243.727563884,443404.433481001,2026-04-26 22:31:12,I,1,정상영업,백산담배 등,2009-12-14 18:19:24,,2009-12-14,150-818,서울특별시 영등포구 대림1동 859번지 5호 1층,2009318011715500004,3180000,"서울특별시 영등포구 대림로 128 (대림동,1층)",,01,영업/정상,,,
리챈트(전자담배),(주)한국전자담배,,190777.430587122,446138.269919323,2026-04-26 22:31:12,I,1,정상영업,전자담배,2011-03-16 17:40:22,,2010-08-11,150-835,서울특별시 영등포구 문래동3가 55번지 5호 (로데오왁 상가) 1층 134-1호,2010318011715500001,3180000,"서울특별시 영등포구 당산로 34 (문래동3가,(로데오왁 상가) 1층 134-1호)",,01,영업/정상,,,02-2069-0382
자운유통,(주)한국담배인터내셔널(대표자:김기덕),,192934.679988733,447522.605711768,2026-04-26 22:31:12,I,1,정상영업,"TREASURER Black, Gold, TREASURER관련 제품",2014-01-14 16:45:51,,2010-11-05,150-010,서울특별시 영등포구 여의도동 13번지 20호 605호,2010318016315500001,3180000,"서울특별시 영등포구 국회대로72길 11 (여의도동,605호)",,01,영업/정상,,,070-4327-0077
알오씨케이,락 인터내셔널,,190364.652010662,447158.946262059,2026-04-26 22:31:12,I,1,정상영업,"락, 봉쥬르, 로고(1mm, 5mm)",2013-02-07 13:16:33,,2013-02-06,150-103,서울특별시 영등포구 양평동3가 46번지 이앤씨드림타워 414호,2013318016315500001,3180000,"서울특별시 영등포구 선유로 146, 414호 (양평동3가,이앤씨드림타워)",,01,영업/정상,,,
아이큐브텍,(주)액상코리아,,191580.646388785,446320.718339983,2026-04-26 22:31:12,I,1,정상영업,하카 프리미엄 전자담배 단품세트 및 전자담배 액상,2014-08-08 17:15:26,,2014-08-08,,,2014318016315500003,3180000,"서울특별시 영등포구 영중로 28, 5층 559호 (영등포동3가, 아자빌딩)",,01,영업/정상,,,
웰하우징하우스(주),(주)인서비스코리아닷컴,,190750.105695354,446713.469849224,2026-04-26 22:31:12,I,1,정상영업,중화담배(hard),2014-08-19 17:27:33,,2014-08-19,,,2014318016315500004,3180000,"서울특별시 영등포구 당산로16길 1, 2층 (당산동1가, 안성빌딩)",,01,영업/정상,,,
(주)현대전자담배,"Innokin Technology Co., Ltd  /*수입판매업체 등록(서울시 시민봉사담당관-38712, 2014.12.01)",,190023.48828661,446044.579840782,2026-04-26 22:31:12,I,1,정상영업,"전자담배, 액상",2014-12-05 09:16:37,,2014-12-04,,,2014318016315500005,3180000,"서울특별시 영등포구 선유로 27, 1204호 (문래동5가, 대륭오피스텔)",,01,영업/정상,,,02-3667-1900
파님,Roberto Duran,,191356.191310715,446526.682563052,2026-04-26 22:31:12,I,1,정상영업,시가,2014-12-15 15:17:07,,2014-12-15,,,2014318016315500006,3180000,"서울특별시 영등포구 영신로38길 15, 209호 (영등포동6가, 경암빌딩2층월드오피스)",,01,영업/정상,,,
SM산업,(주)정진산업,,190848.510008223,444772.056169821,2026-04-26 22:31:12,I,1,정상영업,전자담배,2018-04-11 14:55:38,,2015-02-05,,,2015318016315500001,3180000,"서울특별시 영등포구 도신로 39 (대림동, 1층)",,01,영업/정상,,,
주식회사 위딜라이트토바코코리아,주식회사 위딜라이트,,193694.665015597,446449.546192539,2026-04-26 22:31:12,I,1,정상영업,담배,2015-04-24 09:38:13,,2015-04-22,,,2015318016315500002,3180000,"서울특별시 영등포구 여의대방로65길 20, 9층 111호 (여의도동, 호성빌딩 신관)",,01,영업/정상,,,070-4633-3566
주식회사 헐리우드스타코리아,위 업체는 수입판매업등록한 업체임(수입처 : 헐리우드스타 베이프),,191290.122053654,448079.622534069,2026-04-26 22:31:12,I,1,정상영업,전자담배용 액상,2015-05-08 17:03:40,,2015-05-08,,,2015318016315500003,3180000,"서울특별시 영등포구 당산로 237, 1004호 (당산동6가, 그린빌)",,01,영업/정상,,,02-2068-4702
시가로 주식회사,(주)위딜라이트토바코코리아,,191864.617457296,445723.280027991,2026-04-26 22:31:12,I,1,정상영업,"롤링타바코, 전자담배, 파이프담배, 시가, 일반담배 등",2015-07-09 09:23:57,,2015-07-08,,,2015318016315500004,3180000,서울특별시 영등포구 영신로 22-1 (영등포동),,01,영업/정상,,,02-833-9982
주식회사 더디퍼런트,"Shenzhen Heyuan Technology co., Ltd",,194530.535390096,446306.787198089,2026-04-26 22:31:12,I,1,정상영업,전자담배,2015-10-02 13:58:06,,2015-10-02,,,2015318016315500005,3180000,"서울특별시 영등포구 63로 32, 803호 (여의도동, 라이프콤비빌딩)",07345,01,영업/정상,,,02-780-0034
(주)올리드글로벌,(주)에버베네핏,,191172.482456967,443535.679480495,2026-04-26 22:31:12,I,1,정상영업,중화,2016-06-28 18:34:58,,2016-06-28,,,2016318016315500001,3180000,"서울특별시 영등포구 대림로 142, 1층 102호 (대림동)",07422,01,영업/정상,,,02-566-8888
비타본바이오(주),(주)넥스트에라,,192959.271161366,447637.656082358,2026-04-26 22:31:12,I,1,정상영업,전자담배,2022-02-14 11:01:42,,2022-02-14,,서울특별시 영등포구 여의도동 13 여의도파라곤,2022318023915500001,3180000,"서울특별시 영등포구 국회대로 800, 여의도파라곤 326호 (여의도동)",07238,01,영업/정상,,,02-785-7709
중남해상사,북창무역(주),,,,2026-04-26 22:31:30,I,1,정상영업,중남해라이트 외,2007-03-22 15:12:05,,1996-10-21,,서울특별시 서초구 방배동 812번지 16  호 대영빌딩 4층,1996321010812500001,3210000,,,01,영업/정상,,,02-592-8101
(주)앰에스유통,대경상사(주),,,,2026-04-26 22:31:30,I,1,정상영업,"마일드세븐라이트외 20종, 마일드세븐슈퍼라이트.라운드, 마일드세븐슬럽라이트100s라운드박스",2007-03-22 14:45:58,,2001-08-03,,서울특별시 서초구 양재동 204번지 6   호,2001321010812500001,3210000,,,01,영업/정상,,,02-578-9187
주식회사 코타벤,(주)시밀래,,,,2026-04-26 22:31:30,I,1,정상영업,"시밀래클래식, 시밀래워드, 시밀래스타",2007-03-22 15:43:30,,2004-03-31,,서울특별시 서초구 잠원동 9번지 5   호,2004321010812500001,3210000,,,01,영업/정상,,,02-543-5437
(주)코리아토바코컴퍼니,니드트레이드,,203212.419239811,442217.010140228,2026-04-26 22:31:30,I,1,정상영업,니드 스패셜,2007-03-21 16:57:27,,2006-11-21,,서울특별시 서초구 양재동 14번지 8호 삼화빌딩 4층,2006321010812500001,3210000,"서울특별시 서초구 강남대로 200 (양재동,삼화빌딩 4층)",,01,영업/정상,,,02-579-8858
(주)트리플나인,"KARELIA TOBACCO COMPANY ING, 이중공사",,203494.186062492,441297.995384346,2026-04-26 22:31:30,I,1,정상영업,"KARELIA(까랠리아), ME TOO(미투)",2007-05-11 18:36:36,,2007-01-29,,서울특별시 서초구 양재동 249번지 4호 제이오빌딩 3층,2007321010812500001,3210000,"서울특별시 서초구 마방로 12 (양재동,제이오빌딩 3층)",,01,영업/정상,,,02-2058-2500
(주)코리아타박인터내셔널,(주)코리아토바코컴퍼니,,203212.419239811,442217.010140228,2026-04-26 22:31:31,I,1,정상영업,"NEED JOOMONG (Silk, Pink, Blue, Twin, Platinum, Lights, Super Lights)",2008-05-09 16:55:49,,2007-11-01,137-130,서울특별시 서초구 양재동 14번지 8호 삼화빌딩 5층,2007321012215100002,3210000,"서울특별시 서초구 강남대로 200 (양재동,삼화빌딩 5층)",,01,영업/정상,,,02-579-8714
주몽담배주식회사,(주)코리아토바코컴퍼니,,203212.419239811,442217.010140228,2026-04-26 22:31:31,I,1,정상영업,"NEED JOOMONG Lights, NEED JOOMONG Super Lights, NEED JOOMONG Platinum",2007-11-22 10:33:25,,2007-11-22,137-130,서울특별시 서초구 양재동 14번지 8호 삼화빌딩 지하1호,2007321012215500003,3210000,"서울특별시 서초구 강남대로 200 (양재동,삼화빌딩 지하1호)",,01,영업/정상,,,02-579-2692
(주)단비토바코,(주)한국진공압력기술,,203494.186062492,441297.995384346,2026-04-26 22:31:31,I,1,정상영업,루옌전자담배,2008-01-21 16:30:28,,2008-01-21,137-130,서울특별시 서초구 양재동 249번지 4호 신양빌딩 3층,2008321012215500001,3210000,"서울특별시 서초구 마방로 12 (양재동,신양빌딩 3층)",,01,영업/정상,,,02-2058-2501
한국오발주식회사,우리담배주식회사,,201462.739141082,443427.883057561,2026-04-26 22:31:31,I,1,정상영업,"WIGO ONE, WIGO BLUE, WIGO WINE, SWING ONE, SWING",2008-03-07 10:27:43,,2008-03-06,137-073,서울특별시 서초구 서초동 1666번지 11호 예원빌딩,2008321012215500002,3210000,"서울특별시 서초구 서초대로56길 34 (서초동,예원빌딩)",,01,영업/정상,,,02-3470-5880
주식회사 피앤디비즈,주식회사 주연홈쇼핑,,199159.471305758,443329.283654295,2026-04-26 22:31:31,I,1,정상영업,전자담배,2012-01-18 17:53:21,,2011-03-07,137-831,서울특별시 서초구 방배4동 811번지 5호   201호,2011321012215500004,3210000,"서울특별시 서초구 방배로 210, 201호 (방배동)",,01,영업/정상,,,34815412
주식회사 페로젠,홍콩 WONDERFUL 과학기술유한회사,,201470.106636829,446144.110278895,2026-04-26 22:31:31,I,1,정상영업,전자담배,2011-04-13 09:38:28,,2011-04-13,137-902,서울특별시 서초구 잠원동 9번지 4호 6층,2011321012215500005,3210000,"서울특별시 서초구 강남대로101길 43 (잠원동,6층)",,01,영업/정상,,,
에이본글로벌,"KingGreat Electronics Co.,Ltd",,201047.814485821,443253.501503658,2026-04-26 22:31:31,I,1,정상영업,전자담배,2011-05-04 10:29:10,,2011-05-04,137-874,서울특별시 서초구 서초3동 1570번지 8호 1층 상가,2011321012215500006,3210000,"서울특별시 서초구 반포대로28길 76-10 (서초동,1층 상가)",,01,영업/정상,,,
(주)티엘미디어,더파이브,,201584.333332141,445503.471033964,2026-04-26 22:31:31,I,1,정상영업,일회용 전자담배 퍼프파,2014-10-07 19:05:50,,2014-10-07,137-905,서울특별시 서초구 잠원동 39번지 1호,2014321012215500002,3210000,"서울특별시 서초구 신반포로45길 26, 2층 204호 (잠원동, 동화빌딩)",,01,영업/정상,,,
한국전자담배 서초지사,(주)한국전자담배,,203684.685065533,440681.201657853,2026-04-26 22:31:31,I,1,정상영업,한국전자담배 제조 Veil 액상 및 전자담배 기기,2014-10-08 10:31:51,,2014-10-08,137-898,서울특별시 서초구 양재동 347번지 11호,2014321012215500003,3210000,"서울특별시 서초구 강남대로8길 24-3, 3층 (양재동, 샤프빌딩)",,01,영업/정상,,,
(주)함께하는씨엠씨,럭스,,204057.795297117,441320.743329807,2026-04-26 22:31:31,I,1,정상영업,"럭스, 충전식 담배기기 및 시럽",2015-02-06 09:09:07,,2015-02-06,137-895,서울특별시 서초구 양재동 286번지 12호,2015321015515500002,3210000,"서울특별시 서초구 동산로19길 30-2, 202호 (양재동)",,01,영업/정상,,,02-6160-2383
지에이치(GH),스타버즈코리아 외 다수,,203710.655,441500.055,2026-04-26 22:31:31,I,1,정상영업,"SQUARE XL, 스타터 세트, 스타터 카트리지",2015-04-01 09:57:37,,2015-04-01,137-894,서울특별시 서초구 양재동 264번지 13호,2015321015515500004,3210000,"서울특별시 서초구 마방로10길 18-28, 2층호 (양재동)",,01,영업/정상,,,
(주)막시무스코리아,주식회사 옙,,201902.607509976,444566.618405164,2026-04-26 22:31:31,I,1,정상영업,옙 전자담배,2025-03-28 13:38:08,,2025-03-27,,서울특별시 서초구 서초동 1302-26,2025321019515500001,3210000,서울특별시 서초구 사평대로52길 3 (서초동),06609,01,영업/정상,,,
에스케이이테크놀로지코리아 주식회사,에스케이이테크놀로지코리아 주식회사,,201761.288016072,445277.204396293,2026-04-26 22:31:31,I,1,정상영업,"SKE CRYSTAL TB1000 LEMO&NIME, MENTHOL, MERRY MERRIES, KOKA-KOLA",2026-01-26 08:46:16,,2025-12-24,,서울특별시 서초구 반포동 708-7 웰빙센타 휴리재,2025321019515500002,3210000,"서울특별시 서초구 사평대로57길 131, 웰빙센타 휴리재 3층 101호 (반포동)",06535,01,영업/정상,,,
