사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,허용보관량,허용보관량내용,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,폐기물처리업별처리구분명,폐기물처리업구분명,폐기물구분명
(주)브니엘특수,2025-10-23,167390.422116589,438934.826322859,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-10-24 13:30:19,2015-04-01,,,351050092201400001,3510500,,,"인천광역시 미추홀구 아암대로 109, 407호 (용현동, 청솔프라자)",,,03,폐업,,,,,수집운반업(건설폐기물),
(주)대진,2018-05-04,171253.751346299,440253.519918292,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2018-05-04 16:48:42,2018-05-04,,,351050092201700001,3510500,,,"인천광역시 미추홀구 주안로56번길 3, 2층 (주안동, 현성빌딩)",22136,,03,폐업,,,032-863-7017,,수집운반업(건설폐기물),
(주)신원기업,2018-05-17,171247.014249563,440237.437828981,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2018-05-17 15:02:46,2018-05-17,,,351050092201700002,3510500,,,"인천광역시 미추홀구 주안로56번길 5, 2층 (주안동, 현성빌딩)",22136,,03,폐업,,,032-863-7017,,수집운반업(건설폐기물),
(주)삼보건설,2025-03-10,169666.092547571,437477.432482848,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-03-14 14:52:08,2019-10-07,,인천광역시 미추홀구 학익동 706-9 학익주택,351050092201900002,3510500,,,"인천광역시 미추홀구 한나루로357번길 73-10, 학익주택 B동 1층 (학익동)",22206,,03,폐업,,,032-233-0482,,수집운반업(건설폐기물),
(주)초정,2010-04-19,176658.051277853,449416.084114152,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-08-27 13:15:58,2010-04-19,407-300,인천광역시 계양구 임학동 30-2,355000092199800003,3550000,0,,인천광역시 계양구 임학동로55번길 5  (임학동),,,03,폐업,2010-04-19,,,,수집운반업(건설폐기물),
청수개발(주),2008-07-18,174163.104362638,448242.120216879,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-08-27 13:29:23,2001-09-24,407-782,인천광역시 계양구 효성동 33-2,355000092200100005,3550000,0,,인천광역시 계양구 안남로573번길 18 (효성동),,,03,폐업,,,032-551-0764,,수집운반업(건설폐기물),
(주)욱일환경,2011-04-06,176977.270799917,449808.104098924,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-04-06 17:13:45,2011-04-06,407-480,인천광역시 계양구 방축동 181,355000092200200002,3550000,0,,인천광역시 계양구 화산로66번길 6-1  (방축동),,,03,폐업,,,032-564-8424,,수집운반업(건설폐기물),
천명환경(주),2008-08-13,176660.86397225,448048.231920583,2026-05-03 22:52:12,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2010-08-16 16:50:25,2007-07-11,407-813,인천광역시 계양구 계산동 1082-7 라이즈빌 609호,355000092200700001,3550000,0,,"인천광역시 계양구 계양문화로 44  (계산동,라이즈빌 609호)",,,03,폐업,,,032-554-5858,,수집운반업(건설폐기물),
(주)선경환경,2007-12-03,175639.334463005,447681.479849956,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-08-27 11:34:01,2007-12-03,407-060,인천광역시 계양구 작전동 862-25,355000092200700007,3550000,,,인천광역시 계양구 봉오대로 685  (작전동),,,03,폐업,2007-12-03,,,,수집운반업(건설폐기물),
(주)정일환경,2016-03-25,176670.557328086,448161.309575535,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2016-03-25 17:39:45,2016-03-25,407-807,인천광역시 계양구 계산동 1081-7,355000092200800001,3550000,0,,"인천광역시 계양구 계양문화로 54 (계산동, 대산월드프라자 1001-117호)",,,03,폐업,,,032-541-1050,,수집운반업(건설폐기물),
주식회사 에이플러스원,2011-12-15,175365.566451073,449102.680280937,2026-05-03 22:52:13,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-12-15 17:54:07,2011-12-15,407-805,인천광역시 계양구 계산동 931-32 신도빌딩 603호,355000092200900003,3550000,0,,"인천광역시 계양구 경명대로 1037  (계산동,신도빌딩 603호)",,,03,폐업,,,032-564-9046,,수집운반업(건설폐기물),
덕암개발(주),2011-12-02,176607.326609066,448516.12033842,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-12-02 17:50:33,2011-12-02,407-813,인천광역시 계양구 계산동 1062 하이베라스D동 1009호,355000092201000002,3550000,0,,"인천광역시 계양구 계산새로 71  (계산동,하이베라스D동 1009호)",,,03,폐업,,,032-572-1117,,수집운반업(건설폐기물),
(주)제스솔라피브이,2013-11-28,176533.6041784,448599.587641905,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2013-11-29 19:56:59,2011-12-02,407-813,인천광역시 계양구 계산동 1063-3 태흥프라자 603호,355000092201000003,3550000,,,"인천광역시 계양구 계산새로65번길 13  (계산동,태흥프라자 603호)",,,03,폐업,,,032-543-5981,,수집운반업(건설폐기물),
(주)도담에코랜드,2016-10-26,173909.056773013,447424.777696997,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2016-10-26 11:22:39,2016-10-26,407-829,인천광역시 계양구 효성동 186-2 도담에코빌 201호,355000092201100001,3550000,,,"인천광역시 계양구 마장로 566 (효성동,도담에코빌 201호)",,,03,폐업,,,032-555-6464,,수집운반업(건설폐기물),
3S 상사,2023-10-10,176694.119479296,449254.861161551,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2023-10-18 09:01:56,2011-07-13,,인천광역시 계양구 임학동 67,355000092201100003,3550000,,,"인천광역시 계양구 임학동로 38, 6층 6201호 (임학동, 훼밀리코아)",21034,,03,폐업,,,,,수집운반업(건설폐기물),
산호,2015-06-29,177348.204162238,449419.210737104,2026-05-03 22:52:14,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-06-29 14:37:01,2015-06-29,407-320,인천광역시 계양구 병방동 165-1,355000092201200001,3550000,,,인천광역시 계양구 장제로920번길 33 (병방동),,,03,폐업,,,032-546-9349,,수집운반업(건설폐기물),
현원산업개발(주),2015-06-09,176330.872707088,447869.51787986,2026-05-03 22:52:15,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-06-09 17:51:22,2015-06-09,407-821,인천광역시 계양구 작전동 897-2 일신빌딩 5층 502호,355000092201200002,3550000,0,,"인천광역시 계양구 장제로 719-17, 5층 502호 (작전동, 일신빌딩)",,,03,폐업,,,032-546-8162,,수집운반업(건설폐기물),
경원환경(주),2014-04-30,,,2026-05-03 22:52:16,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2014-04-30 10:43:46,2014-04-30,,,355000092201400002,3550000,,,인천광역시 계양구 아나지로 538-13 (서운동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)용우이앤씨,2018-11-30,176670.557328086,448161.309575535,2026-05-03 22:52:16,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2018-11-30 17:29:45,2018-11-30,,,355000092201400003,3550000,,,"인천광역시 계양구 계양문화로 54, 10층 1001-18호 (계산동, (대산월드프라자))",,,03,폐업,,,032-551-9913,,수집운반업(건설폐기물),
(주)우인종합물류,2025-01-15,176698.614353271,448487.413520358,2026-05-03 22:52:16,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2026-01-29 09:15:39,2018-03-16,,인천광역시 계양구 용종동 210-3,355000092201800001,3550000,,,"인천광역시 계양구 계양문화로 86, 대우프라자 (용종동)",21065,,03,폐업,,,,,수집운반업(건설폐기물),
마포환경,2025-10-17,176828.924597791,448564.776721036,2026-05-03 22:52:18,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-10-20 15:34:00,2019-08-16,,인천광역시 계양구 용종동 212-4 새롬2차프라자 203호 113번,355000092201900002,3550000,,,"인천광역시 계양구 오조산로 91, 새롬2차프라자 203호 113번 (용종동)",21065,,03,폐업,,,,,수집운반업(건설폐기물),
더위드건설 주식회사,2024-04-12,176558.615054677,453100.945605981,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-04-12 19:08:37,2021-04-27,,인천광역시 계양구 장기동 137-10 오름채,355000092202100002,3550000,,,"인천광역시 계양구 황어로 133, 오름채 3층 301호 (장기동)",21004,,03,폐업,,,032-548-3355,,수집운반업(건설폐기물),
클린환경,2025-11-06,174036.663390217,448021.59326973,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-11-19 17:59:33,2021-04-21,,인천광역시 계양구 효성동 34-42 삼성빌딩,355000092202100003,3550000,,,"인천광역시 계양구 길마로 13, 삼성빌딩 303호 (효성동)",21093,,03,폐업,,,032-555-7331,,수집운반업(건설폐기물),
부일토건(주),2016-05-18,,,2026-05-03 22:52:18,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2016-05-18 11:04:46,2016-05-18,404-210,인천광역시 서구 원창동 383,356000092199700002,3560000,,,,,,03,폐업,,,,,수집운반업(건설폐기물),
상운환경(주),2009-03-19,170996.247486231,451366.369108656,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-03-19 10:34:37,2001-05-23,404-160,인천광역시 서구 검암동 600-7 대상프라자 3층 3호,356000092200100004,3560000,0,,"인천광역시 서구 승학로471번길 8  (검암동,대상프라자 3층 3호)",,,03,폐업,,,,,수집운반업(건설폐기물),
서신산업개발(주),2015-01-29,170863.232413186,443565.783824292,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-01-29 13:53:45,2015-01-29,,인천광역시 서구 가좌동 146-35 2층,356000092200200014,3560000,,,"인천광역시 서구 가정로 101-1 (가좌동,2층)",,,03,폐업,,,032-581-2941,,수집운반업(건설폐기물),
까치환경,2008-05-07,163445.003580453,463907.264221872,2026-05-03 22:52:19,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2010-01-07 13:39:37,2003-01-08,415-861,경기도 김포시 통진읍 가현리 616-1,356000092200300009,3560000,,,경기도 김포시 통진읍 가현로85번길 109-1,,,03,폐업,,,,,수집운반업(건설폐기물),
(주)경기토건,2007-10-09,169495.947968204,455518.072659115,2026-05-03 22:52:20,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2007-10-10 14:39:26,2005-06-17,404-290,인천광역시 서구 왕길동 641-12,356000092200500006,3560000,,,인천광역시 서구 검단로 457  (왕길동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)동아이엔티,2011-04-11,170596.155583114,441655.743396514,2026-05-03 22:52:15,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-07-24 11:27:33,2011-04-11,402-060,인천광역시 미추홀구 도화동 744-5,351050092200400003,3510500,900,,인천광역시 미추홀구 염전로201번길 72 (도화동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)유성티엔에스,2010-04-20,169815.393653199,441580.421260485,2026-05-03 22:52:16,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-10-30 15:12:25,2010-04-20,402-060,인천광역시 미추홀구 도화동 843,351050092200800001,3510500,0,,인천광역시 미추홀구 염전로202번길 74 (도화동),,,03,폐업,,,032-761-2336,,수집운반업(건설폐기물),
(주)승은개발,2019-09-26,169055.075169454,435128.83234938,2026-05-03 22:52:17,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2026-01-02 18:01:11,2019-09-26,,인천광역시 연수구 옥련동 550-3 송도프라자 3층 304호,351050092200800002,3510500,,,"인천광역시 연수구 인권로 2, 송도프라자 3층 304호 (옥련동)",21945,,03,폐업,,,032-888-9244,,수집운반업(건설폐기물),
(주)글로벌산업개발,2012-05-31,168360.873715468,440187.499375447,2026-05-03 22:52:18,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2013-11-14 16:32:27,2011-06-02,402-011,인천광역시 미추홀구 숭의동 431-23,351050092200900002,3510500,,,인천광역시 미추홀구 샛골로 8-20  (숭의동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)덕원기업,2011-04-25,171382.538336645,451553.979882098,2026-05-03 22:52:20,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-04-25 12:21:23,2011-04-25,404-160,인천광역시 서구 검암동 596-3 대림프라자 303호,356000092200500016,3560000,1,,"인천광역시 서구 승학로 515  (검암동,대림프라자 303호)",,,03,폐업,,,032-565-5605,,수집운반업(건설폐기물),
(주)강산이엔씨,2010-10-12,,,2026-05-03 22:52:20,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2010-10-12 17:50:25,2010-10-12,,"인천광역시 서구 검암동 596-3,4 대림프라자 206호",356000092200600004,3560000,0,,,,,03,폐업,,,032-569-0433,,수집운반업(건설폐기물),
(주)서주개발,2011-01-28,169074.412333573,455135.8191685,2026-05-03 22:52:20,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2011-01-28 11:20:12,2011-01-28,404-290,인천광역시 서구 왕길동 141 2동 402호,356000092200600014,3560000,0,,,,,03,폐업,,,,,수집운반업(건설폐기물),
(주)동원글라텍,2009-07-08,170737.5485,446769.954,2026-05-03 22:52:21,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2009-07-08 13:58:02,2007-02-07,404-230,인천광역시 서구 가정동 476-25,356000092200700006,3560000,,,,,,03,폐업,,,,,수집운반업(건설폐기물),
(주)재현산업개발,2015-11-30,171878.592785006,449990.186351031,2026-05-03 22:52:21,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-11-30 16:10:40,2015-11-30,404-200,인천광역시 서구 공촌동 309-1 2층,356000092201100007,3560000,,,인천광역시 서구 경명대로 666-1 (공촌동),,,03,폐업,,,032-566-1548,,수집운반업(건설폐기물),
(주)새움,2020-02-12,169460.922088136,454291.794879862,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-03-14 14:57:38,2020-02-12,404-290,"인천광역시 서구 왕길동 112-1 ,1",356000092201300002,3560000,,,인천광역시 서구 원당대로480번길 10 (왕길동),,,03,폐업,,,032-561-4221,,수집운반업(건설폐기물),
한국포장건설(주),2023-03-20,170115.873914189,444560.318285745,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2023-03-20 19:23:37,2023-03-20,404-825,인천광역시 서구 석남동 223-640,356000092201300003,3560000,,,"인천광역시 서구 봉수대로300번길 9, 2동 3층 301호 (석남동, 청우자원산업주식회사)",22794,,03,폐업,,,032-883-6966,,수집운반업(건설폐기물),
케이와이피씨(주)인천지점,2014-07-11,164543.445950237,453921.664218236,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2014-07-11 15:27:35,2014-07-11,,,356000092201300004,3560000,,,인천광역시 서구 가람로 24 (오류동),,,03,폐업,,,032-563-9003,,중간처분업(건설폐기물),
인호산업개발(주),2016-10-17,169990.63684817,443409.992657263,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2017-08-14 17:17:06,2016-10-17,,인천광역시 서구 가좌동 178-264 302호,356000092201300009,3560000,,,인천광역시 서구 건지로153번길 7 (석남동),,,03,폐업,,,032-576-0887,,수집운반업(건설폐기물),
(주)가야건설개발,2014-06-30,173026.978975951,454685.648624389,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2014-06-30 13:53:53,2014-06-30,404-320,인천광역시 서구 원당동 824-3,356000092201400001,3560000,1,,인천광역시 서구 원당대로 843 (원당동),,,03,폐업,,,,,수집운반업(건설폐기물),
(주)유성엔텍,2016-05-27,169811.735730248,455558.720496889,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-05-28 17:59:52,2016-05-27,404-250,인천광역시 서구 마전동 979-16,356000092201400003,3560000,,,"인천광역시 서구 완정로 158, 755호 (마전동)",22856,,03,폐업,,,032-582-6811,,수집운반업(건설폐기물),
에스제이(주),2018-01-10,171031.137377696,448923.533759667,2026-05-03 22:52:22,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2018-01-10 16:10:53,2018-01-10,,,356000092201500003,3560000,,,인천광역시 서구 심곡로 32 (심곡동),,,03,폐업,,,032-568-9134,,수집운반업(건설폐기물),
두이개발(주),2021-04-28,167905.824474938,455225.56227144,2026-05-03 22:52:23,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2021-04-28 15:27:28,2021-04-28,,,356000092201600002,3560000,,,인천광역시 서구 봉화로 59 (오류동),22652,,03,폐업,,,032-565-0731,,수집운반업(건설폐기물),
조은토건(주),2024-03-12,173149.510463253,454673.302798608,2026-05-03 22:52:23,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-03-12 09:48:58,2017-08-07,,,356000092201700006,3560000,,,"인천광역시 서구 원당대로 855, 301호 (원당동, 웰빙프라자)",22647,,03,폐업,,,031-971-8831,,수집운반업(건설폐기물),
(주)대건산업개발,2023-09-27,166938.174342509,453426.92716895,2026-05-03 22:52:23,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2023-09-27 16:45:29,2019-08-02,,인천광역시 서구 오류동 434-220 2층,356000092201900001,3560000,,,"인천광역시 서구 두루물로96번길 1, 2층 (오류동)",22668,,03,폐업,,,032-563-5738,,수집운반업(건설폐기물),
에스디(SD)개발,2024-10-04,167958.424595337,457680.65879119,2026-05-03 22:52:24,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-10-04 16:29:16,2021-09-14,,인천광역시 서구 금곡동 678-17,356000092201900003,3560000,,,인천광역시 서구 신동길 37-3 (금곡동),22604,,03,폐업,,,,,수집운반업(건설폐기물),
(주)화승산업개발,2023-06-15,170833.50645676,447265.702504334,2026-05-03 22:52:24,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2023-06-15 14:30:40,2023-06-15,,인천광역시 서구 가정동 618-2 금강하이프라자,356000092202100002,3560000,,,"인천광역시 서구 봉오재3로 100, 금강하이프라자 5층 503호 (가정동)",22883,,03,폐업,,,032-886-6301,,수집운반업(건설폐기물),
장형산업개발(주),2024-03-28,172158.264442778,449980.232578064,2026-05-03 22:52:24,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2024-03-28 11:43:05,2021-07-08,,인천광역시 서구 공촌동 307,356000092202100003,3560000,,,"인천광역시 서구 경명대로694번길 1, 201호 (공촌동)",22709,,03,폐업,,,032-552-6247,,수집운반업(건설폐기물),
(주)이슬컴퍼니,2025-09-04,171357.487582846,449622.953638761,2026-05-03 22:52:24,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2025-09-15 17:57:51,2024-06-20,,인천광역시 서구 연희동 687-4 서광빌딩,356000092202400005,3560000,,,"인천광역시 서구 서곶로 345, 402호 일부, 서광빌딩 (연희동)",22722,,03,폐업,,,032-568-0194,,수집운반업(건설폐기물),
(주)옹진해양환경,2015-10-13,85642.9384893235,462897.540530767,2026-05-03 22:52:15,I,2,폐업,건설폐기물처리업사업계획(허가)신청,2015-10-12 21:19:14,2015-10-12,409-840,인천광역시 옹진군 연평면 연평리 482-66,358000092201200001,3580000,,,,,,03,폐업,,,,,수집운반업(건설폐기물),
주식회사 강화개발환경,,158707.339595351,458162.876322886,2026-05-03 22:52:17,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-02-13 13:15:41,2026-02-13,,인천광역시 강화군 길상면 초지리 1251-421,357000092202500001,3570000,,,"인천광역시 강화군 길상면 해안남로 39, 2층",23052,,01,영업/정상,,,,,수집운반업(건설폐기물),
(주)유성엔텍,,169811.735730248,455558.720496889,2026-05-03 22:52:23,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-04-03 17:30:52,2026-04-03,,인천광역시 서구 마전동 979-16,356000092201700004,3560000,,,"인천광역시 서구 완정로 158, 755호 (마전동)",22635,,01,영업/정상,,,032-582-6812,,수집운반업(건설폐기물),
(공동대표)하나로건기,,207423.955101627,452476.697093769,2026-05-03 22:52:12,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2026-02-21 18:07:11,2001-05-24,,서울특별시 중랑구 면목동 379-35,306000092200100005,3060000,0,,서울특별시 중랑구 면목로 241 (면목동),02245,,01,영업/정상,,,02-2208-2244,,수집운반업(건설폐기물),
(주)상익공영,,206608.815698166,456579.093289836,2026-05-03 22:52:12,I,BBBB,영업,건설폐기물처리업사업계획(허가)신청,2025-03-12 08:59:45,2003-10-30,,서울특별시 중랑구 묵동 240-3 2층,306000092200300002,3060000,0,,"서울특별시 중랑구 중랑역로 203, 2층 (묵동)",02007,,01,영업/정상,,,02-433-6112,,수집운반업(건설폐기물),
