사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
동원산업(주)중부물류센타,1,,,,,법인,244343.290673053,414808.512739552,2026-05-03 22:03:01,I,03,폐업,5,"랙, 지게차",0,0,9740,1,0,7600,2018-02-27 19:16:03,2013-07-18,467-852,경기도 이천시 대월면 초지리 57번지 12호 A동,2013407009832500006,4070000,"경기도 이천시 대월면 대월로932번길 94, A동",,,03,폐업,,,
(주)극동티엘에스,1,,,,,법인,234210.122208725,419877.770941365,2026-05-03 22:03:02,I,03,폐업,1,"랙, 지게차",0,0,1157,1,0,1400,2019-01-07 15:39:39,2014-05-02,467-811,경기도 이천시 마장면 장암리 463번지,2014407009832500002,4070000,"경기도 이천시 마장면 이장로311번길 83, A동",,,03,폐업,,,
(주)대현,1,,,,,법인,234079.596570912,419908.470817627,2026-05-03 22:03:03,I,03,폐업,10,"랙, 크레인, 지게차",4707.6,1,0,0,0,,2018-02-27 19:17:28,2014-07-22,467-811,경기도 이천시 마장면 장암리 462번지 4호,2014407009832500008,4070000,"경기도 이천시 마장면 이장로311번길 91, 3층",,,03,폐업,,,031-638-5586
(주)엘피엘,1,,,,,법인,234605.894060443,412169.398401242,2026-05-03 22:03:04,I,03,폐업,12,"렉설치, 지게차",0,0,16242,1,0,7500,2018-02-27 19:18:04,2015-06-07,,,2015407009832500003,4070000,경기도 이천시 호법면 이섭대천로 38-2,,,03,폐업,,,02-586-0065
(주)케이이에스로지스틱,1,,,,,법인,,,2026-05-03 22:03:05,I,03,폐업,4,지게차 등,0,0,9862,1,0,7600,2018-02-27 19:18:39,2015-09-07,,,2015407009832500008,4070000,경기도 이천시 마장면 중부대로147번길 347-83,17382,,03,폐업,,,
롯데로지스틱스(주),1,,,,,법인,234210.122208725,419877.770941365,2026-05-03 22:03:18,I,03,폐업,50,"랙설치, 지게차",13907,2,42739,2,0,,2018-06-12 14:18:56,2018-05-01,,경기도 이천시 마장면 장암리 463번지 롯데이천물류센터,2018407009832500015,4070000,"경기도 이천시 마장면 이장로311번길 83, 롯데이천물류센터",17383,,03,폐업,,,02-2095-3000
롯데로지스틱스(주),,,,,,법인,234210.122208725,419877.770941365,2026-05-03 22:03:22,I,03,폐업,,,13907,2,42739,2,0,,2020-05-19 14:16:07,2020-05-19,,경기도 이천시 마장면 장암리 463번지 롯데이천물류센터,2019407019632500008,4070000,"경기도 이천시 마장면 이장로311번길 83, 롯데이천물류센터",17383,,03,폐업,,,02-2095-3000
주식회사 메이크스타,1,,,,,법인,231944.627841382,415881.805362322,2026-05-03 22:03:57,I,01,영업중,67,지게차 5대,0,0,6967.47,1,0,,2026-02-24 14:47:02,2026-02-24,,경기도 이천시 마장면 오천리 118-15,2026407024932500002,4070000,경기도 이천시 마장면 덕평로 965,17387,,01,영업/정상,,,
(주)나라로지스틱스 백사센터,,,,,,법인,243567.503791232,425160.560055969,2026-05-03 22:03:57,I,01,영업중,20,"랙설치, 크레인",0,0,16052.3,1,0,,2026-03-13 07:22:48,2026-02-24,,경기도 이천시 백사면 내촌리 228-98,2026407024932500003,4070000,경기도 이천시 백사면 청백리로393번길 353,17314,,01,영업/정상,,,
주식회사 원에프엔씨,1,,,,,법인,233928.213057154,418189.138760226,2026-05-03 22:03:57,I,01,영업중,15,"랙설치, 단프라 박스 설치, 냉난방기 설치",0,0,13573,1,0,,2026-04-08 15:19:45,2026-04-08,,경기도 이천시 마장면 장암리 618,2026407024932517268,4070000,"경기도 이천시 마장면 이장로 148-46, 3,4층",17383,,01,영업/정상,,,02-2212-6467
씨제이대한통운(주) 빽다방센터,1,,,,,법인,245405.354618581,413973.940635894,2026-05-03 22:03:57,I,01,영업중,31,"냉동냉장설비, 랙설치, 지게차",6013.25,1,0,0,0,,2026-03-12 09:42:47,2026-03-07,,경기도 이천시 대월면 부필리 309,2026407024932500005,4070000,"경기도 이천시 대월면 경충대로1687번길 205, 지하 2층",17403,,01,영업/정상,,,031-629-1536
로지스팟한록 이천지점,1,,,,,법인,245405.354618581,413973.940635894,2026-05-03 22:03:57,I,01,영업중,1,"파렛트랙, 지게차 11대",4487.2,1,0,0,0,,2026-03-30 11:14:44,2026-03-21,,경기도 이천시 대월면 부필리 309,2026407024932500006,4070000,"경기도 이천시 대월면 경충대로1687번길 205, 지하2층",17403,,01,영업/정상,,,031-378-2040
