사업장명,사업장전화번호,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,사무소전화번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
영진탱크터미널,,2013-08-06,166046.664038651,443113.960786863,2026-05-03 22:49:41,I,03,폐업,2014-02-04 10:45:16,1994-04-08,,인천광역시 동구 만석동 2번지 156 호,1994350000906500003,032-773-2082,3500000,인천광역시 동구 보세로42번길 61 (만석동),,,03,폐업,,,032-773-2082
동부건설(주),,2011-07-06,165870.811193601,442840.321864143,2026-05-03 22:49:41,I,03,폐업,2011-12-28 15:39:03,1999-08-27,,인천광역시 동구 만석동 2번지 252 호,1999350000906500006,032-570-6726,3500000,인천광역시 동구 보세로 74 (만석동),,,03,폐업,,,032-570-6726
서진산업,,2013-07-23,170080.945094666,442425.377747266,2026-05-03 22:49:41,I,03,폐업,2013-07-23 09:37:39,2002-06-19,,인천광역시 동구 송림동 296번지 5호,2002350000906500001,032-571-6501,3500000,인천광역시 동구 봉수대로96번길 47 (송림동),,,03,폐업,,,032-571-6501
(주)한일계량증명소,,2025-09-05,166362.187705004,442884.366689169,2026-05-03 22:49:41,I,03,폐업,2025-09-08 08:57:38,2005-09-05,401-010,인천광역시 동구 만석동 2번지 144호,2005350000906500001,032-765-4200,3500000,인천광역시 동구 보세로 34 (만석동),,,03,폐업,,,032-765-4200
유니 메트릭,,2021-11-26,166366.237314098,442844.801048758,2026-05-03 22:49:42,I,03,폐업,2022-04-22 17:58:42,2020-03-19,,인천광역시 동구 만석동 2번지 412호 유니환경,2020350013206500001,032-579-4408,3500000,"인천광역시 동구 보세로 29, 유니환경 (만석동)",22500,,03,폐업,,,032-579-4408
인천교계량증명업소,,2023-12-20,170673.046224228,441503.155544578,2026-05-03 22:49:44,I,03,폐업,2023-12-21 11:22:38,1979-02-08,,인천광역시 미추홀구 도화동 53번지 13호,2000351000006500017,032-863-3027,3510500,인천광역시 미추홀구 장고개로 83(도화동),22113,,03,폐업,,,032-863-3027
성보공업(주)계량증명업소,,2020-08-20,170677.49803144,441305.147341709,2026-05-03 22:49:44,I,03,폐업,2020-08-21 16:03:47,1988-03-26,,인천광역시 미추홀구 도화동 707번지,2000351000006500043,032-874-7200,3510500,인천광역시 미추홀구 염전로 255 (도화동),,,03,폐업,,,032-874-7200
대우일렉트로닉스 인천공장,,2011-07-15,,,2026-05-03 22:49:44,I,03,폐업,2011-07-15 10:23:08,2005-02-18,,인천광역시 미추홀구 용현동 604번지,2005351006106500001,032-880-5033,3510500,,,,03,폐업,,,032-880-5033
도화계량소,,2011-07-15,170513.475571618,441604.72029932,2026-05-03 22:49:44,I,03,폐업,2011-07-15 10:22:35,2007-04-24,402-063,인천광역시 미추홀구 도화3동 754번지 1호,2007351009206500001,032-428-3951,3510500,인천광역시 미추홀구 송림로 309 (도화동),,,03,폐업,,,032-428-3951
협진계량증명업소,,2004-08-06,175419.774343376,447108.897108723,2026-05-03 22:49:44,I,03,폐업,2009-12-03 11:42:03,2000-05-30,,인천광역시 계양구 작전동 429번지 8   호,2000355000006500001,032-546-2031,3550000,인천광역시 계양구 계양대로 24 (작전동),,,03,폐업,,,032-546-2031
까치계량증명업소,,2019-01-03,176454.765842621,447085.003449487,2026-05-03 22:49:44,I,03,폐업,2019-01-08 18:00:18,1990-04-12,,인천광역시 계양구 작전동 706번지 8   호,2000355000006500003,032-549-9156,3550000,인천광역시 계양구 아나지로 379 (작전동),,,03,폐업,,,032-549-9156
대호계량증명업소,,2017-08-31,177651.477702952,450537.094711948,2026-05-03 22:49:44,I,03,폐업,2017-09-07 16:53:09,1998-01-26,,인천광역시 계양구 박촌동 149번지 7  호,2000355000006500005,032-512-8256,3550000,인천광역시 계양구 동양로 19 (박촌동),,,03,폐업,,,032-512-8256
대영철재,,2022-07-21,173861.169988333,447440.210257607,2026-05-03 22:49:44,I,03,폐업,2022-07-21 11:51:08,2007-04-09,,인천광역시 계양구 효성동 186번지 13호,2007355005906500001,032-545-2907,3550000,인천광역시  마장로 567,,,03,폐업,,,032-545-2907
