사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
익산정밀공업사,2020-10-06,199425.264077104,451967.893318129,2026-05-03 22:31:43,I,03,폐업,2020-10-06 17:42:35,,2005-07-28,110-430,서울특별시 종로구 장사동 84번지 2호,PHMG320053000034047400016,3000000,N,서울특별시 종로구 종로24길 7 (장사동),,,"진료대,일반기기,판금물,마취기, 이학진료용기기,심혈관용기계기구,비뇨기과용기계기구,환자운반차,체외진단용기기,생체현상측정기기,전기수술장치,레이저진료기,의약품주입기,정형용기기,정형용품",03,폐업,,,02-2274-7096,
와이덱스보청기 종로점,2013-04-18,198966.805968344,452027.574753972,2026-05-03 22:31:43,I,03,폐업,2013-04-18 10:19:15,,2010-09-08,110-122,서울특별시 종로구 종로2가 40번지 육의전빌딩 301호,PHMG320103000034047400001,3000000,Y,"서울특별시 종로구 수표로 105, 301호 (종로2가,육의전빌딩)",,,보청기,03,폐업,,,02-762-1388,
(주)히어링솔루션코리아 - 복음보청기 종로점,2016-03-30,199321.4036677,451985.646550196,2026-05-03 22:31:44,I,03,폐업,2016-03-30 11:30:30,,2011-01-07,110-123,서울특별시 종로구 종로3가 147번지 금천빌딩 3층,PHMG320113000034047400001,3000000,Y,"서울특별시 종로구 종로 140 (종로3가,금천빌딩 3층)",,,보청기,03,폐업,,,02-2268-3377,
(주)보령수앤수,2020-08-25,199749.709303956,452471.681673191,2026-05-03 22:31:44,I,03,폐업,2020-08-25 15:05:10,,2011-06-01,110-750,서울특별시 종로구 원남동 66번지 21호 11층,PHMG320113000034047400003,3000000,Y,"서울특별시 종로구 창경궁로 136, 11층 (원남동)",03127,,"일반기기, 이학진료용기기, 체온측정용기구, 생체현상측정기기",03,폐업,,,02-740-4277,
헬프히어링,2023-11-30,200181.146934518,452053.510196786,2026-05-03 22:31:44,I,03,폐업,2023-11-30 15:44:47,,2013-05-13,110-836,서울특별시 종로구 종로5가 193번지 5호 송화빌딩 4층 401호,PHMG320133000034047400001,3000000,Y,"서울특별시 종로구 종로 226, 4층 401호 (종로5가, 송화빌딩)",03196,,보청기,03,폐업,,,02-2268-5031,
주식회사 한국보청기,2022-12-01,199297.760920817,451990.209151371,2026-05-03 22:31:44,I,03,폐업,2022-12-01 17:22:35,,2014-12-10,110-123,서울특별시 종로구 종로3가 144번지 1호 2층,PHMG320143000034047400003,3000000,Y,"서울특별시 종로구 종로 138, 2층 (종로3가)",03193,,보청기,03,폐업,,,02-2274-3755,
복음보청기,2016-09-06,199321.4036677,451985.646550196,2026-05-03 22:31:46,I,03,폐업,2016-09-06 17:59:47,,2016-04-06,,서울특별시 종로구 종로3가 147번지 305호,PHMG320163000034047400001,3000000,Y,"서울특별시 종로구 종로 140, 305호 (종로3가)",03193,,보청기,03,폐업,,,02-6466-2113,
(주)동산히어링복음보청기종로지점,2020-05-08,199321.4036677,451985.646550196,2026-05-03 22:31:47,I,03,폐업,2020-05-08 16:58:53,,2016-09-08,,,PHMG320163000034047400002,3000000,Y,"서울특별시 종로구 종로 140, 303,305호 (종로3가)",03193,,보청기,03,폐업,,,02-2268-3377,
청음보청기,2019-08-09,198525.851210964,451909.692402004,2026-05-03 22:31:48,I,03,폐업,2019-08-09 15:49:09,,2018-05-03,,서울특별시 종로구 관철동 43번지 1호 3층,PHMG320183000034047400001,3000000,Y,"서울특별시 종로구 종로8길 13, 3층 (관철동)",03189,,보청기,03,폐업,,,02-737-5460,
홍익치재,2011-03-08,205836.228429906,455668.965966434,2026-05-03 22:32:17,I,03,폐업,2011-03-08 09:49:49,,2005-06-14,130-828,서울특별시 동대문구 이문2동 220번지 10호,PHMG320053050034047400001,3050000,Y,서울특별시 동대문구 한천로 481-5 (이문동),,,"진료대, 방사선진료장치",03,폐업,,,,
리즈메드,2011-04-05,206009.495097994,451806.846262685,2026-05-03 22:32:17,I,03,폐업,2011-04-05 13:58:57,,2005-02-22,130-842,서울특별시 동대문구 장안1동 374번지 1호 장안현대벤처빌 1718호,PHMG320053050034047400002,3050000,,"서울특별시 동대문구 장한로 85 (장안동,장안현대벤처빌 1718호)",,,,03,폐업,,,22465451,
(주)계림메디텍,2013-04-26,202216.332434542,452885.338012166,2026-05-03 22:32:17,I,03,폐업,2013-04-26 14:32:02,,2005-06-07,130-810,서울특별시 동대문구 신설동 45번지 2호 1층,PHMG320053050034047400006,3050000,Y,"서울특별시 동대문구 한빛로 29, 1층 (신설동)",,,"일반기기, 방사선진료장치, 생체현상측정기, 시술기구",03,폐업,,,,
성지쎄라믹테크,2011-08-01,205949.522967263,452094.668448564,2026-05-03 22:32:17,I,03,폐업,2011-08-30 11:24:01,,2005-07-18,130-842,서울특별시 동대문구 장안1동 390번지 1호 1층,PHMG320053050034047400008,3050000,N,"서울특별시 동대문구 한천로26길 44 (장안동,1층)",,,진료대,03,폐업,,,22470435,
남승의료기,2018-04-16,205870.759584301,452035.00751324,2026-05-03 22:32:17,I,03,폐업,2018-04-16 15:24:24,,2005-03-18,,서울특별시 동대문구 장안동 168번지 2호 1층일부,PHMG320053050034047400010,3050000,Y,서울특별시 동대문구 답십리로66길 48 (장안동),02623,,"진료대, 방사선진료장치",03,폐업,,,22147176,
(주)씨에스메디텍,2011-12-29,202177.18063447,452577.685005126,2026-05-03 22:32:17,I,03,폐업,2011-12-29 14:51:43,,2006-07-06,130-811,서울특별시 동대문구 신설동 98번지 15호 동서빌딩 104-A,PHMG320063050034047400001,3050000,Y,"서울특별시 동대문구 왕산로2길 19 (신설동,동서빌딩 104-A)",,,체외진단용기기,03,폐업,,,,
스타키보청기청량리지점,2014-03-11,203968.576625555,453169.635046494,2026-05-03 22:32:17,I,03,폐업,2014-03-11 17:23:12,,2007-08-16,130-867,서울특별시 동대문구 청량리동 266번지 2층,PHMG320073050034047400001,3050000,Y,"서울특별시 동대문구 왕산로 207, 2층 (청량리동)",,,보청기,03,폐업,,,,
드림메드,2020-12-04,205521.208193069,455478.118027415,2026-05-03 22:32:17,I,03,폐업,2020-12-04 18:06:11,,2008-01-29,130-827,서울특별시 동대문구 이문2동 256번지 136호,PHMG320083050034047400001,3050000,Y,서울특별시 동대문구 이문로46길 22 (이문동),02412,,일반기기,03,폐업,,,,
(주)동대문서비스,2016-12-30,203340.418414399,452571.817142701,2026-05-03 22:32:17,I,03,폐업,2017-01-13 15:19:55,,2008-11-04,130-817,서울특별시 동대문구 용두동 29번지 6호 3층,PHMG320083050034047400002,3050000,Y,"서울특별시 동대문구 고산자로 402, 3층 (용두동)",02565,,"의료용물질생성기, 정형용기기기",03,폐업,,,22490071,
대한보청기(주),2017-01-23,205597.832561857,451080.986788942,2026-05-03 22:32:17,I,03,폐업,2017-01-23 11:02:00,,2009-02-09,130-844,서울특별시 동대문구 장안1동 416번지 6호 4층,PHMG320093050034047400002,3050000,Y,"서울특별시 동대문구 천호대로 405, 4층 (장안동)",02633,,보청기,03,폐업,,,,
동부메디칼,2016-08-26,202742.494679628,452594.716149826,2026-05-03 22:32:18,I,03,폐업,2016-08-26 10:17:52,,2010-11-19,130-820,서울특별시 동대문구 용두동 118번지 17호 2층,PHMG320103050034047400003,3050000,Y,"서울특별시 동대문구 무학로32길 19, 2층 (용두동)",02584,,"이학진료용기기, 시술기구",03,폐업,,,,
위니아서비스 동대문점,2022-10-19,205018.210432587,452185.824073309,2026-05-03 22:32:18,I,03,폐업,2022-10-19 16:24:22,,2011-05-25,,서울특별시 동대문구 답십리동 52번지 3호 2층,PHMG320113050034047400003,3050000,Y,"서울특별시 동대문구 전농로 80, 2층 (답십리동)",02606,,의료용물질생성기,03,폐업,,,02-2246-4480,
위니아서비스 성북점,2022-10-28,202334.489081813,453170.983578367,2026-05-03 22:32:18,I,03,폐업,2022-10-28 11:05:03,,2011-05-25,130-824,서울특별시 동대문구 용두동 730번지 11호 1층,PHMG320113050034047400004,3050000,Y,"서울특별시 동대문구 안암로 46, 1층 (용두동)",02578,,의료용물질생성기,03,폐업,,,,
보람생활지원센터,2012-12-24,203253.914716369,452709.237505829,2026-05-03 22:32:18,I,03,폐업,2012-12-24 11:13:15,,2012-06-13,,,PHMG320123050034047400001,3050000,Y,"서울특별시 동대문구 천호대로27길 56, 1층 (용두동)",,,환자운반차,03,폐업,,,,
글로벌보청기,2014-04-21,204089.817117361,453314.135663101,2026-05-03 22:32:18,I,03,폐업,2014-04-21 10:45:04,,2014-01-15,,,PHMG320143050034047400001,3050000,Y,"서울특별시 동대문구 왕산로 225, 2층 2-4호 (청량리동, 미주상가 A동)",,,보청기,03,폐업,,,,
파란메디칼,2018-03-21,204999.401520352,451290.385714542,2026-05-03 22:32:18,I,03,폐업,2018-03-21 17:16:04,,2014-04-10,,"서울특별시 동대문구 답십리동 961번지 2호 416호, 417호",PHMG320143050034047400005,3050000,Y,"서울특별시 동대문구 고미술로 100, 416호, 417호 (답십리동)",02622,,"의료용물질생성기, 의료용자극발생기계기구, 생명유지장치(의료용산소발생기)",03,폐업,,,02-2215-3743,
우진아이엔씨,2016-12-30,204571.882032275,454314.512181787,2026-05-03 22:32:18,I,03,폐업,2017-01-13 17:53:50,,2014-07-01,,서울특별시 동대문구 회기동 60번지 31호 2층 203호,PHMG320143050034047400007,3050000,Y,"서울특별시 동대문구 회기로 148-8, 2층 203호 (회기동)",02459,,"진료용일반장비(의료용조명기), 진단용장치(진단용엑스선장치)",03,폐업,,,63970801,
애플바이오,2016-09-30,206101.9138443,452155.691148899,2026-05-03 22:32:18,I,03,폐업,2016-09-30 17:51:48,,2014-05-19,130-787,서울특별시 동대문구 장안동 371번지 1호,PHMG320143050034047400008,3050000,Y,"서울특별시 동대문구 장한로 119, 214호 (장안동, 삼성쉐르빌)",02624,,"의료용 정온기, 의료용 원심분리기",03,폐업,,,36671666,
한마음케어,2017-09-29,203645.485838656,453770.014825648,2026-05-03 22:32:18,I,03,폐업,2017-09-29 16:30:42,,2016-05-18,,서울특별시 동대문구 제기동 285번지 31호 1층,PHMG320163050034047400001,3050000,N,"서울특별시 동대문구 홍릉로17길 20, 1층 (제기동)",02480,,환자운반차,03,폐업,,,02-959-6432,
에덴텍,2013-05-08,189419.091886816,441207.655086501,2026-05-03 22:34:12,I,03,폐업,2013-05-08 12:58:02,,2005-05-02,153-706,서울특별시 금천구 가산동 345번지 90호 한라시그마밸리 601호,PHMG320053170035047400001,3170000,Y,"서울특별시 금천구 가산디지털2로 53, 601호 (가산동,한라시그마밸리)",,,"진료대, 일반기기, 판금물, 방사선진료장치, 의료용경, 시술기구, 전기수술장치, 정형용기기, 치과용기기",03,폐업,,,,
(주)경원메디칼,2012-04-13,189788.849463856,441731.610478567,2026-05-03 22:34:13,I,03,폐업,2012-04-13 16:09:02,,2005-05-18,153-023,서울특별시 금천구 가산동 60번지 24호 월드메르디앙벤처센터 601호,PHMG320053170035047400003,3170000,Y,"서울특별시 금천구 벚꽃로 254, 601호 (가산동,월드메르디앙벤처센터)",,,"청진기, 체온측정용기구, 생체현상측정기, 시술기구, 정형용기기, 의료용경, 주사침 및 천자침, 정형용품, 이학진료용기기",03,폐업,,,,
(주)피오씨코리아,2013-10-16,189092.729912585,442262.659278232,2026-05-03 22:34:13,I,03,폐업,2013-10-16 18:03:21,,2005-05-18,153-023,서울특별시 금천구 가산동 459번지 22호 백상스타타워2차  1106호,PHMG320053170035047400004,3170000,Y,"서울특별시 금천구 가산디지털2로 165, 1106호 (가산동,백상스타타워2차)",,,체외진단용기기,03,폐업,,,20580971,
(주)그린메이트바이오텍,2014-04-21,201404.55689267,443434.610953133,2026-05-03 22:34:13,I,03,폐업,2014-04-22 09:17:43,,2005-05-02,137-881,서울특별시 서초구 서초1동 1669번지 9호,PHMG320053170035047400007,3170000,Y,"서울특별시 금천구 디지털로 130, 1410호 (가산동, 남성프라자)",,,"혈액표본 처리기구, 의료용면역 흡광측정기",03,폐업,,,,
파디아코리아(주),2017-04-28,189863.598209033,441870.90420315,2026-05-03 22:34:14,I,03,폐업,2017-04-28 10:09:12,,2008-06-12,,서울특별시 금천구 가산동 60번지 21호 아이티 미래타워 2004-2호~2005호,PHMG320083170035047400001,3170000,Y,"서울특별시 금천구 디지털로9길 33, 2004-2호,2005호호 (가산동, IT미래TOWER)",08511,,체외진단용기기,03,폐업,,,20275400,
(주)에프엔코리아,2015-10-16,189202.600232089,441848.24299943,2026-05-03 22:34:14,I,03,폐업,2015-10-16 17:21:53,,2008-01-29,153-023,서울특별시 금천구 가산동 426번지 5호 월드메르디앙벤처센터2차 1201호,PHMG320083170035047400002,3170000,Y,"서울특별시 금천구 가산디지털2로 123, 1201호 (가산동,월드메르디앙벤처센터2차)",,,방사선진료장치,03,폐업,,,20254343,
코리아테크,2013-05-24,191283.513541979,437676.252420606,2026-05-03 22:34:16,I,03,폐업,2013-05-24 14:07:33,,2008-07-28,153-033,서울특별시 금천구 시흥3동 984번지 44호 건목프라자 202호,PHMG320083170035047400004,3170000,Y,"서울특별시 금천구 시흥대로27길 22, 202호 (시흥동,건목프라자)",,,"방사선진료장치,비전리진단장치",03,폐업,,,,
(주)구로LGC,2017-01-06,190946.406293395,440804.121410146,2026-05-03 22:34:17,I,03,폐업,2017-01-06 09:33:12,,2008-11-25,,,PHMG320083170035047400005,3170000,N,"서울특별시 금천구 시흥대로 398, 2층 201호 (독산동)",08579,,안마의자,03,폐업,,,,
(주)메디스피드글로벌,2011-08-25,189685.715834343,442026.454121483,2026-05-03 22:34:18,I,03,폐업,2011-08-25 17:26:46,,2009-07-15,153-023,서울특별시 금천구 가산동 60번지 15호 리더스타워 713호,PHMG320093170035047400001,3170000,Y,"서울특별시 금천구 벚꽃로 286, 713호 (가산동,리더스타워)",,,"일반기기, 방사선진료장치, 이학진료용기기, 생체현상측정기기, 의료용경, 정형용품",03,폐업,,,,
가온메디칼,2023-01-20,205961.31666139,452338.135496996,2026-05-03 22:32:18,I,03,폐업,2023-01-20 15:00:42,,2017-04-19,,서울특별시 동대문구 장안동 142번지 1호,PHMG320173050034047400001,3050000,Y,"서울특별시 동대문구 답십리로63길 16, 1층 (장안동)",02529,,체외진단용기기,03,폐업,,,02-2249-9261,
우리케어,2022-10-13,203096.068286407,453841.342384706,2026-05-03 22:32:18,I,03,폐업,2022-10-13 17:57:52,,2019-07-10,,서울특별시 동대문구 제기동 135번지 14호,PHMG320193050034047400002,3050000,Y,서울특별시 동대문구 안암로22길 46 (제기동),02473,,"전동휠체어, 전동스쿠터, 수동휠체어, 욕창예방방석, 욕창예방매트리스, 이동식전동리프트",03,폐업,,,,
월드메디텍,2022-12-26,204089.817117361,453314.135663101,2026-05-03 22:32:18,I,03,폐업,2022-12-26 11:26:46,,2022-10-11,,서울특별시 동대문구 청량리동 235-4 미주상가,PHMG320223050034047400002,3050000,Y,"서울특별시 동대문구 왕산로 225, 미주상가 A동 3층 16호 (청량리동)",02490,,"수술대,검진대,초음파,엘만보비(수술기구)",03,폐업,,,,
동아참메드 주식회사,2024-01-09,202539.244754964,452298.667432166,2026-05-03 22:32:18,I,03,폐업,2024-01-10 11:00:33,,2023-03-03,,서울특별시 동대문구 용두동 252-6 동아제약 웰컴센터,PHMG320233050034047400001,3050000,Y,"서울특별시 동대문구 천호대로14길 18, 동아제약 웰컴센터 1층 일부 (용두동)",02587,,체외진단용기기,03,폐업,,,02-2173-7217,
고려의료기,2025-03-19,205437.99609028,460765.486012553,2026-05-03 22:32:29,I,03,폐업,2025-03-19 16:00:11,,2010-12-31,139-832,서울특별시 노원구 상계6.7동 749번지 8호 삼양빌딩 102호,PHMG319983100034047400001,3100000,,"서울특별시 노원구 동일로 1350, 102호 (상계동, 삼양빌딩)",01756,,"환자운반차, 보청기",03,폐업,,,,
위니아서비스노원점,2012-10-04,206272.075043171,457893.814951571,2026-05-03 22:32:29,I,03,폐업,2012-10-04 12:02:15,,2005-06-09,139-805,서울특별시 노원구 공릉1.3동 492번지 3호 서진프라자 108호,PHMG320093100034047400002,3100000,,"서울특별시 노원구 동일로173가길 115 (공릉동,서진프라자 108호)",,,의료용물질생성기,03,폐업,,,02-978-2274,
진바이오텍,2012-05-16,206431.191943221,457306.715339807,2026-05-03 22:32:29,I,03,폐업,2012-05-16 13:17:15,,2005-05-23,139-808,서울특별시 노원구 공릉1.3동 684번지 32호 대진빌딩 3층,PHMG320103100034047400002,3100000,,"서울특별시 노원구 화랑로 419-17 (공릉동,대진빌딩 3층)",,,체외진단용기기,03,폐업,,,02-948-8246,
시그니아독일보청기노원센터,2020-03-26,205539.051712379,461429.301858351,2026-05-03 22:32:29,I,03,폐업,2020-03-26 17:57:58,,2010-01-15,139-821,서울특별시 노원구 상계2동 717번지 1호 노원빌딩 303호,PHMG320103100034047400005,3100000,Y,"서울특별시 노원구 노해로 501, 303호 (상계동, 노원빌딩)",01695,,보청기,03,폐업,,,02-932-9002,
대경메디텍,2012-01-12,206296.538943965,457953.55861729,2026-05-03 22:32:29,I,03,폐업,2012-01-12 10:53:24,,2010-03-09,139-805,서울특별시 노원구 공릉1.3동 493번지 1호 대경빌딩 2층,PHMG320113100034047400001,3100000,,"서울특별시 노원구 동일로173가길 128 (공릉동,대경빌딩 2층)",,,,03,폐업,,,,
이레케어,2015-03-27,203937.138707359,458641.497243761,2026-05-03 22:32:29,I,03,폐업,2015-03-27 16:19:30,,2011-01-04,139-852,서울특별시 노원구 월계2동 886번지 9호 1층,PHMG320113100034047400002,3100000,,"서울특별시 노원구 덕릉로60길 246, 1층 (월계동)",,,"환자운반차, 시술기구",03,폐업,,,070-7797-8844,
다솜케어,2023-10-31,205316.296326505,458732.958771992,2026-05-03 22:32:29,I,03,폐업,2023-11-01 13:03:52,,2011-03-07,139-842,서울특별시 노원구 월계동 321번지 2호 희성프라자 128호,PHMG320113100034047400004,3100000,Y,서울특별시 노원구 월계로 370 (월계동),01905,,환자운반차,03,폐업,,,,
에치엘티,2015-09-03,205880.349768572,461032.780065805,2026-05-03 22:32:29,I,03,폐업,2015-09-04 15:29:27,,2011-11-02,139-943,서울특별시 노원구 상계6.7동 757번지 한양아파트상가  207호,PHMG320113100034047400007,3100000,Y,서울특별시 노원구 동일로216길 92 (상계동),01754,,"청력검사용 기기, 의료용 조명기",03,폐업,,,20910874,
가연케어,2014-10-23,207001.924309234,457994.459666206,2026-05-03 22:32:29,I,03,폐업,2014-10-23 15:31:31,,2012-04-27,139-804,서울특별시 노원구 공릉2동 412번지 20호 1층,PHMG320123100034047400001,3100000,Y,"서울특별시 노원구 공릉로42길 6-1 (공릉동, 1층)",,,환자운반차,03,폐업,,,,
위니아서비스 노원점,2020-08-07,206272.075043171,457893.814951571,2026-05-03 22:32:30,I,03,폐업,2020-08-07 14:36:37,,2012-12-31,139-806,서울특별시 노원구 공릉1동 492번지 3호 1층,PHMG320123100034047400002,3100000,N,서울특별시 노원구 동일로173가길 115 (공릉동),01856,,의료용물질생성기,03,폐업,,,,
비스코,2021-06-04,206219.437371151,459926.107544031,2026-05-03 22:32:30,I,03,폐업,2021-06-04 11:30:11,,2013-06-10,,서울특별시 노원구 하계동 250번지 3호 하계테크노타운 C동 205호,PHMG320133100034047400002,3100000,Y,"서울특별시 노원구 노원로15길 10, C동 205호 (하계동, 하계테크노타운)",01788,,의료기기품목군 전반,03,폐업,,,,
장애인용품 물물교환센터,2014-10-08,206511.67393263,461668.784446921,2026-05-03 22:32:30,I,03,폐업,2014-10-08 14:26:51,,2014-09-15,139-859,서울특별시 노원구 중계동 434번지 1호 세양빌딩 1층,PHMG320143100034047400003,3100000,Y,"서울특별시 노원구 덕릉로 669, 1층 (중계동, 세양빌딩)",,,"환자운반차, 생계현상측정기기, 정형용품, 인체조직 또는 기능대치품, 정형용기기, 보청기",03,폐업,,,,
곰두리케어,2024-02-07,206511.67393263,461668.784446921,2026-05-03 22:32:30,I,03,폐업,2024-02-08 13:18:06,,2014-10-08,,서울특별시 노원구 중계동 434번지 1호 세양빌딩,PHMG320143100034047400004,3100000,,"서울특별시 노원구 덕릉로 669, 세양빌딩 401-나호 (중계동)",01699,,"환자운반차, 생계현상측정기기, 정형용품, 인체조직 또는 기능대치품, 정형용기기, 보청기 등",03,폐업,,,,
금강오픈요양센터,2022-11-29,207301.656957003,463425.987089662,2026-05-03 22:32:30,I,03,폐업,2022-11-29 15:12:49,,2017-08-01,,,PHMG320173100034047400002,3100000,,"서울특별시 노원구 덕릉로 863, 1층 (상계동)",01633,,환자운반차,03,폐업,,,,
(주)경보메디칼,2023-11-09,205978.185783794,462367.006783272,2026-05-03 22:32:30,I,03,폐업,2023-11-09 14:05:31,,2018-01-31,,,PHMG320183100034047400001,3100000,,"서울특별시 노원구 한글비석로 444, 교림노원프라자 214호 (상계동)",01666,,방사선진료장치,03,폐업,,,60924145,
디에스케어,2021-01-14,206822.49898149,462909.715938659,2026-05-03 22:32:30,I,03,폐업,2021-01-14 16:27:33,,2020-11-10,,서울특별시 노원구 상계동 1321 건영아파트,PHMG320203100034047400003,3100000,Y,"서울특별시 노원구 덕릉로115다길 40, 115호 (상계동, 건영아파트)",01638,,"환자운반차, 의료용침대, 보청기",03,폐업,,,,
베테랑보청기,2025-04-15,204949.109186112,462704.042451833,2026-05-03 22:32:31,I,03,폐업,2025-04-15 16:27:47,,2023-07-26,,서울특별시 노원구 상계동 651-3 양성빌딩,PHMG320233100034047400001,3100000,,"서울특별시 노원구 동일로 1549, 양성빌딩 6층 602호 (상계동)",01620,,보청기,03,폐업,,,02-6952-1279,
(주)대명비엔엠,2012-02-14,197145.960028428,442632.999788177,2026-05-03 22:34:21,I,03,폐업,2016-03-25 10:54:01,,2011-09-02,156-879,서울특별시 동작구 사당5동 224번지 24호 2층,PHMG320113190033047400002,3190000,,"서울특별시 동작구 사당로 180 (사당동,2층)",,,"환자운반차,  보청기",03,폐업,,,02-1544-8722,
액티피아,2019-06-13,194184.55928312,445567.348716586,2026-05-03 22:34:21,I,03,폐업,2019-06-13 16:36:07,,2011-01-21,,서울특별시 동작구 노량진동 270번지 2호 2층,PHMG320113190033047400003,3190000,Y,"서울특별시 동작구 등용로14길 60, 2층 (노량진동)",06931,,환자운반차,03,폐업,,,02-3280-2181,
금강보청기 동작사당센터,2013-10-31,198332.586618402,442901.866427829,2026-05-03 22:34:22,I,03,폐업,2013-10-31 14:50:57,,2011-09-27,156-815,서울특별시 동작구 사당2동 86번지 9호 이호빌딩 3층,PHMG320113190033047400004,3190000,,"서울특별시 동작구 동작대로 129 (사당동,이호빌딩 3층)",,,보청기,03,폐업,,,,
해명,2016-06-16,197545.985381694,442685.886949892,2026-05-03 22:34:22,I,03,폐업,2016-06-16 18:11:41,,2011-12-30,,,PHMG320113190033047400005,3190000,Y,"서울특별시 동작구 사당로17길 8 (사당동, 대림아파트)",07005,,"레이저진료기, 시술기구",03,폐업,,,,
조은소리 보청기,2013-04-16,198258.471061479,442440.347267252,2026-05-03 22:34:22,I,03,폐업,2013-04-16 15:54:58,,2012-09-18,156-824,서울특별시 동작구 사당동 1007번지 1호,PHMG320123190033047400001,3190000,Y,서울특별시 동작구 동작대로23길 13 (사당동),,,보청기,03,폐업,,,,
