건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,동양아트홀,2014-03-11,201753.188497176,446003.445191841,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,,2014-03-11 17:33:19,,2006-08-08,135-011,서울특별시 강남구 논현동 1-3 렉스타워 B1,CDFE1230002006000006,3220000,,"서울특별시 강남구 도산대로 108 (논현동,렉스타워 B1)",,03,폐업,,,,,,
,압구정 예홀,2015-12-08,203134.161457744,447291.55067768,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,,2015-12-26 14:12:22,,2006-12-04,135-896,"서울특별시 강남구 신사동 640-2 지하(105호,106호)",CDFE1230002006000009,3220000,,"서울특별시 강남구 언주로174길 30 (신사동,지하(105호,106호))",,03,폐업,,,,02-541-8367,,
사무실,올림푸스홀,2018-04-27,204212.767683131,445457.669390099,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,12,2018-04-30 09:31:51,,2010-07-22,135-509,서울특별시 강남구 삼성동 114-9,CDFE1230002010000003,3220000,일반상업지역,서울특별시 강남구 봉은사로 446 (삼성동),,03,폐업,주택가주변,,,02-6255-3270,17,5
,로데오 극장,2014-08-29,203315.261327558,447057.362248777,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2014-09-02 10:15:12,,2012-08-24,135-897,서울특별시 강남구 신사동 657-32 원방빌딩 지하1층,CDFE1230002012000003,3220000,,서울특별시 강남구 도산대로51길 지하 40 (신사동),,03,폐업,,,,02-511-1776,,1
,바라아트홀,2016-04-30,202274.092101192,446830.046201137,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2020-04-03 11:28:43,,2012-11-01,,서울특별시 강남구 신사동 569-2,CDFE1230002012000004,3220000,,"서울특별시 강남구 논현로161길 20, 지하층 (신사동)",06031,03,폐업,,,,02-3445-0153,,1
,크크,2013-11-14,203383.77752428,446881.675239184,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2013-11-14 11:10:49,,2012-12-12,135-897,"서울특별시 강남구 신사동 666-8 (666-8,9)  지하1층",CDFE1230002012000005,3220000,,서울특별시 강남구 선릉로 지하 805 (신사동),,03,폐업,,,,,,
,스페이스 바움,2022-01-04,201715.387381606,445907.44937222,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2022-01-05 17:22:32,,2013-10-16,,서울특별시 강남구 논현동 17 동신빌딩,CDFE1230002013000002,3220000,,"서울특별시 강남구 강남대로 600, 동신빌딩 지하02층 (논현동)",06038,03,폐업,,,,070-8885-8802,,
문화시설,PID HALL,2018-04-10,202894.296172644,445277.723124229,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2018-04-10 13:56:22,,2015-03-24,135-829,서울특별시 강남구 논현동 221-7,CDFE1230002015000001,3220000,,서울특별시 강남구 봉은사로29길 35 (논현동),,03,폐업,,,,02-539-5912,1,2
근린생활시설,마리아칼라스홀,2022-01-31,205764.576699689,444475.770280452,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2022-03-11 10:14:10,,2015-08-24,,서울특별시 강남구 대치동 983-10,CDFE1230002015000002,3220000,준주거지역,"서울특별시 강남구 영동대로 315, 지하1층 (대치동, 대경빌딩)",06188,03,폐업,주택가주변,,,02-558-4588,1,1
근린생활시설,엑스스페이스,2023-12-28,202702.228705822,445241.700074323,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,6,2023-12-29 19:45:05,,2016-06-29,,서울특별시 강남구 논현동 176-8,CDFE1230002016000001,3220000,,"서울특별시 강남구 논현로117길 17, 지하층 (논현동)",06117,03,폐업,,,,02-3445-9615,7,1
근린생활시설,파인트리 시어터,2023-03-20,203976.358290674,445042.403742601,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,4,2023-03-21 09:23:39,,2017-11-30,,서울특별시 강남구 역삼동 694-34 역선빌딩,CDFE1230002017000002,3220000,일반주거지역,"서울특별시 강남구 선릉로 547, 지하층 (역삼동)",06149,03,폐업,기타,,,,4,1
,알디뮤직,2020-09-30,204406.303568129,446988.192765407,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2021-06-07 11:17:12,,2018-01-17,,서울특별시 강남구 청담동 125-20 LH빌딩,CDFE1230002018000001,3220000,,"서울특별시 강남구 도산대로89길 8, LH빌딩 지하1층 (청담동)",06013,03,폐업,기타,,,02-529-3137,,
근린생활시설,마이라이브홀,2020-07-31,202445.756046514,446560.50645578,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2021-05-24 13:30:00,,2018-02-14,,서울특별시 강남구 신사동 590 ICL빌딩 1층,CDFE1230002018000002,3220000,,"서울특별시 강남구 논현로 816, ICL빌딩 1층 (신사동)",06025,03,폐업,,,,070-7131-5620,,
,주식회사 세븐파이프,2021-11-08,202712.885992374,446778.303957044,공연장,공연장,2026-05-03 22:30:41,I,03,폐업,,,,,2021-11-10 16:09:48,,2020-03-26,,서울특별시 강남구 신사동 626-25 원빌딩,CDFE1230002020000001,3220000,,"서울특별시 강남구 논현로168길 39, 원빌딩 지하1층 (신사동)",06024,03,폐업,,,,,,
,와일드와일드,2022-06-28,203259.178893231,446910.789995691,공연장,공연장,2026-05-03 22:30:42,I,03,폐업,,,,1,2022-06-29 13:15:35,,2021-10-14,,서울특별시 강남구 신사동 653-4 솔미빌딩,CDFE1230002021000002,3220000,,"서울특별시 강남구 도산대로51길 19, 솔미빌딩 1층 (신사동)",06019,03,폐업,,,,,,
,올리브소극장,2008-07-07,174172.521279,439905.780965785,공연장,공연장,2026-05-03 22:37:13,I,03,폐업,,,,,2008-07-07 14:24:44,,1998-03-06,405-803,인천광역시 남동구 간석동 205-1 희망백화점 A동 5층,CDFE1230001998000001,3530000,,"인천광역시 남동구 남동대로 880  (간석동,희망백화점 A동 5층)",,03,폐업,,,,032-431-7774,,
,인천올림픽기념국민생활관 소극장,2007-06-25,175050.84107192,439535.710516739,공연장,공연장,2026-05-03 22:37:13,I,03,폐업,,,,,2007-06-25 15:32:56,,2002-12-26,405-828,인천광역시 남동구 구월동 1246,CDFE1230002002000001,3530000,,,,03,폐업,,,,032-468-8182,,
,인천대공원 야외음악당,2015-09-07,,,공연장,공연장,2026-05-03 22:37:13,I,03,폐업,,,,,2015-09-08 11:41:21,,2002-12-27,405-250,인천광역시 남동구 장수동 184-6,CDFE1230002002000002,3530000,,,,03,폐업,,,,032-440-5818,,
근린생활시설,리어카소극장,2020-03-02,173062.429426152,438130.872781134,공연장,공연장,2026-05-03 22:37:13,I,03,폐업,,,,,2020-03-02 13:09:02,,2015-05-19,405-840,인천광역시 남동구 구월동 1399-2 지하1호,CDFE1230002015000001,3530000,,"인천광역시 남동구 문화서로4번길 26, 지하1층 (구월동)",,03,폐업,,,,,,1
,뉴코아아울렛 인천점 소극장,2017-12-22,173449.265308514,438055.718667539,공연장,공연장,2026-05-03 22:37:13,I,03,폐업,,,,,2017-12-22 17:36:19,,2016-05-27,,인천광역시 남동구 구월동 1465-1,CDFE1230002016000001,3530000,,"인천광역시 남동구 인하로 485 (구월동, 뉴코아아울렛 인천점)",21574,03,폐업,,,,032-430-5888,,
