건축물명,건축물상태명,건축물연면적,사업장명,청소대상시작일자,청소대상종료일자,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,업무구분,업무구분명,휴업폐지사유,휴업시작일자,휴업종료일자,소재지전화번호
,,,(주)두손테크,,,,167572.13978316,441149.669243361,2026-05-03 22:53:33,I,11,정상,2019-08-01 10:01:39,,2019-08-01,,인천광역시 중구 경동 **,349000031200300001,3490000,인천광역시 중구 서해대로***번길 ** (경동),,,01,영업/정상,31,저수조청소업,,,,032-761-7610
,,,인천방역공사,,,,166121.676061365,441762.080448594,2026-05-03 22:53:33,I,11,정상,2015-01-05 21:05:19,,2008-01-03,,인천광역시 중구 북성동*가 *-* 선광상사***호,349000031200300002,3490000,"인천광역시 중구 제물량로 ***  (북성동*가,선광상사***호)",,,01,영업/정상,31,저수조청소업,,,,
,,,삼진환경,,,,159267.583601518,444751.612957709,2026-05-03 22:53:33,I,11,정상,2020-11-16 09:48:58,,1999-06-08,,인천광역시 중구 운북동 **-**,349000031200300003,3490000,인천광역시 중구 백운로 *** (운북동),22358,,01,영업/정상,31,저수조청소업,,,,032-777-4466
,,,동아방역위생공사,,,,167376.909521038,440695.483810679,2026-05-03 22:53:33,I,11,정상,2021-05-20 17:39:07,,2008-01-03,,인천광역시 중구 신흥동*가 **-***,349000031200300004,3490000,인천광역시 중구 제물량로 *** (신흥동*가),,,01,영업/정상,31,저수조청소업,,,,
,,,(주)나래환경,,,,164959.943257793,439340.650056806,2026-05-03 22:53:33,I,11,정상,2022-01-26 17:56:22,,2022-01-26,,인천광역시 중구 항동*가 **-***,349000031200700001,3490000,"인천광역시 중구 연안부두로**번길 **, 유한빌딩 ***호 (항동*가)",22348,,01,영업/정상,31,저수조청소업,,,,070-7502-2930
,,,(주)나래환경,,,,166991.538209137,440866.739497534,2026-05-03 22:53:33,I,11,정상,2015-01-05 21:05:19,,2007-11-29,,인천광역시 중구 답동 **-*,349000031200700002,3490000,인천광역시 중구 인중로***번길 **  (답동),,,01,영업/정상,31,저수조청소업,,,,070-7502-2930
,,,한국진돗개안전C&S (주),,,,167882.864430644,440130.828155871,2026-05-03 22:53:34,I,11,정상,2020-03-20 08:50:28,,2010-10-18,,인천광역시 중구 신흥동*가 **-**,349000031201000001,3490000,인천광역시 중구 제물량로**번길 * (신흥동*가),,,01,영업/정상,31,저수조청소업,,,,
,,,(주)한성환경,,,,166360.991677714,441963.862254671,2026-05-03 22:53:34,I,11,정상,2025-06-26 17:54:46,,2018-02-01,,인천광역시 중구 송월동*가 **-**,349000031201800001,3490000,"인천광역시 중구 참외전로 *-*, *층 (송월동*가)",22309,,01,영업/정상,31,저수조청소업,,,,032-773-0417
,,,(주)효자건설,,,,144370.204940716,439942.025068791,2026-05-03 22:53:34,I,11,정상,2020-10-21 09:57:28,,2020-07-06,,인천광역시 중구 을왕동 ***,349000031202000001,3490000,"인천광역시 중구 용유서로 ***, *층 (을왕동)",22383,,01,영업/정상,31,저수조청소업,,,,032-763-7373
,,,대한수중공사,,,,165016.295548485,439268.832493479,2026-05-03 22:53:34,I,11,정상,2024-07-16 15:48:02,,2021-03-19,,인천광역시 중구 항동*가 **-*** 대한수중공사,349000031202100001,3490000,"인천광역시 중구 연안부두로**번길 **, 대한수중공사 (항동*가)",22348,,01,영업/정상,31,저수조청소업,,,,
,,,미래환경,,,,164959.943257793,439340.650056806,2026-05-03 22:53:34,I,11,정상,2025-12-19 15:30:53,,2025-12-19,,인천광역시 중구 항동*가 **-*** ***호,349000031202500001,3490000,"인천광역시 중구 연안부두로**번길 **, ***호 (항동*가)",22348,,01,영업/정상,31,저수조청소업,,,,032-772-3330
,,,영진종합환경공사,,,,168120.381653868,442199.750775341,2026-05-03 22:53:29,I,11,정상,2020-11-02 10:37:07,,2011-05-04,,"인천광역시 동구 송현동 **-** 라이프상가 지층 *,*,*호",350000031200300002,3500000,"인천광역시 동구 중봉대로 * (송현동,라이프상가 지층 *,*,*호)",,,01,영업/정상,31,저수조청소업,,,,032-766-2225
,,,(주)퍼스코,,,,169653.061072083,442555.053277966,2026-05-03 22:53:31,I,11,정상,2020-11-02 10:40:45,,2008-02-22,,인천광역시 동구 송림동 *** 인천산업용품유통단지,350000031200500001,3500000,"인천광역시 동구 방축로 ***, 인천산업용품유통단지 **동 ***호 (송림동)",22530,,01,영업/정상,31,저수조청소업,,,,032-588-3460
,,,한국방역공사,,,,167210.03590691,441885.138078252,2026-05-03 22:53:31,I,11,정상,2020-11-02 10:47:52,,2006-02-09,,인천광역시 동구 화평동 ***,350000031200600001,3500000,인천광역시 동구 화평로**번길 ** (화평동),22519,,01,영업/정상,31,저수조청소업,,,,032-766-2228
,,,(주)덕인환경,,,,168085.299567806,440971.351891326,2026-05-03 22:53:31,I,11,정상,2025-11-16 09:26:45,,2007-01-18,,인천광역시 동구 창영동 **-**,350000031200700002,3500000,인천광역시 동구 우각로**번길 * (창영동),22565,,01,영업/정상,31,저수조청소업,,,,032-773-1789
,,,친환경위생공사,,,,167507.074672705,441994.474793064,2026-05-03 22:53:31,I,11,정상,2020-11-02 10:51:38,,2013-11-12,,인천광역시 동구 송현동 **-**** 삼두아파트 상가동 *동 ***호,350000031201300001,3500000,"인천광역시 동구 수문통로 **, *동 ***층 (송현동, 삼두아파트 상가동)",,,01,영업/정상,31,저수조청소업,,,,032-891-8204
,,,성창종합관리,,,,169653.061072083,442555.053277966,2026-05-03 22:53:31,I,11,정상,2020-11-02 10:52:33,,2017-02-14,,인천광역시 동구 송림동 ***,350000031201700001,3500000,"인천광역시 동구 방축로 ***, **동 ***호 (송림동, 인천산업용품유통단지)",,,01,영업/정상,31,저수조청소업,,,,032-773-0417
,,,주식회사 이노상사,,,,169226.889631696,442817.65455975,2026-05-03 22:53:31,I,11,정상,2022-12-12 16:44:02,,2018-02-01,,인천광역시 동구 송현동 *** 인천산업용품유통단지 **동 ***호,350000031201800001,3500000,"인천광역시 동구 방축로**번길 **, 인천산업용품유통단지 **동 ***층 (송현동)",22530,,01,영업/정상,31,저수조청소업,,,,070-4667-1050
,,,익원포장건설,,,,209270.245730294,456812.396836347,2026-05-03 22:53:34,I,11,정상,2015-01-05 21:08:32,,2001-09-01,,서울특별시 중랑구 신내동 ***,306000031200100003,3060000,서울특별시 중랑구 용마산로***길 **  (신내동),,,01,영업/정상,31,저수조청소업,,,,02-491-2000
,,,대한실업,,,,207362.670244643,453594.477568923,2026-05-03 22:53:34,I,11,정상,2023-06-20 09:33:33,,2006-11-06,,서울특별시 중랑구 면목동 ***-**,306000031200300003,3060000,서울특별시 중랑구 겸재로**길 ** (면목동),,,01,영업/정상,31,저수조청소업,,,,02-2208-3445
,,,현탑건설주식회사,,,,208167.820060174,453369.591355604,2026-05-03 22:53:35,I,11,정상,2015-01-05 21:08:32,,2007-02-08,,서울특별시 중랑구 면목동 **-**,306000031200400001,3060000,서울특별시 중랑구 용마산로 ***-*  (면목동),,,01,영업/정상,31,저수조청소업,,,,02-496-5678
,,,금강종합개발,,,,208874.720348938,454274.872789449,2026-05-03 22:53:33,I,11,정상,2024-05-28 16:42:56,,2011-06-15,,서울특별시 중랑구 망우동 ***-** 지층,306000031200400008,3060000,"서울특별시 중랑구 용마산로***길 **, 지층동 (망우동)",02185,,01,영업/정상,31,저수조청소업,,,,02-433-0088
,,,서울ENC,,,,207446.851278562,454010.501884128,2026-05-03 22:53:33,I,11,정상,2023-11-22 16:16:02,,2013-02-21,,서울특별시 중랑구 면목동 ***-** 대한익스프레스 *층,306000031200500002,3060000,"서울특별시 중랑구 면목로**길 **, 대한익스프레스 *층 (면목동)",02145,,01,영업/정상,31,저수조청소업,,,,02-491-5344
,,,정아환경개발,,,2026-02-09,208294.31154469,455843.287574845,2026-05-03 22:53:33,I,2,폐업,2026-02-10 13:07:54,,2005-04-11,,서울특별시 중랑구 신내동 *** 성원상가 지하*층 *호,306000031200500003,3060000,"서울특별시 중랑구 신내로 ** (신내동,성원상가 지하*층 *호)",,,03,폐업,31,저수조청소업,자진 폐업,,,22086399
,,,(주)람보씨엠개발,,,,209085.926142332,457283.215342184,2026-05-03 22:53:33,I,11,정상,2026-04-03 13:54:34,,2013-07-08,,서울특별시 중랑구 신내동 ***-* 데시앙플렉스 A동 ***호,306000031200500004,3060000,"서울특별시 중랑구 신내역로*길 **-**, 데시앙플렉스 A동 ***호 (신내동)",02055,,01,영업/정상,31,저수조청소업,,,,02-495-0967
,,,(주)루빈건설,,,,206383.897778215,454203.278747142,2026-05-03 22:53:34,I,11,정상,2026-03-16 17:20:48,,2008-04-14,,서울특별시 중랑구 면목동 ***-* ***호,306000031200800002,3060000,"서울특별시 중랑구 중랑천로 **, ***호 (면목동)",02118,,01,영업/정상,31,저수조청소업,,,,02-2208-5145
,,,(주)상봉에스디,,,,207307.253347922,454265.583954287,2026-05-03 22:53:31,I,11,정상,2023-02-22 16:40:36,,2012-02-03,,서울특별시 중랑구 면목동 ***-*,306000031200900004,3060000,서울특별시 중랑구 동일로***길 ** (면목동),,,01,영업/정상,31,저수조청소업,,,,02-2209-0591
,,,합자회사 목우공영,,,,206383.897778215,454203.278747142,2026-05-03 22:53:31,I,11,정상,2023-07-14 10:30:19,,2016-05-20,,서울특별시 중랑구 면목동 ***-* ***호,306000031201000001,3060000,"서울특별시 중랑구 중랑천로 **, ***호 (면목동)",02118,,01,영업/정상,31,저수조청소업,,,,02-2207-5146
,,,(주)세종환경개발,,,,207013.37648833,455670.575592586,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:34:25,,2010-11-10,,서울특별시 중랑구 중화동 ***-**,306000031201000002,3060000,서울특별시 중랑구 동일로***길 ** (중화동),,,01,영업/정상,31,저수조청소업,,,,02-497-8913
,,,(주)새서울환경,,,,207666.878836451,455135.800669899,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:36:21,,2013-06-25,,서울특별시 중랑구 상봉동 ***-**,306000031201300001,3060000,서울특별시 중랑구 상봉중앙로*길 ** (상봉동),,,01,영업/정상,31,저수조청소업,,,,
,,,태린건설(주),,,,206383.897778215,454203.278747142,2026-05-03 22:53:32,I,11,정상,2023-07-14 10:32:40,,2015-01-28,,서울특별시 중랑구 면목동 ***-* *층,306000031201500001,3060000,"서울특별시 중랑구 중랑천로 **, *층 (면목동)",,,01,영업/정상,31,저수조청소업,,,,02-2208-5144
,,,현크린컴퍼니,,,,209235.719782146,456560.343916517,2026-05-03 22:53:35,I,11,정상,2023-07-14 10:27:37,,2015-02-04,,서울특별시 중랑구 망우동 ***-* ***호,306000031201500002,3060000,"서울특별시 중랑구 용마산로***가길 *, ***호 (망우동)",02057,,01,영업/정상,31,저수조청소업,,,,02-718-6122
,,,오구환경,,,,208481.612667873,455496.980508789,2026-05-03 22:53:35,I,11,정상,2022-06-08 15:15:22,,2015-07-22,,서울특별시 중랑구 신내동 ***-* 대명프라자B ***호,306000031201500003,3060000,"서울특별시 중랑구 봉화산로**길 ***, 대명프라자 B동 ***호 (신내동)",02071,,01,영업/정상,31,저수조청소업,,,,02-432-1946
,,,갑오건설(주),,,,208715.62727323,457214.286373055,2026-05-03 22:53:35,I,11,정상,2023-06-20 09:52:43,,2022-04-07,,서울특별시 중랑구 신내동 ***,306000031201600001,3060000,서울특별시 중랑구 용마산로***가길 **-** (신내동),02052,,01,영업/정상,31,저수조청소업,,,,02-494-3599
,,,(주) 에스앤산업,,,,207930.583260957,454733.598639642,2026-05-03 22:53:35,I,1,휴업,2022-04-07 17:30:53,,2016-03-21,,서울특별시 중랑구 상봉동 **-** 승조오피스텔,306000031201600003,3060000,"서울특별시 중랑구 상봉로**길 **, 승조오피스텔 ***호 (상봉동)",02151,,02,휴업,31,저수조청소업,거래처 감소로 인한 휴업,2022-04-07,2027-04-06,02-2207-6765
,,,한성비앤케이 주식회사,,,2026-03-31,208112.860200669,457113.638411288,2026-05-03 22:53:31,I,2,폐업,2026-04-10 14:28:14,,2016-06-01,,서울특별시 중랑구 신내동 *** 금강리빙스텔 ***호,306000031201600004,3060000,"서울특별시 중랑구 신내로 ***, ***호 (신내동, 금강리빙스텔)",,,03,폐업,31,저수조청소업,영업종료,,,02-491-1627
,,,제이피산업건설(주),,,,209856.1161416,456761.921129526,2026-05-03 22:53:35,I,11,정상,2026-02-20 13:25:37,,2018-03-21,,서울특별시 중랑구 신내동 ***-* 신내 SK V* center B동 ****호,306000031201800001,3060000,"서울특별시 중랑구 신내역로 ***, 신내 SK V* center B동 ****호 (신내동)",02262,,01,영업/정상,31,저수조청소업,,,,02-432-7100
,,,(주)지안디엔씨,,,,208779.560451161,456008.735972568,2026-05-03 22:53:35,I,11,정상,2024-01-19 10:13:02,,2018-05-09,,서울특별시 중랑구 신내동 ***-* 피울파크빌 *층,306000031201800002,3060000,"서울특별시 중랑구 용마산로 ***-**, 피울파크빌 *층 (신내동)",02068,,01,영업/정상,31,저수조청소업,,,,02-493-1501
,,,(주)자이언,,,,208295.099818379,456014.999180519,2026-05-03 22:53:35,I,11,정상,2024-11-14 13:16:37,,2020-04-27,,서울특별시 중랑구 신내동 *** 신아타운 ***호,306000031202000002,3060000,"서울특별시 중랑구 봉화산로 ***, 신아타운 ***호 (신내동)",02076,,01,영업/정상,31,저수조청소업,,,,02-955-0107
,,,에스제이워터웍스(주),,,,209056.062172999,457423.347761248,2026-05-03 22:53:35,I,11,정상,2024-07-19 15:47:40,,2020-09-21,,서울특별시 중랑구 신내동 *** ***호,306000031202000003,3060000,"서울특별시 중랑구 용마산로***나길 **, ***호 (신내동)",02052,,01,영업/정상,31,저수조청소업,,,,02-433-8664
,,,동현종합건설(주),,,,208075.550921967,452991.036422095,2026-05-03 22:53:35,I,11,정상,2026-03-11 14:13:42,,2015-02-16,,서울특별시 중랑구 면목동 ****-*,306000031202100001,3060000,"서울특별시 중랑구 용마산로 ***, 지*층 비***호 (면목동)",02259,,01,영업/정상,31,저수조청소업,,,,02-464-1194
,,,(주)태민씨앤씨,,,,208242.880932415,455089.30701884,2026-05-03 22:53:35,I,11,정상,2023-06-20 10:08:48,,2022-01-03,,서울특별시 중랑구 망우동 ***-** 이안빌딩 ***호,306000031202100002,3060000,"서울특별시 중랑구 용마산로***길 ***, 이안빌딩 ***호 (망우동)",02163,,01,영업/정상,31,저수조청소업,,,,02-493-9938
,,,에스티액스이엔씨 주식회사,,,2026-03-05,208185.587866215,455005.951408018,2026-05-03 22:53:35,I,2,폐업,2026-03-10 13:29:30,,2023-01-16,,서울특별시 중랑구 망우동 *** 한일써너스빌리젠시*단지,306000031202300001,3060000,"서울특별시 중랑구 용마산로***길 ***, 제*층 에스****호 (망우동, 한일써너스빌리젠시*단지)",02163,,03,폐업,31,저수조청소업,사업 지속 불가,,,02-433-0773
,,,태영종합환경,,,,207152.801172426,453936.570287507,2026-05-03 22:53:35,I,11,정상,2026-04-03 14:10:26,,2023-10-23,,서울특별시 중랑구 면목동 ***-** 지하*층,306000031202300002,3060000,"서울특별시 중랑구 겸재로**가길 *, 지하*층 (면목동)",02147,,01,영업/정상,31,저수조청소업,,,,
,,,제일방역,,,,206945.245725484,455052.903411226,2026-05-03 22:53:35,I,11,정상,2024-11-14 13:15:45,,2024-01-18,,서울특별시 중랑구 중화동 ***-** *층,306000031202400001,3060000,"서울특별시 중랑구 동일로***길 **, *층 (중화동)",02103,,01,영업/정상,31,저수조청소업,,,,
,,,제일티엠에스 주식회사,,,,206270.61746178,454942.467371319,2026-05-03 22:53:35,I,11,정상,2026-02-20 13:28:31,,2024-01-15,,서울특별시 중랑구 중화동 ***-* 대림효성 ***호,306000031202400002,3060000,"서울특별시 중랑구 중랑천로 ***-*, 대림효성 ***호 (중화동)",02114,,01,영업/정상,31,저수조청소업,,,,02-492-1183
