사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
안경 매니져,2021-02-04,195123.434045054,453961.714580061,2026-05-03 22:33:11,I,1,03,폐업,1,69.74,1,1,2021-02-04 15:27:14,,2013-04-18,120-856,1,서울특별시 서대문구 홍제2동 174번지 17호 1층,PHMB220133120033082200004,1,3120000,3,"서울특별시 서대문구 통일로 434, 1층 (홍제동)",03630,03,폐업,1,,,02-725-1234,1
아이랜드,2022-09-06,196739.979206517,451617.88218634,2026-05-03 22:33:11,I,1,03,폐업,1,31.68,1,1,2022-09-06 16:52:16,,2013-04-29,120-050,1,서울특별시 서대문구 냉천동 261번지 2호 돈의문센트레빌아파트 상가동 107호,PHMB220133120033082200005,1,3120000,1,"서울특별시 서대문구 독립문로14길 3, 상가동 1층 107호 (냉천동, 돈의문센트레빌아파트)",03746,03,폐업,1,,,02-364-7588,1
아이초롱안경콘택트,2021-10-13,192019.179021636,452809.554705977,2026-05-03 22:33:11,I,1,03,폐업,1,57,1,1,2021-10-13 15:47:22,,2013-05-08,120-131,1,서울특별시 서대문구 북가좌1동 304번지 37호 1층,PHMB220133120033082200006,1,3120000,1,"서울특별시 서대문구 거북골로 184, 1층 (북가좌동)",03691,03,폐업,1,,,02-308-7321,1
렌즈미,2020-07-13,195060.569921704,450777.412606856,2026-05-03 22:33:11,I,1,03,폐업,1,13,1,1,2020-07-13 11:14:43,,2013-07-02,,1,서울특별시 서대문구 대현동 34번지 30호,PHMB220133120033082200007,1,3120000,1,"서울특별시 서대문구 이화여대길 64, 1층 (대현동)",03765,03,폐업,1,,,070-8242-6780,1
안경스타,2024-04-25,192119.139819063,452702.62820773,2026-05-03 22:33:11,I,1,03,폐업,1,37.23,1,1,2024-04-25 15:34:52,,2013-07-03,120-131,1,서울특별시 서대문구 북가좌1동 424번지 52호,PHMB220133120033082200008,1,3120000,1,"서울특별시 서대문구 거북골로 168, 1층 (북가좌동)",03690,03,폐업,1,,,02-307-2585,1
렌즈걸 신촌점,2017-12-04,194336.987289419,450625.906725398,2026-05-03 22:33:11,I,1,03,폐업,1,38.67,1,1,2017-12-04 10:35:49,,2013-10-21,120-834,1,서울특별시 서대문구 창천동 33번지 38호 1층,PHMB220133120033082200010,1,3120000,1,"서울특별시 서대문구 연세로 25, 1층 (창천동)",03788,03,폐업,1,,,02-322-7181,1
렌즈걸 이대점,2019-09-24,195155.273885895,450692.233515871,2026-05-03 22:33:12,I,1,03,폐업,1,8.4,1,1,2020-01-20 11:39:18,,2014-04-29,120-808,1,서울특별시 서대문구 대현동 54번지 4호 1층,PHMB220143120033082200001,1,3120000,1,"서울특별시 서대문구 이화여대길 34, 1층 (대현동)",03767,03,폐업,1,,,02-313-1478,1
굿아이 안경콘택트,2014-08-29,196626.844541919,450926.293397092,2026-05-03 22:33:11,I,1,03,폐업,1,13.64,1,1,2014-09-05 17:45:21,,2014-07-04,120-837,1,서울특별시 서대문구 충정로3가 63번지 1호 삼창빌딩 1층,PHMB220143120033082200002,1,3120000,1,"서울특별시 서대문구 충정로 13, 1층 (충정로3가, 삼창빌딩)",,03,폐업,1,,,02-312-0328,1
렌즈베리 이화여대점,2022-12-13,194982.163296951,450753.611038379,2026-05-03 22:33:12,I,1,03,폐업,1,16.2,1,1,2022-12-13 13:25:47,,2014-12-01,120-808,1,서울특별시 서대문구 대현동 37번지 38호 1층,PHMB220143120033082200004,1,3120000,1,"서울특별시 서대문구 이화여대길 79, 1층 (대현동)",03766,03,폐업,1,2021-01-14,2021-07-31,02-363-9684,1
바라기,2017-01-31,193540.841276501,451090.279120478,2026-05-03 22:33:12,I,1,03,폐업,1,85,1,1,2017-01-20 15:28:28,,2014-12-15,120-830,1,서울특별시 서대문구 연희동 353번지 89호,PHMB220143120033082200005,1,3120000,1,서울특별시 서대문구 연희로 38 (연희동),03781,03,폐업,1,,,02-6406-0595,1
환해지는 비춤안경,2021-07-08,192417.726804014,451927.843633768,2026-05-03 22:33:12,I,1,03,폐업,1,62,1,1,2021-07-08 16:40:39,,2014-12-23,120-805,1,서울특별시 서대문구 남가좌동 290번지 100호 1층,PHMB220143120033082200006,1,3120000,1,서울특별시 서대문구 수색로 34 (남가좌동),03712,03,폐업,1,,,02-304-8733,1
ALO 현대백화점 유플렉스점,2015-09-18,194265.067639805,450433.691021245,2026-05-03 22:33:12,I,1,03,폐업,1,16.6,2,2,2015-09-17 14:53:23,,2015-04-23,120-706,1,서울특별시 서대문구 창천동 30번지 33호,PHMB220153120033082200002,1,3120000,1,서울특별시 서대문구 신촌로 83 (창천동),03789,03,폐업,1,,,02-3145-1516,3
ALO현대백화점 신촌점,2022-09-26,194265.067639805,450433.691021245,2026-05-03 22:33:12,I,1,03,폐업,1,14.85,1,1,2022-09-26 14:40:42,,2015-09-17,,1,서울특별시 서대문구 창천동 30번지 33호,PHMB220153120033082200005,1,3120000,1,"서울특별시 서대문구 신촌로 83, 1층 (창천동, 현대백화점신촌점)",03789,03,폐업,1,,,02-3145-1516,1
눈편한안경,2018-08-24,192209.323632506,452067.039429636,2026-05-03 22:33:12,I,1,03,폐업,1,37.92,3,2,2018-09-05 17:56:29,,2015-10-26,,2,서울특별시 서대문구 북가좌동 487번지,PHMB220153120033082200006,1,3120000,1,"서울특별시 서대문구 수색로 56, 126호 (북가좌동, 성공타워1)",03709,03,폐업,1,,,02-376-8300,1
킴스안경(KIMS 안경),2019-04-05,192672.067512964,452221.960661496,2026-05-03 22:33:12,I,1,03,폐업,1,62.7,2,2,2019-04-09 09:54:04,,2015-12-22,,1,서울특별시 서대문구 남가좌동 124번지 1호 105동 102호,PHMB220153120033082200008,1,3120000,1,"서울특별시 서대문구 가재울미래로 2, 105동 102호 (남가좌동, DMC파크뷰자이)",03711,03,폐업,1,,,02-302-4100,2
버드나인,2021-04-01,194635.371682777,450469.610782261,2026-05-03 22:33:12,I,1,03,폐업,1,103.95,2,2,2021-04-01 15:04:44,,2016-02-29,,1,서울특별시 서대문구 창천동 20번지 26호,PHMB220163120033082200001,1,3120000,1,"서울특별시 서대문구 신촌로 127 (창천동, 신촌르메이에르타운3)",03780,03,폐업,1,,,02-3147-0101,2
오렌즈 이대중앙점,2020-12-14,195165.403692822,450584.249012298,2026-05-03 22:33:07,I,,03,폐업,1,33.69,,,2020-12-14 20:14:31,,2016-05-23,,,서울특별시 서대문구 대현동 54번지 21호,PHMB220163120033082200002,1,3120000,1,서울특별시 서대문구 이화여대길 14 (대현동),03767,03,폐업,1,,,02-364-0999,1
큐브 옵틱,2017-09-12,195094.296431947,450742.778510401,2026-05-03 22:33:06,I,1,03,폐업,1,19.8,1,1,2018-03-28 17:35:59,,2016-11-18,,1,서울특별시 서대문구 대현동 56번지 123호,PHMB220163120033082200004,1,3120000,1,"서울특별시 서대문구 이화여대길 59, 2층 (대현동, 메르체쇼핑몰)",03766,03,폐업,1,,,02-364-6275,1
아이뉴안경콘택트,2022-09-27,194183.209501057,450425.216941786,2026-05-03 22:33:06,I,1,03,폐업,1,68,1,1,2022-09-28 09:43:58,,2017-01-03,,1,서울특별시 서대문구 창천동 72번지 6호,PHMB220173120033082200001,1,3120000,1,"서울특별시 서대문구 신촌로 75, 1층 (창천동)",03789,03,폐업,1,,,02-332-1666,1
우리동네 안경원 당산점,2019-08-07,193540.841276501,451090.279120478,2026-05-03 22:33:06,I,1,03,폐업,1,85,1,1,2019-08-07 11:32:31,,2017-01-13,,1,서울특별시 서대문구 연희동 353번지 89호,PHMB220173120033082200002,1,3120000,1,서울특별시 서대문구 연희로 38 (연희동),03781,03,폐업,1,,,02-6406-0595,1
렌즈미 신촌점,2022-12-31,194334.982564961,450613.224019691,2026-05-03 22:33:06,I,1,03,폐업,1,49.55,1,1,2023-03-16 13:23:55,,2017-04-17,,1,서울특별시 서대문구 창천동 33번지 43호,PHMB220173120033082200004,1,3120000,1,서울특별시 서대문구 연세로 23 (창천동),03788,03,폐업,1,,,02-336-7766,1
센셀렉트,2021-06-07,194976.812444898,450727.977038482,2026-05-03 22:33:07,I,1,03,폐업,1,43,1,1,2021-06-07 14:47:22,,2018-04-24,,1,서울특별시 서대문구 대현동 37-3,PHMB220183120033082200001,1,3120000,1,"서울특별시 서대문구 이화여대7길 30, 3층 (대현동)",03766,03,폐업,1,,,,1
코스마켓(KOSMARKET),2020-07-29,195155.273885895,450692.233515871,2026-05-03 22:33:12,I,1,03,폐업,1,19.8,1,1,2020-07-29 17:59:42,,2019-06-18,,1,서울특별시 서대문구 대현동 54번지 4호 신흥빌딩,PHMB220193120033082200003,1,3120000,1,"서울특별시 서대문구 이화여대길 34, 신흥빌딩 1층 (대현동)",03767,03,폐업,1,,,,1
안경공장 공장장(신촌점),2022-05-27,194474.81938437,450422.374151297,2026-05-03 22:33:12,I,1,03,폐업,1,90.5,3,3,2022-05-27 18:05:41,,2019-12-04,,1,서울특별시 서대문구 창천동 29번지 81호 신촌르메이에르타운5 201호,PHMB220193120033082200009,1,3120000,2,"서울특별시 서대문구 신촌로 109, 신촌르메이에르타운5 201호 (창천동)",03779,03,폐업,,,,02-312-1700,2
ALO안경 현대신촌점,2024-08-19,194265.067639805,450433.691021245,2026-05-03 22:33:12,I,,03,폐업,1,39.42,,,2024-08-19 10:47:30,,2021-03-16,,,서울특별시 서대문구 창천동 30-33 현대백화점신촌점,PHMB220213120033082200001,,3120000,1,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하2층 (창천동)",03789,03,폐업,,,,02-3145-1790,2
동명사안경점,2022-12-29,196049.827687957,450280.311140964,2026-05-03 22:39:00,I,1,03,폐업,1,,1,1,2022-12-29 11:01:55,,1978-09-29,121-010,1,서울특별시 마포구 아현2동282-17,PHMB219783130033082200001,1,3130000,1,서울특별시 마포구 굴레방로 7 (아현동),04117,03,폐업,1,,,,1
세란안경원,2022-09-14,195682.783952297,450515.145611988,2026-05-03 22:39:00,I,1,03,폐업,1,,1,1,2022-09-14 15:40:24,,1983-09-06,121-010,1,서울특별시 마포구 아현2동347-1,PHMB219833130033082200001,1,3130000,1,서울특별시 마포구 신촌로 236-1 (아현동),04114,03,폐업,1,,,02-313-7517,1
프랑스안경원,2013-11-01,195849.727721903,449175.307569415,2026-05-03 22:39:00,I,1,03,폐업,1,,1,1,2014-01-10 16:21:16,,1984-09-24,121-020,1,서울특별시 마포구 공덕2동256-30,PHMB219843130033082200001,1,3130000,1,서울특별시 마포구 만리재로 23 (공덕동),,03,폐업,1,,,,1
보안당열린안경,2011-05-30,,,2026-05-03 22:39:00,I,1,03,폐업,1,,1,1,2011-05-30 11:38:11,,1985-05-24,121-220,1,서울특별시 마포구 합정동384-19,PHMB219853130033082200001,1,3130000,1,,,03,폐업,1,,,,1
마포안경원,2016-01-14,195670.963021031,449139.732955421,2026-05-03 22:39:00,I,1,03,폐업,1,24.1,1,1,2016-01-15 09:11:33,,1986-04-11,121-020,1,서울특별시 마포구 공덕2동255-16,PHMB219863130033082200001,1,3130000,1,서울특별시 마포구 마포대로 110 (공덕동),04213,03,폐업,1,,,,1
태양안경원,2010-05-30,,,2026-05-03 22:39:00,I,1,03,폐업,1,25,1,1,2010-06-24 17:51:27,,1986-09-06,121-010,1,서울특별시 마포구 아현1동618-3,PHMB219863130033082200002,1,3130000,1,,,03,폐업,1,,,,1
Good안경콘택트,2016-04-26,194989.17499935,448616.6144333,2026-05-03 22:39:00,I,1,03,폐업,1,33.25,1,1,2016-04-26 17:46:21,,1988-05-21,121-070,1,서울특별시 마포구 용강동40-4,PHMB219883130033082200001,1,3130000,1,서울특별시 마포구 토정로 317 (용강동),04166,03,폐업,1,,,,1
비전안경,2016-05-27,192656.72694088,450679.187893244,2026-05-03 22:39:00,I,1,03,폐업,1,17.08,1,1,2016-05-27 13:10:22,,1990-08-01,121-210,1,서울특별시 마포구 서교동449-4,PHMB219903130033082200001,1,3130000,1,서울특별시 마포구 월드컵북로 47 (서교동),04000,03,폐업,1,,,,1
VIEW안경콘택트,2014-02-04,193101.157180005,450347.651518625,2026-05-03 22:39:01,I,1,03,폐업,1,112.2,1,1,2014-02-04 17:45:42,,1991-06-13,121-200,1,서울특별시 마포구 동교동162-3,PHMB219913130033082200001,1,3130000,1,서울특별시 마포구 홍익로6길 15 (동교동),,03,폐업,1,,,,1
베델안경콘택트,2012-10-23,193105.278315876,450176.004056141,2026-05-03 22:39:01,I,1,03,폐업,1,176,1,1,2012-10-23 09:23:05,,1997-01-27,121-210,1,서울특별시 마포구 서교동358-2  2층,PHMB219973130033082200001,1,3130000,1,서울특별시 마포구 홍익로 17 (서교동),,03,폐업,1,,,,1
오렌즈하이채널안경원,2022-06-30,194391.649422222,450148.949697751,2026-05-03 22:39:01,I,1,03,폐업,1,27.2,1,1,2022-09-13 14:05:54,,1998-01-13,121-100,1,서울특별시 노고산동31-93,PHMB219983130033082200001,1,3130000,1,서울특별시 마포구 백범로 11-1 (노고산동),04101,03,폐업,1,,,02-711-9911,1
아이디어안경원홍대점,2025-06-09,193544.356927249,450350.334817887,2026-05-03 22:38:59,I,1,03,폐업,1,59.4,1,1,2025-06-09 15:27:08,,1999-03-27,,1,서울특별시 마포구 서교동 334번지 3호 1층,PHMB219993130033082200001,1,3130000,1,"서울특별시 마포구 와우산로29길 39, 1층 (서교동)",04053,03,폐업,1,,,,1
비틀즈안경,2011-09-01,191651.529315787,450694.803472189,2026-05-03 22:39:01,I,1,03,폐업,1,,1,1,2012-04-06 12:28:09,,1999-06-08,121-827,1,서울특별시 마포구 망원2동 517번지,PHMB219993130033082200002,1,3130000,1,서울특별시 마포구 월드컵로25길 26 (망원동),,03,폐업,1,,,,1
눈을위한사람들,2011-07-12,,,2026-05-03 22:39:01,I,1,03,폐업,1,31.64,1,1,2012-04-06 14:46:46,,1999-10-28,121-839,1,서울특별시 마포구 서교동 385번지 151호,PHMB219993130033082200003,1,3130000,1,,,03,폐업,1,,,,1
리스안경,2013-04-25,194273.598098938,450318.724130121,2026-05-03 22:39:01,I,1,03,폐업,1,17.6,1,1,2014-01-12 19:57:20,,2000-12-30,121-100,1,서울특별시 마포구 노고산동57-1 그랜드마트2층,PHMB220003130033082200003,1,3130000,1,"서울특별시 마포구 신촌로 94, 2층 (노고산동, 그랜드마트)",,03,폐업,1,,,,1
마니또안경원,2011-03-29,,,2026-05-03 22:39:01,I,1,03,폐업,1,96.72,1,1,2011-05-13 16:18:09,,2001-05-07,121-250,1,서울특별시 마포구 성산2동157-3,PHMB220013130033082200001,1,3130000,1,,,03,폐업,1,,,,1
행복한안경,2011-04-13,,,2026-05-03 22:39:01,I,1,03,폐업,1,46.83,1,1,2011-04-13 15:29:39,,2003-01-09,121-020,1,서울특별시 마포구 공덕2동423  5호선공덕역 3호,PHMB220033130033082200001,1,3130000,1,,,03,폐업,1,,,,1
렌즈맨안경원,2019-07-31,,,2026-05-03 22:39:02,I,1,03,폐업,1,51.48,1,1,2019-08-07 15:37:49,,2003-05-21,121-250,1,서울특별시 마포구 성산2동515월드컵경기장F2BL2,PHMB220033130033082200002,1,3130000,1,"서울특별시 마포구 월드컵로 240 (성산동, 월드컵경기장내 F2-BL2)",03932,03,폐업,1,,,,1
별나라 안경,2009-04-06,,,2026-05-03 22:39:02,I,1,03,폐업,1,,1,1,2009-04-06 14:05:56,,2003-06-13,121-100,1,서울특별시 마포구 노고산동107-12,PHMB220033130033082200003,1,3130000,1,,,03,폐업,1,,,,1
아이마트 안경콘택트,2010-05-31,,,2026-05-03 22:39:02,I,1,03,폐업,1,31.82,1,1,2010-06-28 14:48:05,,2003-08-29,121-240,1,서울특별시 마포구 연남동568-23,PHMB220033130033082200004,1,3130000,1,,,03,폐업,1,,,31435055,1
씨채널안경,2015-07-27,196057.949965838,449897.213071289,2026-05-03 22:39:05,I,1,03,폐업,1,47.48,1,1,2015-07-27 17:40:04,,2004-06-30,121-010,1,서울특별시 마포구 아현동437-3  110호,PHMB220043130033082200003,1,3130000,1,"서울특별시 마포구 마포대로 196, 110호 (아현동, 고려아카데미텔)",,03,폐업,1,,,,1
아이쿨안경 성산점,2024-05-17,191777.973380959,451798.115526927,2026-05-03 22:39:02,I,1,03,폐업,1,87.48,1,1,2024-05-17 12:19:28,,2004-08-26,121-251,1,서울특별시 마포구 성산1동 142번지 1호 (1층),PHMB220043130033082200004,1,3130000,1,"서울특별시 마포구 월드컵북로 192, 1층 (성산동)",03946,03,폐업,1,,,,1
안경만들기홍대역점,2018-06-22,193166.430144679,450425.852790862,2026-05-03 22:39:05,I,1,03,폐업,1,58.47,1,1,2018-07-25 10:33:42,,2005-07-01,121-200,1,서울특별시 마포구 동교동165-8 LG팰리스 지하224호,PHMB220053130033082200003,1,3130000,1,"서울특별시 마포구 양화로 156, 지하224호 (동교동, LG팰리스빌딩)",04050,03,폐업,1,,,,1
메가글라스안경콘택트,2011-02-28,,,2026-05-03 22:39:02,I,1,03,폐업,1,52.03,1,1,2011-05-13 16:33:07,,2005-07-14,121-020,1,서울특별시 마포구 공덕동445-4 1층,PHMB220053130033082200004,1,3130000,1,,,03,폐업,1,,,,1
한솔안경원,2024-12-31,195829.154836156,449552.640223444,2026-05-03 22:39:02,I,1,03,폐업,1,28.8,1,1,2024-12-31 11:38:51,,2005-09-20,121-020,1,서울특별시 마포구 공덕동275 LG마포빌딩 지하1층,PHMB220053130033082200005,1,3130000,1,"서울특별시 마포구 마포대로 155, 지하1층 (공덕동, LG마포빌딩)",04143,03,폐업,1,,,02-714-9901,1
클릭안경원,2011-01-10,,,2026-05-03 22:39:02,I,1,03,폐업,1,116.56,1,1,2011-01-10 15:54:50,,2005-11-23,121-210,1,서울특별시 마포구 서교동 362-4중산빌딩 1층,PHMB220053130033082200006,1,3130000,1,,,03,폐업,1,,,,1
안경이야기,2014-06-30,195116.028951093,449367.593942345,2026-05-03 22:39:02,I,1,03,폐업,1,23.76,1,1,2014-06-30 13:39:38,,2006-01-23,121-090,1,서울특별시 마포구 염리동 154-8외1필지 1층,PHMB220063130033082200001,1,3130000,1,"서울특별시 마포구 백범로 127, 1층 (염리동)",,03,폐업,1,,,,1
드림아이 안경,2016-10-31,193892.402854241,449686.029413637,2026-05-03 22:38:59,I,1,03,폐업,1,139.53,1,1,2016-11-16 18:09:08,,2006-11-15,121-190,1,서울특별시 마포구 창전동 130  1층,PHMB220063130033082200003,1,3130000,1,"서울특별시 마포구 서강로 69, 1층 (창전동)",04065,03,폐업,1,,,,1
아이원 안경 콘택트,2022-09-03,193905.437192262,449372.496499689,2026-05-03 22:39:02,I,1,03,폐업,1,48.37,1,1,2022-09-14 15:42:10,,2007-04-30,121-190,1,서울특별시 마포구 창전동442서강한화오벨리스크103-110,PHMB220073130033082200001,1,3130000,1,"서울특별시 마포구 창전로 45, 103동 110호 (창전동, 서강한화오벨리스크)",04086,03,폐업,1,,,02-3141-7752,1
메트로 안경원,2010-02-25,,,2026-05-03 22:39:02,I,1,03,폐업,1,,1,1,2010-03-03 17:03:52,,2007-06-19,121-020,1,서울특별시 마포구 공덕동245-5 신용보증빌딩지하1층,PHMB220073130033082200002,1,3130000,1,,,03,폐업,1,,,,1
그레이스안경콘택트,2015-11-27,193187.802952358,450172.178899424,2026-05-03 22:39:02,I,1,03,폐업,1,45.34,1,1,2015-11-27 13:32:00,,2007-07-31,121-210,1,서울특별시 마포구 서교동486 서교푸르지오113-12 1층,PHMB220073130033082200004,1,3130000,1,"서울특별시 마포구 홍익로 10, 101동 1층 113-1,2호 (서교동, 서교푸르지오상가)",04055,03,폐업,1,,,,1
보보스 안경원,2016-03-31,193070.748055887,450280.896717078,2026-05-03 22:39:03,I,1,03,폐업,1,32.48,1,1,2016-03-31 15:26:09,,2007-08-02,121-200,1,서울특별시 마포구 동교동163-20,PHMB220073130033082200005,1,3130000,1,서울특별시 마포구 홍익로6길 4 (동교동),04050,03,폐업,1,,,,1
글라스박스,2014-06-02,192907.801267495,450383.115207223,2026-05-03 22:39:03,I,1,03,폐업,1,133.69,1,1,2014-06-03 17:32:47,,2007-08-10,121-210,1,서울특별시 마포구 서교동351-26,PHMB220073130033082200006,1,3130000,1,서울특별시 마포구 월드컵북로 9 (서교동),,03,폐업,1,,,31419009,1
미라클안경,2011-09-07,,,2026-05-03 22:39:03,I,1,03,폐업,1,18.9,1,1,2011-09-08 08:27:25,,2007-09-13,121-230,1,서울특별시 마포구 망원동432-20,PHMB220073130033082200007,1,3130000,1,,,03,폐업,1,,,31435055,1
아이마트 안경콘택트(공덕점),2023-06-09,195978.784376311,449267.372295811,2026-05-03 22:39:03,I,1,03,폐업,1,62.74,1,1,2023-08-31 09:41:36,,2007-11-22,121-030,1,서울특별시 마포구 신공덕동13-9,PHMB220073130033082200008,1,3130000,1,서울특별시 마포구 만리재옛길 18-1 (신공덕동),04209,03,폐업,1,,,,1
스팀 안경원,2017-07-24,193139.306893387,450026.55206161,2026-05-03 22:39:03,I,1,03,폐업,1,35.05,1,1,2017-08-30 15:52:13,,2008-01-29,121-210,1,서울특별시 마포구 서교동358-36,PHMB220083130033082200001,1,3130000,1,서울특별시 마포구 와우산로21길 14 (서교동),04040,03,폐업,1,,,,1
DMC플러스안경원,2016-03-22,190250.875091908,453017.867202928,2026-05-03 22:39:05,I,1,03,폐업,1,24.33,1,1,2016-03-22 17:50:48,,2008-06-25,121-270,1,서울특별시 마포구 상암동1605누리꿈스퀘어지하1층B1024,PHMB220083130033082200004,1,3130000,1,"서울특별시 마포구 월드컵북로 396, 지하1층 1024호 (상암동)",03925,03,폐업,1,,,,1
인키안경원 홍대점,2013-04-30,,,2026-05-03 22:39:03,I,1,03,폐업,1,352.05,1,1,2013-04-30 13:24:14,,2008-08-14,121-210,1,서울특별시 마포구 서교동353-2 1층,PHMB220083130033082200006,1,3130000,1,,,03,폐업,1,,,,1
탑안경,2009-01-23,,,2026-05-03 22:39:03,I,1,03,폐업,1,,1,1,2010-03-03 15:29:13,,2008-08-18,121-270,1,서울특별시 마포구 상암동1601KGIT137호 1층,PHMB220083130033082200007,1,3130000,1,,,03,폐업,1,,,,1
트랜디카,2022-07-20,195058.187075674,449133.496591561,2026-05-03 22:39:03,I,1,03,폐업,1,,1,1,2022-07-20 18:16:49,,2008-10-16,121-080,1,서울특별시 마포구 대흥동802세양APT상가115 1층,PHMB220083130033082200008,1,3130000,1,"서울특별시 마포구 독막로 288, 115호 (대흥동, 세양아파트상가)",04152,03,폐업,1,,,,1
아이편한안경,2009-01-15,,,2026-05-03 22:39:03,I,1,03,폐업,1,,1,1,2010-03-03 15:30:28,,2008-11-13,121-270,1,서울특별시 마포구 상암동 택지개발지구 5블럭상암근린상가130,PHMB220083130033082200010,1,3130000,1,,,03,폐업,1,,,,1
인키안경원 망원점,2009-07-16,,,2026-05-03 22:39:00,I,1,03,폐업,1,30.03,1,1,2010-03-03 15:31:53,,2008-12-29,445-390,1,경기도 화성시 진안동 910번지 10통 진안골마을주공아파트 1210동 1106호,PHMB220083130033082200011,1,3130000,1,,,03,폐업,1,,,02-325-8840,1
