건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,가선,,2011-10-27,,203902.605,443874.3,,관광식당업,2026-05-03 22:52:18,I,03,폐업,,,,,,,,,,,2013-02-22 16:36:06,,2007-02-07,135-928,서울특별시 강남구 역삼동 773-6 1층,CDFI3261042007000003,3220000,,"서울특별시 강남구 언주로 327  (역삼동,1층)",,03,폐업,,,,,,,,,,,,
,,구이린,,2014-11-03,,201847.886451965,445541.582198905,,관광식당업,2026-05-03 22:52:18,I,03,폐업,,,,,,,,,,,2015-09-04 11:31:42,,2007-04-24,135-814,서울특별시 강남구 논현동 50-8,CDFI3261042007000005,3220000,,서울특별시 강남구 학동로1길 11 (논현동),,03,폐업,,,,,,,,,,,,
,,국빈,,2016-05-04,,203511.560902347,446217.245293527,,관광식당업,2026-05-03 22:52:18,I,03,폐업,,,,,,,,,,,2016-05-04 15:06:32,,2007-04-24,135-820,서울특별시 강남구 논현동 111-28,CDFI3261042007000006,3220000,,서울특별시 강남구 선릉로133길 3 (논현동),,03,폐업,,,,,,,,,,,,
,,일마레 압구정점,,2014-10-08,,203232.631651807,446906.33849873,,관광식당업,2026-05-03 22:52:18,I,03,폐업,,,,,,,,,,,2015-09-04 11:35:53,,2007-03-13,135-897,서울특별시 강남구 신사동 653-20,CDFI3261042007000008,3220000,,서울특별시 강남구 도산대로49길 22 (신사동),,03,폐업,,,,,,,34448697,,,,,
,,공리(공춘호),,2014-11-03,,,,,관광식당업,2026-05-03 22:52:19,I,03,폐업,,,,,,,,,,,2015-09-04 11:29:59,,2008-01-21,135-985,서울특별시 강남구 역삼동 GS강남타워 지하 1층,CDFI3261042008000005,3220000,,,,03,폐업,,,,,,,,,,,,
,,금문도,,2016-02-29,,202518.374074419,444076.444983586,,관광식당업,2026-05-03 22:52:19,I,03,폐업,,,,,,,,,,,2016-03-08 14:25:32,,2008-04-02,135-933,서울특별시 강남구 역삼동 822-5,CDFI3261042008000007,3220000,,서울특별시 강남구 테헤란로 111 (역삼동),,03,폐업,,,,,,,34738812,,,,,
,,천미향,,2013-01-23,,205627.537677229,445712.075775255,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2013-02-22 17:53:45,,2008-06-12,135-091,"서울특별시 강남구 삼성동 165-12 지상 2,3층",CDFI3261042008000009,3220000,,"서울특별시 강남구 봉은사로108길 21  (삼성동,지상 2,3층)",,03,폐업,,,,,,,02-558-5838,,,,,
,,탄,,2014-12-22,,202410.177723106,444212.054864818,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2015-09-04 11:22:11,,2008-01-21,135-931,서울특별시 강남구 역삼동 817-16 지상1층,CDFI3261042008000011,3220000,,"서울특별시 강남구 강남대로96길 11-4 (역삼동,지상1층)",,03,폐업,,,,,,,02-508-6660,,,,,
,,팬다(김복순),,2014-11-03,,204933.423687109,445141.77035067,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2015-09-04 11:25:02,,2008-01-07,135-880,서울특별시 강남구 삼성동 157-8 지하1층,CDFI3261042008000013,3220000,,"서울특별시 강남구 삼성로96길 6 (삼성동,지하1층)",,03,폐업,,,,,,,,,,,,
,,국빈반점,,2014-05-14,,202530.779356423,443846.791232238,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2014-05-22 13:19:01,,2009-02-23,135-934,서울특별시 강남구 역삼동 825-27 국빈반점,CDFI3261042009000002,3220000,,"서울특별시 강남구 테헤란로2길 21 (역삼동,국빈반점)",,03,폐업,,,,,,,,,,,,
,,기욤,,2014-11-11,,203559.800138386,446912.293422992,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2015-09-04 11:22:53,,2009-09-28,135-954,서울특별시 강남구 청담동 88-37 1층,CDFI3261042009000003,3220000,,"서울특별시 강남구 선릉로152길 17 (청담동,1층)",,03,폐업,,,,,,,,,,,,
,,나마스테,,2014-10-08,,201928.025912356,446851.924138581,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2015-09-04 11:33:48,,2009-04-21,135-890,서울특별시 강남구 신사동 548 예린빌딩 지하1층 B02호,CDFI3261042009000004,3220000,,"서울특별시 강남구 압구정로 126 (신사동,예린빌딩 지하1층 B02호)",,03,폐업,,,,,,,,,,,,
,,르어,,2011-10-27,,202262.457856142,444382.542260289,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2013-02-22 16:41:36,,2009-02-23,135-931,서울특별시 강남구 역삼동 814-6 스타플렉스 2층 209호,CDFI3261042009000007,3220000,,"서울특별시 강남구 강남대로 438  (역삼동,스타플렉스 2층 209호)",,03,폐업,,,,,,,,,,,,
,,중국성,,2013-12-24,,204598.727206064,445594.572229935,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2014-01-15 15:10:13,,2009-06-10,135-509,서울특별시 강남구 삼성동 119,CDFI3261042009000008,3220000,,서울특별시 강남구 봉은사로 478 (삼성동),,03,폐업,,,,,,,,,,,,
,,취홍,,2013-03-06,,204842.438886379,445531.161515974,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2013-03-22 17:07:17,,2009-02-05,135-878,서울특별시 강남구 삼성동 149-1 지상1층,CDFI3261042009000009,3220000,,"서울특별시 강남구 봉은사로82길 21  (삼성동,지상1층)",,03,폐업,,,,,,,02-567-7454,,,,,
,,타코리코,,2015-03-02,,202491.248721223,444170.949037919,,관광식당업,2026-05-03 22:52:20,I,03,폐업,,,,,,,,,,,2015-09-04 11:20:40,,2009-12-10,135-932,서울특별시 강남구 역삼동 818-8 용정빌딩 1층,CDFI3261042009000012,3220000,,"서울특별시 강남구 강남대로94길 21 (역삼동,용정빌딩 1층)",,03,폐업,,,,,,,02-558-4525,,,,,
,,토다이 코엑스점,,2014-11-03,,,,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2015-09-04 11:27:34,,2009-09-07,135-731,서울특별시 강남구 삼성동 무역센터코엑스(COEX) N13호,CDFI3261042009000013,3220000,,,,03,폐업,,,,,,,,,,,,
,,팜파스그릴,,2014-10-08,,202210.224464549,446972.963113462,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2015-09-04 11:34:27,,2009-07-20,135-891,서울특별시 강남구 신사동 572,CDFI3261042009000014,3220000,,서울특별시 강남구 압구정로22길 10 (신사동),,03,폐업,,,,,,,,,,,,
,,(주)강가홀딩스,,2015-08-27,,204409.705567487,443065.549521654,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2015-09-04 11:09:36,,2010-12-03,135-505,서울특별시 강남구 도곡동 91-5 삼성래미안상가 서관 1층 101-104호,CDFI3261042010000001,3220000,,"서울특별시 강남구 남부순환로 2803 (도곡동,삼성래미안상가 서관 1층 101-104호)",,03,폐업,,,,,,,02-529-3610,,,,,
,,(주)매직테이스트,,2011-06-27,,203145.214135042,446735.298655882,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2013-02-22 16:34:53,,2010-09-14,135-897,서울특별시 강남구 신사동 651-16 지상1층,CDFI3261042010000002,3220000,,"서울특별시 강남구 도산대로45길 6  (신사동,지상1층)",,03,폐업,,,,,,,,,,,,
,,구르메에오,,2015-08-25,,204004.125927718,447011.834761419,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,이탈리아식,2015-09-04 11:18:47,,2010-06-14,135-517,서울특별시 강남구 청담동 99-11 지상1층,CDFI3261042010000004,3220000,,"서울특별시 강남구 도산대로75길 14-1 (청담동,지상1층)",,03,폐업,,,,,,,02-3443-1970,,,,,
,,네꼬맘마,,2014-10-08,,201988.322910124,446465.736555461,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2015-09-04 11:33:16,,2010-06-14,135-889,"서울특별시 강남구 신사동 545-18 지상1층, 지하1층",CDFI3261042010000008,3220000,,"서울특별시 강남구 도산대로13길 36 (신사동,지상1층, 지하1층)",,03,폐업,,,,,,,26024971,,,,,
,,동천홍(박성재),,2011-12-01,,205159.792088359,445792.211674213,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2013-02-22 16:37:40,,2010-10-21,135-871,"서울특별시 강남구 삼성동 77-20 지하1층, 지상1층",CDFI3261042010000013,3220000,,"서울특별시 강남구 봉은사로 541  (삼성동,지하1층, 지상1층)",,03,폐업,,,,,,,,,,,,
,,동천홍(정혁신),,2012-03-14,,202585.51817616,446338.99415572,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2012-04-02 11:29:18,,2010-06-14,135-816,"서울특별시 강남구 논현동 65-3 1,2층",CDFI3261042010000014,3220000,,"서울특별시 강남구 논현로150길 18  (논현동,1,2층)",,03,폐업,,,,,,,,,,,,
,,동천홍(역삼점),,2012-06-13,,202761.123133625,443264.276611029,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2012-07-03 08:35:23,,2010-05-25,135-937,서울특별시 강남구 역삼동 837-33,CDFI3261042010000015,3220000,,,,03,폐업,,,,,,,,,,,,
,,루나아시아,,2013-01-16,,204936.619943986,445301.34031971,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2013-02-22 16:39:47,,2010-05-18,135-878,서울특별시 강남구 삼성동 152-62 1층,CDFI3261042010000017,3220000,,"서울특별시 강남구 삼성로100길 15  (삼성동,1층)",,03,폐업,,,,,,,,,,,,
,,루비친(삼성동),,2013-01-31,,204698.725555403,444950.288061059,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2013-02-22 16:40:19,,2010-03-23,135-877,서울특별시 강남구 삼성동 143-30,CDFI3261042010000018,3220000,,서울특별시 강남구 삼성로91길 28  (삼성동),,03,폐업,,,,,,,,,,,,
,,룽청,,2014-02-10,,202766.790145924,444274.580751513,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2014-02-21 10:48:26,,2010-10-20,135-908,서울특별시 강남구 역삼동 636-15,CDFI3261042010000019,3220000,,서울특별시 강남구 강남대로94길 59 (역삼동),,03,폐업,,,,,,,,,,,,
,,지미(역삼점),,2013-09-09,,202722.161687863,443575.914969499,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2013-09-26 11:28:46,,2010-05-25,135-936,서울특별시 강남구 역삼동 830-31,CDFI3261042010000021,3220000,,서울특별시 강남구 역삼로3길 12 (역삼동),,03,폐업,,,,,,,02-565-5591,,,,,
,,차이웍(대치2호점),,2015-08-25,,205552.78825108,444140.741979015,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2015-09-04 11:10:31,,2010-05-14,135-501,서울특별시 강남구 대치동 990-2 지상1층,CDFI3261042010000023,3220000,,"서울특별시 강남구 도곡로 522 (대치동,지상1층)",,03,폐업,,,,,,,,,,,,
,,카도로,,2012-07-03,,204993.168008491,444750.102109973,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2012-07-16 10:03:23,,2010-12-31,135-840,서울특별시 강남구 대치동 893-4 2층,CDFI3261042010000025,3220000,,"서울특별시 강남구 삼성로 427  (대치동,2층)",,03,폐업,,,,,,,02-562-1371,,,,,
,,쿠아타이(이준형),,2013-12-31,,204290.500084407,444555.671199174,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2014-01-15 15:13:33,,2010-12-20,135-082,서울특별시 강남구 역삼동 708-36 3층,CDFI3261042010000026,3220000,,"서울특별시 강남구 선릉로 429 (역삼동,3층)",,03,폐업,,,,,,,02-539-8854,,,,,
,,"티원, 무역센터",,2013-12-31,,,,,관광식당업,2026-05-03 22:52:22,I,03,폐업,,,,,,,,,,,2014-01-15 15:31:30,,2010-02-16,135-730,서울특별시 강남구 삼성동 무역센터현대백화점 9층,CDFI3261042010000027,3220000,,,,03,폐업,,,,,,,32707533,,,,,
,,도사가야서울,,2011-07-18,,202118.122803265,444900.263571515,,관광식당업,2026-05-03 22:52:21,I,03,폐업,,,,,,,,,,,2013-02-22 16:37:04,,2010-07-30,135-827,서울특별시 강남구 논현동 183 1층,CDFI3261042010000011,3220000,,"서울특별시 강남구 강남대로118길 12  (논현동,1층)",,03,폐업,,,,,,,34465555,,,,,
