사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
근로복지공단 정선병원,병원,,346855.588954997,432530.667942067,2026-04-10 03:03:03,U,1,정상,11177.66,72,51,2026-04-09 17:49:01,,1988-11-21,11177.66,,,,,,시도,198864200002000004,6530000,강원특별자치도 정선군 정선읍 봉양1길 145-0,,01,영업/정상,157,,,033-560-7110
홍천아산병원,종합병원,,278852.231568625,465755.841290153,2026-04-11 03:03:03,U,1,정상,6418,78,39,2026-04-10 17:41:35,,1989-11-06,6418,,,,,,시도,198964200002000001,6530000,"강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17층",,01,영업/정상,158,,,033-430-5151
의산의료재단 강릉고려병원,종합병원,,367347.514575478,474640.769403185,2026-04-11 03:03:03,U,1,정상,5293.56,58,47,2026-04-10 17:41:31,,1991-08-13,5293.56,,,,,,시도,199164200002000002,6530000,"강원특별자치도 강릉시 옥가로 30, 30층 (옥천동)",,01,영업/정상,157,,,033-649-0100
상지대학교부속 한방병원,한방병원,,282684.722957517,430234.756275329,2026-04-10 03:03:03,U,1,정상,7121.38,40,26,2026-04-09 17:41:31,,1992-06-11,7121.38,,,,,,시도,199264200002000003,6530000,"강원특별자치도 원주시 상지대길 80-0,  (우산동)층 (우산동)",,01,영업/정상,100,,,033-732-2111
국군춘천병원,병원,,264348.656892267,493142.100309624,2026-04-11 03:03:03,U,1,정상,18731.41,72,40,2026-04-10 15:02:09,,1994-05-16,18731.41,,,,,,시도,199464200002000007,6530000,"강원특별자치도 춘천시 방고개길 57, 57층 (신동)",,01,영업/정상,132,,,033-244-0130
국군홍천병원,병원,,287765.119715851,478468.569046208,2026-04-10 03:03:03,U,1,정상,12523.1,76,30,2026-04-09 17:36:36,,1994-05-17,12523.1,,,,,,시도,199464200002000008,6530000,"강원특별자치도 홍천군 두촌면 아홉사리로 53, 53층",,01,영업/정상,104,,,033-460-3023
강릉아산병원,종합병원,,363580.205089049,481138.750877628,2026-04-10 03:03:03,U,1,정상,99390,1397,250,2026-04-09 17:41:26,,1996-07-30,99390,,,,,,시도,199664200002000001,6530000,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원층",,01,영업/정상,768,,,033-610-3114
의료법인 성지의료재단 성지병원,병원,,284484.959261583,427479.800413061,2026-04-10 03:03:03,U,1,정상,12131.44,152,103,2026-04-09 17:37:21,,2001-08-21,12131.44,,,,,,시도,200164200002000001,6530000,"강원특별자치도 원주시 원일로 22, 22층 (인동)",,01,영업/정상,306,,,033-760-3103
강원특별자치도재활병원,병원,,265108.905671972,489243.60633558,2026-04-10 03:03:03,U,1,정상,13423.37,70,47,2026-04-09 17:49:17,,2005-05-30,13423.37,,,,,,시도,200564200002000002,6530000,"강원특별자치도 춘천시 충열로142번길 24-16,  (우두동)층 (우두동)",,01,영업/정상,170,,,033-248-7700
(의)아나의료재단 강릉아나병원,정신병원,,367629.928350308,474812.329131094,2026-04-10 03:03:03,U,1,정상,3754.45,30,37,2026-04-09 17:36:46,,2005-07-04,3754.45,,,,,,시도,200564200002000003,6530000,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)층 (옥천동)",,01,영업/정상,202,,,033-610-1100
춘천예현병원,정신병원,,254245.483818577,483370.766177782,2026-04-10 03:03:03,U,1,정상,4181.83,25,75,2026-04-09 17:36:40,,2007-02-21,4181.83,,,,,의사,시도,200764200002000001,6530000,"강원특별자치도 춘천시 서면 샛말길 122-11, 122층",,01,영업/정상,294,,,033-264-9885
경기도립노인전문여주병원,요양병원(노인병원),,259267.335898939,424967.961103128,2026-04-11 03:03:03,U,13,영업중,5722.73,32,37,2026-04-10 15:13:21,,2002-12-14,5722.73,,,101 102 110 120 301,"내과, 신경과, 산부인과, 재활의학과, 한방내과",요양병원(노인병원),시군구,PHMA220024110016021200001,5700000,경기도 여주시 북내면 도예로 361-14,,01,영업/정상,190,,,031-886-4100
서울 대효 요양병원,요양병원(일반요양병원),,206803.982133972,476795.590799812,2026-04-10 03:03:03,U,13,영업중,3553.52,29,36,2026-04-09 16:38:28,,2018-05-21,3553.52,,,102 104 106 110 120 301,"신경과, 외과, 신경외과, 산부인과, 재활의학과, 한방내과",요양병원(일반요양병원),시군구,PHMA220185590021021200001,5590000,"경기도 양주시 고읍남로 36, 골든스퀘어 3~6층 (광사동)",11492,01,영업/정상,199,,,031-894-1000
내안에병원,정신병원,,284004.108457156,426211.92172411,2026-04-11 03:03:03,U,1,정상,3635.19,19,48,2026-04-10 17:41:38,,2009-10-28,3635.19,,,,,의사,시도,200964200002000008,6530000,"강원특별자치도 원주시 남원로 562-5,  (개운동)층 (개운동)",,01,영업/정상,205,,,033-733-1199
춘천시노인전문병원,요양병원(일반요양병원),,266472.713057028,486655.634360717,2026-04-10 03:03:03,U,1,정상,5840.76,32,36,2026-04-09 17:48:07,,2010-01-22,5840.76,,,,,,시도,201064200002000002,6530000,강원특별자치도 춘천시 동면 세실로 252,,01,영업/정상,212,,,033-240-7500
영광재활병원,병원,,287814.956845904,426438.392178082,2026-04-10 03:03:03,U,1,정상,2891,35,23,2026-04-09 17:46:17,,2011-02-23,2891,,,,,의사,시도,201164200002000001,6530000,"강원특별자치도 원주시 오리현길 236-0,  (행구동)층 (행구동)",,01,영업/정상,94,,,033-746-4100
원주효요양병원,요양병원(일반요양병원),,283756.782954782,428388.408815569,2026-04-11 03:03:03,U,1,정상,1520,8,14,2026-04-10 17:41:27,,2011-10-28,1520,,,,,,시도,201164200002000006,6530000,"강원특별자치도 원주시 원일로 176-1,  (학성동)층 (학성동)",,01,영업/정상,79,,,033-747-6701
춘천요양병원,요양병원(일반요양병원),,267126.590536997,488627.11291077,2026-04-10 03:03:03,U,1,정상,5855.7,41,49,2026-04-09 17:37:13,,2012-03-02,5855.7,,,,,한의사,시도,201264200002000002,6530000,강원특별자치도 춘천시 동면 춘천로 527-34,,01,영업/정상,303,,,033-260-7114
해오름자연요양병원,요양병원(일반요양병원),,321414.822893207,458363.631656906,2026-04-10 03:03:03,U,1,정상,2465.52,10,30,2026-04-09 17:41:21,,2015-08-13,2465.52,,,,,,시도,201564200002000002,6530000,강원특별자치도 평창군 봉평면 기풍로 199,,01,영업/정상,57,,,033-335-7582
속초정요양병원,요양병원(일반요양병원),,339041.649440252,521964.949634866,2026-04-10 03:03:03,U,1,정상,4004.1,47,27,2026-04-09 17:45:49,,2015-08-17,4004.1,,,,,의사,시도,201564200002000003,6530000,"강원특별자치도 속초시 동해대로 4084, (조양동)층 (조양동)",,01,영업/정상,131,,,033-637-0757
연세메디하임병원,병원,,274818.689682307,425238.051595747,2026-04-10 03:03:03,U,1,정상,5872,52,51,2026-04-09 17:40:52,,2016-08-01,5872,,,,,의사,시도,201664200002000003,6530000,"강원특별자치도 원주시 문막읍 원문로 1419-0, 연세메디하임병원층",,01,영업/정상,230,,,033-740-8800
철원병원,병원,,226929.100240543,516412.772602971,2026-04-10 03:03:03,U,1,정상,6440.45,31,33,2026-04-09 17:45:23,,2017-11-01,6440.45,,,,,의사,시도,201764200002000004,6530000,강원특별자치도 철원군 갈말읍 명성로 208-0,,01,영업/정상,88,,,033-452-5011
원주불로병원,병원,,283605.62225651,428660.462755121,2026-04-10 03:03:03,U,1,정상,3828.54,68,43,2026-04-09 17:37:05,,2018-04-11,3828.54,,,,,의사,시도,201864200002000002,6530000,"강원특별자치도 원주시 평원로 165-0,  (학성동)층 (학성동)",,01,영업/정상,145,,,033-747-2000
원주센텀병원,병원,,282368.389057022,426156.527130837,2026-04-11 03:03:03,U,1,정상,4188.86,28,42,2026-04-10 17:41:23,,2018-04-17,4188.86,,,,,의사,시도,201864200002000003,6530000,"강원특별자치도 원주시 능라동길 70-0,  (무실동)층 (무실동)",,01,영업/정상,126,,,033-900-1111
연세명인병원,병원,,283992.304984137,428352.538835144,2026-04-11 03:03:03,U,1,정상,4963.19,71,40,2026-04-10 17:41:47,,2021-12-08,4963.19,,,,,의사,시도,202164200002000006,6530000,"강원특별자치도 원주시 평원로 100-0,  (학성동)층 (학성동)",,01,영업/정상,139,,,033-813-1111
춘천호반요양병원,요양병원(일반요양병원),,262179.991029736,484053.913065895,2026-04-11 03:03:03,U,1,정상,2355.52,26,33,2026-04-10 17:41:42,,2008-10-20,2355.52,,,,,,시도,200864200002000012,6530000,"강원특별자치도 춘천시 옛경춘로 663, 663층 (삼천동)",,01,영업/정상,156,,,033-251-9911
푸른사랑병원,병원,,330015.564028515,410050.982404069,2026-04-10 03:03:03,U,1,정상,1286.07,4,11,2026-04-09 17:48:50,,2009-04-27,1286.07,,,,,의사,시도,200964200002000001,6530000,강원특별자치도 영월군 영월읍 중앙로 10,,01,영업/정상,60,,,033-374-7575
