건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 엠컬처,,204264.246924848,449719.810350033,,,2026-04-08 22:07:32,I,13,영업중,,,,,2026-04-07 16:41:29,,2026-04-07,,서울특별시 성동구 성수동*가 **-**,CDFF3241092026000016,3030000,,"서울특별시 성동구 상원**길 **-*, *층 (성수동*가)",04791,01,영업/정상,,,,02-499-9877,,
,주식회사 소풍뮤직,,195153.212273485,448725.074636557,,,2026-04-08 22:10:14,I,13,영업중,,,,,2026-04-07 15:37:25,,2026-04-07,,서울특별시 마포구 도화동 *** 고려빌딩,CDFF3241092026000021,3130000,,"서울특별시 마포구 큰우물로 **, 고려빌딩 *층 ***호 내 ***호 (도화동)",04167,01,영업/정상,,,,,,
,모덴베리코리아,,201835.448750773,445661.761844114,,,2026-04-08 22:07:35,I,13,영업중,,,,,2026-04-07 16:00:30,,2025-04-24,,서울특별시 강남구 논현동 **-** 논현제일빌딩,CDFF3241092026000062,3220000,,"서울특별시 강남구 강남대로***길 **, 논현제일빌딩 *층 ***호 (논현동)",06043,01,영업/정상,,,,,,
,주식회사 컴퍼니소설,,204245.355841868,441331.259226392,,,2026-04-14 03:03:03,U,13,영업중,,,,,2026-04-13 14:54:53,,2023-06-27,,서울특별시 강남구 개포동 **** 썬테크빌딩,CDFF3241092026000063,3220000,,"서울특별시 강남구 논현로 **, 썬테크빌딩 지하*층 (개포동)",06312,01,영업/정상,,,,,,
,주식회사 초코몬,,194976.5339887,429667.470695527,,,2026-04-08 21:07:31,I,13,영업중,,,,,2026-04-07 15:15:27,,2026-04-07,,경기도 군포시 금정동 **-* 진원타워,CDFF3241092026000002,4020000,,"경기도 군포시 군포로 ***-*, 진원타워 **층 ****호 (금정동)",15811,01,영업/정상,,,,031-455-1050,,
,이즈뮤직,,337995.690467562,521480.409389926,,대중문화예술기획업,2026-04-10 03:03:03,U,1,영업,,,,매니지먼트 등,2026-04-09 14:17:18,,2026-03-18,,강원특별자치도 속초시 조양동 ****번지 *호 *** ***동,M04022026000004,6530000,,"강원특별자치도 속초시 청대로 ***-*, ***동 **층 ****호 (조양동,삼성쉐르빌)",,01,영업/정상,,,,,,
,프루빙그라운즈,,197202.846269061,446986.411557186,,,2026-04-14 22:37:39,I,13,영업중,,,,,2026-04-13 10:10:49,,2026-04-13,,서울특별시 용산구 한강로*가 **-*** 용산시티파크*단지,CDFF3241092026000012,3020000,,"서울특별시 용산구 서빙고로 **, ***동 ***호 (한강로*가, 용산시티파크*단지)",04385,01,영업/정상,,,,02-6015-6070,,
,주식회사 고라니엔터테인먼트,,187952.560027898,450562.020225978,,,2026-04-14 22:07:35,I,13,영업중,,,,,2026-04-13 15:08:56,,2026-04-13,,서울특별시 강서구 염창동 ***-** 우림블루나인비즈니스센터,CDFF3241092026000012,3150000,,"서울특별시 강서구 양천로 ***, 우림블루나인비즈니스센터 A동 **층 ****호 (염창동)",07547,01,영업/정상,,,,,,
,키네틱 캔버스,,190967.257864999,442305.216740774,,,2026-04-14 22:07:00,I,13,영업중,,,,,2026-04-13 17:37:36,,2026-04-13,,서울특별시 구로구 구로동 ****-* 파트너스타워*차,CDFF3241092026000002,3160000,,"서울특별시 구로구 디지털로**가길 **, 파트너스타워*차 **층 ****-***호 (구로동)",08393,01,영업/정상,,,,,,
,주식회사 왓에버미디어컴,,191555.444915091,453287.9557073,,,2026-04-10 22:37:39,I,13,영업중,,,,,2026-04-09 13:23:46,,2018-06-27,,서울특별시 은평구 증산동 ***-**,CDFF3241092026000002,3110000,,"서울특별시 은평구 증산서길 **, *층 (증산동)",03500,01,영업/정상,,,,,,
,주식회사 배우를품다,,189409.395005978,453459.514085072,,,2026-04-11 22:10:29,I,13,영업중,,,,,2026-04-10 15:26:14,,2018-11-28,,서울특별시 마포구 상암동 **** 상암 오벨리스크 *차,CDFF3241092026000022,3130000,,"서울특별시 마포구 월드컵북로 ***, 상암 오벨리스크 *차 *층 *-***호 (상암동)",03902,01,영업/정상,,,,,,
,피오레 아트앤엔터,,201065.930668104,442380.062201508,,,2026-04-11 22:07:32,I,13,영업중,,,,,2026-04-10 09:31:43,,2026-04-10,,서울특별시 서초구 서초동 ****-**,CDFF3241092026000016,3210000,,"서울특별시 서초구 효령로**길 **, 지하*층 (서초동)",06716,01,영업/정상,,,,,,
,주식회사 그리드엔터테인먼트,,202205.109722183,446560.908289555,,,2026-04-11 22:07:34,I,13,영업중,,,,,2026-04-10 13:55:18,,2023-06-14,,서울특별시 강남구 신사동 ***-*,CDFF3241092026000065,3220000,,서울특별시 강남구 논현로***길 ** (신사동),06033,01,영업/정상,,,,,,
,주식회사 링컴즈,,202285.070946447,446361.461576367,,,2026-04-11 22:07:34,I,13,영업중,,,,,2026-04-10 13:51:21,,2026-04-10,,서울특별시 강남구 신사동 ***-** 신사힐,CDFF3241092026000066,3220000,,"서울특별시 강남구 도산대로 ***, 신사힐 **층 (신사동)",06037,01,영업/정상,,,,,,
,주식회사 엠케이씨앤티,,202142.486520552,446341.107919869,,,2026-04-11 22:07:34,I,13,영업중,,,,,2026-04-10 13:53:22,,2026-04-10,,서울특별시 강남구 신사동 ***-*,CDFF3241092026000067,3220000,,"서울특별시 강남구 도산대로**길 *, ***호 (신사동)",06037,01,영업/정상,,,,,,
,주식회사 올캡스엔터테인먼트,,,,,,2026-04-11 21:07:30,I,13,영업중,,,,,2026-04-10 16:33:33,,2026-04-10,,경기도 고양시 덕양구 덕은동 ***,CDFF3241092026000028,3940000,,"경기도 고양시 덕양구 으뜸로 *, 덕은아이에스비즈타워센트럴*차 지식산업센터동 ****호 (덕은동)",10542,01,영업/정상,,,,,,
,주식회사 스타모먼트,,202935.791122385,443254.762706514,,,2026-04-14 22:07:43,I,13,영업중,,,,,2026-04-13 15:39:44,,2026-04-13,,서울특별시 강남구 역삼동 ***-**,CDFF3241092026000068,3220000,,"서울특별시 강남구 강남대로**길 **-*, *층 (역삼동)",06254,01,영업/정상,,,,,,
,주식회사 크리캣,,211121.079282325,459492.888691226,,,2026-04-14 21:07:31,I,13,영업중,,,,,2026-04-13 17:36:47,,2026-04-13,,경기도 구리시 갈매동 ***,CDFF3241092026000001,3980000,,"경기도 구리시 갈매중앙로 ***, 휴밸나인지식산업센터 B동 ****호 (갈매동)",11901,01,영업/정상,,,,,,
,(주)크리에이티브비범,,195597.981543781,448915.134736478,유통관련업,대중문화예술기획업,2026-04-09 03:03:03,U,13,영업중,연예 매니지먼트,,,,2026-04-08 11:05:15,,2025-12-10,,서울특별시 마포구 도화동 *** 서울대학교 총동창회 장학빌딩,CDFF3241092025000108,3130000,,"서울특별시 마포구 새창로 *, 서울대학교 총동창회 장학빌딩 **층 (도화동)",04168,01,영업/정상,,,,,,
