자동확산소화기대수,건물형태구분명,사업장명,조식제공여부,일산화탄소감지기대수,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,완강기대수,상세영업상태코드,상세영업상태명,피난구유도등개수,유도표지개수,소화기개수,가스누설경보기대수,객실수,주택면적,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,휴대용비상조명등대수,방면적비율,도로명주소,도로명우편번호,화장실수,화장실종류명,영업상태구분코드,영업상태명,단독경보형감지기개수,휴업시작일자,휴업종료일자,소재지전화번호,용도지역,오수처리시설용량
0,,공작산물골,,0,,,,2026-04-11 03:03:03,U,0,1,정상,0,0,0,0,7,191.82,2026-04-10 11:26:17,2015-03-16,565,250-892,강원특별자치도 홍천군 동면 노천리 2000,AGCV042510002020000280,4251000,0,,강원특별자치도 홍천군 동면 공작산로 1489-14,,,,01,영업/정상,0,,,033-433-6683,관리지역,
1,,부티크소공,,1,,366855.706947798,479131.4798165,2026-04-14 03:03:03,U,0,1,정상,0,2,7,0,2,194.2,2026-04-13 18:24:00,2024-11-28,643,,강원특별자치도 강릉시 저동 51-1,AGCV042010002024000109,4201000,8,194,강원특별자치도 강릉시 저동골길 40-12 (저동),25461,2,,01,영업/정상,8,,,,계획관리지역,
1,,포레스테이,,1,,368265.437079243,478363.724962124,2026-04-11 03:03:03,U,0,1,정상,0,5,8,1,7,228.3,2026-04-10 10:58:37,2022-09-26,444,,강원특별자치도 강릉시 초당동 394-1,AGCV042010002022000078,4201000,5,228,강원특별자치도 강릉시 난설헌로193번길 17 (초당동),25466,7,,01,영업/정상,9,,,,계획관리지역,
2,,반디별펜션,,1,,313232.481852853,474567.186763979,2026-04-09 03:03:03,U,0,2,휴업,0,1,3,0,2,195.58,2026-04-08 11:45:28,2017-07-26,660,,강원특별자치도 홍천군 내면 율전리 1228,AGCV042510002020000389,4251000,2,196,강원특별자치도 홍천군 내면 우물골길 87,25169,3,,02,휴업,3,2025-10-15,2026-04-30,,관리지역,8
0,,팔봉산 가든민박,,0,,261889.783778292,466369.024034105,2026-04-14 03:03:03,U,0,1,정상,0,0,1,0,3,115.67,2026-04-13 20:01:56,2006-04-12,495,,강원특별자치도 홍천군 서면 팔봉리 986번지,AGCV042510002020000040,4251000,0,48,강원특별자치도 홍천군 서면 한치골길 1000,25101,4,,01,영업/정상,1,,,033-434-2216,준농림지역,
9,,레스또,,8,,255168.52043671,464834.931621453,2026-04-09 03:03:03,U,3,1,정상,10,3,6,3,5,198.98,2026-04-08 17:33:03,2020-02-06,5859,,강원특별자치도 홍천군 서면 개야리 312번지 8호,AGCV042510002020000481,4251000,10,199,"강원특별자치도 홍천군 서면 개야로 222-4, 주1동",25100,6,,01,영업/정상,12,2024-06-01,2026-03-02,,보전관리지역,10
0,,쁘띠프라하,,0,,261858.571056467,464918.825723499,2026-04-14 03:03:03,U,0,1,정상,0,0,3,0,3,218.08,2026-04-13 16:34:30,2013-03-11,579,,강원특별자치도 홍천군 서면 팔봉리 853-5,AGCV042510002020000230,4251000,0,,강원특별자치도 홍천군 서면 팔봉강변길 40-23,25101,4,,01,영업/정상,3,,,,관리지역,8
0,,사랑이 머무는 풍경,,0,2026-04-09,256518.401361452,476594.842092536,2026-04-10 03:03:03,U,0,3,폐업,0,0,3,0,7,270.27,2026-04-09 17:57:00,2019-05-07,906,,강원특별자치도 춘천시 남산면 창촌리 87-1,AGCV041810002019000055,4181000,0,,강원특별자치도 춘천시 남산면 보매기1길 62-10,24465,,,03,폐업,7,2021-06-01,2022-05-31,,준농림지역,
3,,숲안애,,3,2026-04-13,,,2026-04-14 03:03:03,U,0,3,폐업,1,2,6,3,4,192.5,2026-04-13 17:53:53,2024-01-30,984,,,AGCV041810002024000007,4181000,6,,강원특별자치도 춘천시 서부대성로 409 (후평동),24308,,,03,폐업,6,,,,자연녹지지역,
1,,스테이 휴가,,1,,241841.209807658,442164.098140513,2026-04-09 03:03:03,U,0,1,정상,0,2,4,0,1,130.22,2026-04-08 10:06:04,2023-04-06,229,,,AGCV041700002023000020,4170000,1,130,경기도 양평군 강상면 송학길84번길 21,12571,3,,01,영업/정상,3,,,,계획관리지역,
