건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
,임대,,대우미래세탁소,일반세탁업,2026-04-06,,,,202249.493976676,417760.838726021,2026-04-07 03:03:03,U,02,폐업,,2026-04-06 09:17:13,2005-07-07,34.60,441-822,경기도 수원시 권선구 권선동 1011-10 대우미래사랑 102동 101호,N,,3760000-205-2005-00017,3740000,"경기도 수원시 권선구 효원로230번길 24 (권선동,대우미래사랑 102동 101호)",16571,,03,폐업,일반세탁업,031-224-3330,1,,1,,2
,,,디발디크리닝,일반세탁업,2026-04-13,,,,,,2026-04-14 03:03:03,U,02,폐업,,2026-04-13 11:00:00,2003-04-10,.00,430-802,경기도 안양시 만안구 박달동 838-30,N,,3840000-205-2003-00003,3830000,경기도 안양시 만안구 양화로135번길 98 (박달동),13981,,03,폐업,일반세탁업,031-469-2262,,,,,
0,,0,오성세탁소,일반세탁업,,,,,198423.885343986,389591.18399812,2026-04-07 03:03:03,U,01,영업,,2026-04-06 16:59:18,1987-05-26,.00,451-873,경기도 평택시 오성면 숙성리 150-9,N,,3910038-205-1987-00006,3910000,경기도 평택시 오성면 숙성시장길 47,17819,,01,영업/정상,일반세탁업,031-682-0517,0,0,,,
9,임대,4,하이크리 화정역점,일반세탁업,2026-04-07,,,,185111.707494025,459046.501169143,2026-04-08 03:03:03,U,02,폐업,,2026-04-07 13:55:45,2012-03-29,11.00,412-743,경기도 고양시 덕양구 화정동 972 영프라자빌딩 B121호,N,,3950000-205-2012-00005,3940000,"경기도 고양시 덕양구 화신로272번길 58 (화정동, 영프라자빌딩 B121호)",10500,0,03,폐업,일반세탁업,031-979-8745,,1,,1,0
,,,에이(A)산업,일반세탁업,,,,,183898.447899825,439071.649378959,2026-04-08 03:03:03,U,01,영업,,2026-04-07 15:32:22,2020-01-22,242.14,429-130,경기도 시흥시 계수동 165-2,N,,4010000-205-2020-00001,4010000,"경기도 시흥시 범안로327번길 14, 1층 (계수동)",14925,,01,영업/정상,일반세탁업,02053484692,,,,,
0,임대,1,동일2차세탁,일반세탁업,,,,,211181.002063766,421387.163705754,2026-04-09 03:03:03,U,01,영업,,2026-04-08 15:24:31,2006-04-24,40.26,446-910,경기도 용인시 기흥구 언남동 496 동일하이빌2차아파트,N,,5630000-205-2006-00009,4050000,"경기도 용인시 기흥구 언남로 17-1, 동일하이빌2차아파트 상가동 108호 (언남동)",16918,1,01,영업/정상,일반세탁업,031-286-8007,0,1,0,1,0
0,임대,0,제이엠씨렌코에프엠에스,세탁업 기타,2026-04-03,,,,169573.239422463,462618.621322354,2026-04-07 03:03:03,U,02,폐업,0,2026-04-06 10:07:56,2015-09-11,193.18,415-842,경기도 김포시 양촌읍 누산리 515 나동,N,0,4090000-205-2015-00008,4090000,"경기도 김포시 양촌읍 김포대로1644번길 30, 나동",10053,0,03,폐업,세탁업 기타,031-989-1898,1,,1,,1
0,,0,야당동 세탁소,일반세탁업,2026-04-08,,,,178914.801849403,467727.028213239,2026-04-09 03:03:03,U,02,폐업,0,2026-04-08 11:25:59,2016-12-28,160.00,413-836,경기도 파주시 야당동 421-47 1층,N,1,4060000-205-2016-00009,4060000,"경기도 파주시 송학1길 43-1, 1층 (야당동)",10909,4,03,폐업,일반세탁업,,,,,,2
2,임대,0,혁신세탁소,일반세탁업,,,,,286419.633871448,426258.237313798,2026-04-08 03:03:03,U,01,영업,1,2026-04-07 16:00:44,2019-12-05,.00,,강원특별자치도 원주시 반곡동 1812-1 중흥에스클래스,N,1,4191000-205-2019-00007,4191000,"강원특별자치도 원주시 혁신로 405, 상가동 1층 108호 (반곡동, 중흥에스클래스)",26460,2,01,영업/정상,일반세탁업,,2,0,0,0,3
0,,0,(주)경기산업,일반세탁업,,,,,187405.001886385,478757.417996651,2026-04-13 03:03:03,U,01,영업,0,2026-04-12 11:10:34,2021-01-18,396.00,413-852,경기도 파주시 광탄면 방축리 289,N,0,4060000-205-2021-00001,4060000,"경기도 파주시 광탄면 방축길 113, 가동, 나동",10831,0,01,영업/정상,일반세탁업,,0,0,0,0,5
1,,1,하이얀이엔피,세탁업 기타,,,,,180797.492787575,470422.788358288,2026-04-13 03:03:03,U,01,영업,0,2026-04-12 11:12:06,2022-01-04,750.00,413-822,"경기도 파주시 조리읍 능안리 428 A,B동",N,0,4060000-205-2022-00001,4060000,"경기도 파주시 조리읍 능안로265번길 25-15, A,B동",10935,0,01,영업/정상,세탁업 기타,,0,0,0,0,3
1,,0,올리브,일반세탁업,,,,,181648.08981486,470493.532835717,2026-04-13 03:03:03,U,01,영업,0,2026-04-12 13:36:00,2024-10-25,198.00,413-822,경기도 파주시 조리읍 능안리 1045-3,N,0,4060000-205-2024-00007,4060000,"경기도 파주시 조리읍 탑삭골길 140, 1동",10935,1,01,영업/정상,일반세탁업,,1,0,1,0,3
0,임대,0,길훈세탁소,일반세탁업,2026-04-07,,,,179700.870075669,455842.661726967,2026-04-08 03:03:03,U,02,폐업,,2026-04-07 14:23:39,2013-03-04,32.80,415-811,경기도 김포시 고촌읍 신곡리 484-1 1층,N,,4090000-205-2013-00002,4090000,"경기도 김포시 고촌읍 장차로 29, 1층",10126,1,03,폐업,일반세탁업,031-982-9878,1,,1,,2
3,임대,1,웅진산업,일반세탁업,,,,,181395.313037474,475767.468840004,2026-04-13 03:03:03,U,01,영업,,2026-04-12 11:09:38,2007-01-26,642.00,413-812,경기도 파주시 월롱면 영태리 780-1,N,,4060000-205-2007-00002,4060000,경기도 파주시 월롱면 한태말길 202-23,10945,0,01,영업/정상,일반세탁업,,1,0,1,0,5
